fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,ps_ratio,loglikelihood,mhl_norm,mhl_sum,std_y_last_1,mean_std_x_last_1
1,8,0,1,0.2936286040149554,-1.6254711715068415,1,0.8479035680398118,11.972995079461723,0.2622326265825355,13.231839526500057,50.45840290332997,1.0,7.704751603748464,0.0,0.0,0.0,0.3270155342646906,0.0,0.0,0.0,0.3324359602920029,-6.299542627525439,-6.299542627525439,-6.299542627525439,-4.239494329562014,-6.1968274916887225,-6.1968274916887225,-6.1968274916887225,-4.136779193725298,0.5,1.0820820820820811,4.729489277081831,0.5315315315315318,0.3333333333333333,1.0,1.0,1.0,0.0,-0.4557301072388032,2.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.55626644023027,2.0147295377140937
1,8,1,1,-0.0333371996154231,-1.761612703800327,1,-0.5197188230697312,16.785191958451726,0.1267060633216266,10.144466151034896,80.06298897697187,1.0,4.634087455291116,0.0,0.0,0.0,1.0513744820000237,0.0,0.0,0.0,1.082831632330563,-5.818391650973609,-5.818391650973609,-5.818391650973609,0.2989168571420313,-5.64936258368205,-5.64936258368205,-5.64936258368205,0.4679459244335904,1.0,0.94994994994995,3.072468842709004,0.6196196196196196,0.6666666666666666,0.9217802695765928,0.771843546668401,0.6670806233878692,0.3435590127434115,-0.6516602849836628,2.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.36657788501674,1.8617787307102667
1,8,2,1,0.4117742628902732,-1.6359874585851817,1,0.9062726350216748,8.088501714589327,0.9481549313415064,10.057093736847865,10.607015166412186,1.0,2.37360358591845,0.0,0.0,0.0,0.9561547357244023,0.0,0.0,0.0,0.9838700760030434,-6.04859672050288,-6.04859672050288,-6.04859672050288,-0.2652023217069619,-5.878209470798081,-5.878209470798081,-5.878209470798081,-0.0948150720021629,0.6666666666666666,0.9939939939939944,1.7589165903277326,0.4214214214214208,0.5,0.953059344810438,0.9600262563983514,0.9789563771028174,0.0669822135104422,-0.4721562619847518,2.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.420073666510923,1.9578292188750654
1,8,3,1,1.0953171844852194,-0.2344208640990461,1,0.5899443598536012,16.37055499315594,3.8126551191792544,8.31701415533494,2.1814231540369,1.0,8.682272329468722,0.0,0.0,0.0,1.306965601466488,0.0,0.0,0.0,1.4111965086890852,-6.1504791669496015,-6.1504791669496015,-6.1504791669496015,1.887985536789788,-5.696205067291889,-5.696205067291889,-5.696205067291889,2.3422596364475003,0.5377157309218195,1.0380380380380387,3.861234314377496,0.6856856856856854,0.3333333333333333,0.6759255770981352,0.8441401018852438,0.5532969470659046,0.2430649792430146,-0.5137251740157095,2.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.209640200220935,1.9462888837180266
1,8,4,1,0.5296441964357091,-0.9006695085230905,1,0.7375467665865337,7.67034411379428,0.428157402393035,9.620209854644092,22.46886262125872,1.0,3.505042567998177,0.0,0.0,0.0,0.9258953619462734,0.0,0.0,0.0,0.9088917715081118,-6.55466044265513,-6.55466044265513,-6.55466044265513,-0.4857307396680372,-6.677285341594631,-6.677285341594631,-6.677285341594631,-0.6083556386075388,0.8333333333333333,1.0160160160160154,3.5772850993678698,0.641641641641642,0.8333333333333334,1.0016041246363292,0.9995136277576724,0.9999892252857504,0.0017751552345236,-0.5612176918494293,2.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.907446954070796,2.105587729352803
1,8,5,1,0.9518723114645302,-0.2358044677297024,1,0.7732579095648007,5.633113679763119,1.1239606754174565,7.223282909263405,6.426633126270692,1.0,2.891573364023297,0.0,0.0,0.0,1.0178236639197014,0.0,0.0,0.0,1.0067872051834736,-5.607669719475743,-5.607669719475743,-5.607669719475743,0.099949220452622,-5.669141314611986,-5.669141314611986,-5.669141314611986,0.0384776253163794,0.8333333333333333,0.861861861861862,2.210466384652787,0.2012012012012007,0.8333333333333334,0.9838183816743384,0.8588669572012257,0.4738550181295261,0.2810970093671694,-0.6413306021516442,2.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.12149942877299,1.7959533270490298
1,8,6,1,0.2727253630118401,-1.0210780062050655,1,0.708208913750477,13.653778054256849,0.897283164964045,8.388732683609803,9.349036080428352,1.0,2.118053189679524,0.0,0.0,0.0,0.993678561819573,0.0,0.0,0.0,0.9038585837986592,-6.77559596667836,-6.77559596667836,-6.77559596667836,-0.0428315110389077,-7.448913553869863,-7.448913553869863,-7.448913553869863,-0.7161490982304111,0.8710490642551527,0.7957957957957954,3.316347955442545,0.5315315315315318,0.5,0.5429975946779387,0.8524234892685625,0.2891237446530625,0.2098785062688789,-0.6607564187099372,2.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9856950632863,2.165733864765636
1,8,7,1,0.6178962156357667,-0.9569737136139952,1,0.9962957571641782,-3.888288525248484,0.2537272786298799,10.062997603184948,39.660684722292565,1.0,7.386735325585309,0.0,0.0,0.0,0.8204307948371659,0.0,0.0,0.0,0.7943928623723184,-6.1763228428245815,-6.1763228428245815,-6.1763228428245815,-1.109077383715066,-6.378765091087367,-6.378765091087367,-6.378765091087367,-1.311519631977851,0.6666666666666666,1.0160160160160154,6.915758828738525,0.7297297297297298,0.3333333333333333,0.7190390026246396,0.9250124165549334,0.3497238235295296,0.1278613618884477,-0.7235079629170602,2.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.955188730538573,1.936568532141901
1,8,8,1,0.291341831140588,-1.693897643259328,1,0.9447153347872592,-11.353676336839726,0.426450590468054,7.918240030403868,18.56777832506492,1.0,31.97006610934538,0.0,0.0,0.0,0.7725572910795587,0.0,0.0,0.0,0.8256963649966743,-6.311077208828323,-6.311077208828323,-6.311077208828323,-1.435408496581971,-5.904917254015027,-5.904917254015027,-5.904917254015027,-1.0292485417686752,0.7043823975884861,0.8398398398398399,1.4005083955986373,0.2232232232232229,0.3333333333333333,1.023878071126635,0.9241640833157776,0.9165172266257408,0.1459534042634203,-0.5314727457994823,2.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.30854991210548,2.0760579108715156
1,8,9,1,0.3107171934644668,-0.940573630108863,1,0.8296501028772891,10.100933472918086,0.9903578056499251,18.534535978260443,18.71498954471016,1.0,33.00462591535931,0.0,0.0,0.0,0.9553042624731302,0.0,0.0,0.0,0.9669741657943892,-6.286161114925572,-6.286161114925572,-6.286161114925572,-0.2809646072443286,-6.210296738122109,-6.210296738122109,-6.210296738122109,-0.2051002304408653,0.7043823975884861,0.9279279279279278,4.729489277081831,0.7957957957957954,0.3333333333333333,0.8067687203768541,0.8752253203669782,0.807923272214381,0.169889729011283,-0.8083033370410776,2.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.864530240360452,1.9683275583809086
