fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,ps_ratio,loglikelihood,mhl_norm,mhl_sum,std_y_last_1,mean_std_x_last_1,std_y_last_2,mean_std_x_last_2,std_y_last_4,mean_std_x_last_4
1,8,0,1,1.5598435980152252,2.3897444132692582,2,0.7992517554624123,6.314441717141733,1.8773168018404087,8.968288947214589,4.777184617120891,0.9142731327815616,0.999999999999988,1.0000006632925331,0.1916666666666666,0.3249999999999999,0.5897435897435898,0.0,0.4722529509710144,0.5023946093831191,0.6507535761685956,0.0,0.4869850181769997,0.4895394319851854,0.6683927267852297,-5.270172523298334,-2.7813179970443387,-2.6224662570742203,-1.840588906736472,-5.1107414671007305,-2.621886940846735,-2.608831992273106,-1.6947590420109284,0.7798441150503693,1.0380380380380387,2.8483544033097714,0.7517517517517519,0.4333333333333333,1.0910531100183936,0.9307932257509238,0.9598707919116136,0.1629017924936137,-0.482918286856583,1.6761343743,1.966916845,0.8715226459,1.5619962215,0.1530835757,1.3665476869,0.1193587403,0.7338401638,-67.7705380838,6.2166259002,16.3219644407,7.208652733242872,1.3103321220411563,12.009202127377776,1.5140301427822938,24.673989606072535,1.7718674464123279
1,8,1,1,0.6078382265753658,-0.2248648698176572,1,0.8258073082189425,3.392135423654624,0.6473377661186507,10.033155972658204,15.49910494611746,0.949278516337659,0.9999999999999574,1.000000258791333,0.1499999999999999,0.0916666666666666,1.6363636363636365,0.0,0.961435395351755,0.7065088647876642,0.613628374667855,0.0,0.9928351224109642,0.696524250797225,0.6399149570949867,-4.965744345514248,-0.1915019674690148,-1.4574019451392144,-1.9186227137602487,-4.808696096942702,-0.0344537188974687,-1.4593226507081465,-1.7315395403847829,0.8567734616462773,1.1041041041041042,3.072468842709004,0.6856856856856854,0.4666666666666667,0.8689110150366142,0.8459672938911323,0.7662368406186033,0.2242615226120742,-0.5210124461328058,1.6099032649,1.9967203172,0.8899863725,2.042864871,0.2327328924,1.936547066,0.2370912115,0.9597566696,-60.9082136593,4.7082786496,12.6235060215,29.5467750387904,1.3652861761922475,21.914478733394436,1.2235337992750301,23.12226018108281,1.6633669126050115
1,8,2,1,1.294370640046736,0.830996865673534,2,0.783530202370958,10.91209144111299,0.5392131062993255,7.057373480774867,13.088282533060704,0.9071444277702976,0.9999999999999866,1.0000006356753015,0.25,0.2583333333333333,0.9677419354838712,0.0,0.5271613588879613,0.6236787377873154,0.7443715165530088,0.0,0.5507893811791412,0.6242556418617775,0.8058786607553168,-6.373691284310122,-3.0137275257408427,-2.398555549065572,-1.6292970369675022,-6.100269673638588,-2.740305915069308,-2.292141912991395,-1.1841925188004492,0.8457513420857435,1.06006006006006,1.8046618049350167,0.6196196196196196,0.3666666666666666,1.038613052705846,0.9078268353899936,0.8979408911552198,0.1717500042667973,-0.4177684503908647,2.2944153447,1.9749090924,0.8768672094,2.371547282,0.4223884839,0.8992117504,0.2011868576,1.1141746836,-76.6605360969,5.2437416116,14.0622168685,27.233991724891,2.211872747126327,20.553750713515253,2.0089435204567607,26.119843166352258,2.1051982520111405
1,8,3,1,1.3405980459322124,2.668912470780045,2,0.7260088049891393,10.114186566764117,0.3105065814197585,5.336870171531456,17.18762335770527,0.9058107606932556,0.9999999999999842,1.0000007420596546,0.25,0.1166666666666666,2.1428571428571432,0.0,0.2546889130001472,0.4359003231891797,0.5668537553841532,0.0,0.2662080906927168,0.440066356613545,0.6100762162278438,-6.101501283726248,-4.547516554105007,-3.441854902210781,-2.6428423675647927,-5.837481218461539,-4.283496488840298,-3.2686021268531724,-2.27617276440142,0.8353446775754781,0.971971971971972,3.2322839781813806,0.5755755755755753,0.5,1.0355709629868337,0.9344168679242402,0.8951428774853374,0.1449373538803636,-0.3757995207542552,1.925663819,2.0613727444,0.9164756092,2.3765493381,0.3620808825,2.298863204,0.3126038783,1.1165246954,-72.3928653798,5.3232367003,14.0579330355,7.0203819808097405,1.3606498132979632,14.496719231347477,1.538495714465496,25.129306197540924,2.0145441020858046
1,8,4,1,1.2633546035020025,1.6581560715473538,2,0.7986459390113207,4.949000609116343,0.2518108401659041,10.256565238528191,40.7312299652021,0.8972590421601574,0.9999999999999732,1.000000548082278,0.2583333333333333,0.3833333333333333,0.673913043478261,0.0,0.7604981730374014,0.6205363140142337,0.6652672461340086,0.0,0.773141731385301,0.7425863654223118,0.7316260330461304,-5.337568625266491,-1.2783574372895703,-2.025413464745602,-1.7866590448841668,-5.250280800007654,-1.1910696120307334,-1.3514938632834226,-1.40903868591979,0.8277031642049189,1.0160160160160154,2.3843904700937206,0.7077077077077075,0.6,0.9909206258914904,0.90579982441391,0.8172703601924014,0.180867594686288,-0.5268667554418902,1.8252435479,2.0417287613,0.9057529436,1.8208183016,0.1729203088,1.6819537247,0.1616529391,0.855437153,-65.2196287668,4.4000161999,10.9034969184,13.072337600720676,1.6354280921847846,11.33593053900996,1.5436391600769348,17.85996871932193,1.782240573564747
1,8,5,1,1.116900556490537,1.3017980017799466,2,0.7780960175567403,4.90874419038796,0.865992186501623,5.964241888524098,6.887177484381287,0.8402520229880521,0.9999999999999762,1.0000006710055076,0.2166666666666666,0.2749999999999999,0.7878787878787878,0.0,0.5530992384027306,0.5210948607658699,0.5880468693106073,0.0,0.5622936534104696,0.5360334572765986,0.6162693099213925,-5.568714632920661,-2.488662810570102,-2.6668860566340067,-2.2940494269474985,-5.47765709904278,-2.397605276692221,-2.541449626467175,-2.1019451386296693,0.826415389622992,0.9279279279279278,2.154434690031882,0.6636636636636631,0.4666666666666667,1.0863912643959888,0.8973166490299981,0.8024352875752121,0.2281015316812772,-0.5022635033650836,1.8777423949,2.0674070779,0.9172808827,1.8972111792,0.2731904392,1.7648593728,0.2503890781,0.8913272282,-70.9800567317,5.3178840044,14.0515847539,12.161088711050539,1.547384960317445,10.824270878164757,1.5805172596546462,19.329537206655292,1.8293922813380135
1,8,6,1,0.6329397410943159,-0.5285523600566977,1,0.7734326786404383,8.6813671459892,1.9137784835341825,4.468010694813798,2.3346540538812546,0.9131595248827988,0.9999999999999752,1.000000377265946,0.2333333333333333,0.2083333333333333,1.12,0.0,0.3520531102306782,0.4976325365311049,0.5436239528826285,0.0,0.351572661274395,0.4632759527113562,0.4859080204087134,-6.363566446574255,-4.1232530868982025,-3.196848734381278,-2.904179300456296,-6.372262711085872,-4.131949351409821,-3.420146632680515,-3.2759291516178743,0.8006252024740226,0.94994994994995,1.9466563433422632,0.6856856856856854,0.4666666666666667,1.0484091894862506,0.925692272119534,0.821542460065952,0.1644519816338371,-0.4557871704465324,2.1300148428,2.151623591,0.9532327458,2.6364410889,0.6776943571,2.493624095,0.634506102,1.2386242257,-76.511344293,5.0047369415,13.7806232062,11.607799419104447,1.5108902218086893,12.246197748918789,1.678311767283151,23.00213717914482,2.102580222383204
1,8,7,1,1.4289213008247137,2.698297000354924,2,0.8339999054333352,4.756228028948435,2.7526141938035127,9.044106309077458,3.2856425464334595,0.8723060132534587,0.999999999999962,1.0000010901672265,0.2166666666666666,0.1833333333333333,1.181818181818182,0.0,0.4599862730577748,0.6079231517135556,0.6021192939314626,0.0,0.4730236537620192,0.5955781250097135,0.5736453496440578,-5.114747741474999,-2.762033990243243,-2.005374174257727,-2.035059442740529,-4.973776115676911,-2.6210623644451547,-2.01150386248396,-2.120592576748166,0.8968905015326821,1.06006006006006,3.4888485160357896,0.5755755755755753,0.6666666666666666,1.0838042863941584,0.9233059608010376,0.8983950466149401,0.167884194817139,-0.4215925990000174,1.5260650202,2.0038075262,0.889108172,2.1810519918,0.7018275867,2.1685146111,0.6735139006,1.0246782475,-67.9424636545,6.2454553176,16.4920508538,9.000887476605856,1.2111569047994257,12.374611603758582,1.271930411899926,22.263409866424922,1.6851098718062012
1,8,8,1,0.6182176906999712,-0.7079712566248011,1,0.3173639077912547,6.486995511480755,1.3513563684303118,5.305124460023139,3.925777525424611,0.9304028797862212,0.999999999999972,1.000000605525745,0.3166666666666666,0.2916666666666667,1.0857142857142856,0.0,0.3260169744014427,0.5265148497394226,0.6271469278724703,0.0,0.3413302809340416,0.5208298560565779,0.6859408836176644,-5.938167858897895,-4.00222434005211,-2.8116343009428006,-2.2140641289990355,-5.671760248015865,-3.73581672917008,-2.717738174454341,-1.7812680118243192,0.9069579467523396,1.0160160160160154,2.154434690031882,0.4214214214214208,0.7,0.9976255283745008,0.9339556704190848,0.9146232433064174,0.1193647255789529,-0.5734226870025102,1.7093914885,1.9754582176,0.877631422,1.5217306949,0.3297959601,1.3114626731,0.2855435962,0.7149230497,-64.6647918499,5.2891190127,13.458989664,12.869139036927738,1.559701343285128,13.251503186217196,1.6885755067736377,18.96371374792653,1.9860432079243124
1,8,9,1,0.9026304137564164,-0.2776712144595321,1,0.7706663051636055,6.918921883030656,0.8195121925006362,6.996143653998595,8.536961033673899,0.8924161499237914,0.999999999999984,1.000000797756862,0.0583333333333333,0.125,0.4666666666666666,0.0,0.6556608847813109,0.58099993555463,0.6250347712456297,0.0,0.6712495138699112,0.5532473160575512,0.6333513599771383,-5.468865247745751,-1.883144220659009,-2.291454891248514,-2.050634308647812,-5.34186014737533,-1.756139120288588,-2.386490358085134,-1.958585758227488,0.8410507197169653,1.0820820820820811,2.101173393348483,0.7077077077077075,0.4,1.0512766389052273,0.915019886610541,0.9121477528004976,0.1416729377068165,-0.4584587424295422,1.6582938035,1.9984296171,0.8889024222,1.8188018823,0.1198638326,1.6780614408,0.0958116614,0.8544898207,-63.9273363809,5.2672405716,13.7193138269,10.538503750146452,1.4572498021556284,13.133309730457592,1.4607135881660986,24.460845648315722,1.8147683081468664
1,8,10,1,2.183634259575,5.845430915150942,2,0.8293370870938047,2.011873202881741,4.0721350427798,6.625492153695982,1.627031540970989,0.9398585473237226,0.9999999999999792,1.000001068239976,0.125,0.1499999999999999,0.8333333333333335,0.0,0.6909968125121242,0.5836230717490939,0.6851405316614624,0.0,0.7170267378731534,0.629954997353325,0.6635297640860252,-5.226183165403591,-1.614907256505186,-2.1760620928873444,-1.6455132528987906,-5.036459197616788,-1.4251832887183826,-1.8637165571119745,-1.694618614393229,0.832604149320285,1.0380380380380387,2.996512177445874,0.5755755755755753,0.5666666666666667,0.996678696752815,0.9275827009303612,0.8075435988648949,0.1438516731254376,-0.3640984149689408,1.6526777527,1.9867228417,0.8822113998,1.5645474926,0.3101585024,1.4365375124,0.2813471392,0.7350387744,-65.8163885303,5.6927111401,15.2150920523,11.246080204105635,1.5410201771699035,11.985196310068078,1.6419919871658437,27.08102387707948,1.7492642726244931
1,8,11,1,0.1795461460209245,-1.1088749379153562,1,0.5705189293633325,2.2834845997811826,2.405717305032951,4.114959890611635,1.7104918695155134,0.6458586076900479,0.999999999999966,1.000000746899229,0.3083333333333333,0.1999999999999999,1.541666666666667,0.0,0.4267003937983032,0.4624655809587474,0.5767068928890727,0.0,0.4374421596236786,0.4360106842535186,0.6230905035552687,-5.63898393066671,-3.232827266828921,-3.031147951153889,-2.3869430289605016,-5.5005138642963685,-3.094357200458579,-3.102231050578544,-2.073195910779207,0.79657227675239,0.9939939939939944,2.266498079273693,0.4214214214214208,0.6,1.0597786633312725,0.9104914968010804,0.8161236584386252,0.2123166333768783,-0.4855785043787262,1.8705389813,2.0790708472,0.9215413931,2.6523786016,0.9156260887,2.5948796663,0.8958457827,1.2461118155,-73.4345311422,5.6565967453,15.1661660417,15.267287197096204,1.3416019900536174,12.40460701640808,1.5701720615519759,17.028519215900708,1.8574137726804967
1,8,12,1,2.017462677183665,4.529781953543538,3,0.8306469940372656,5.443789539142347,1.124841263748216,9.524317716948088,8.467254913116353,0.9689076595026128,0.9999999999999872,1.0000003256800818,0.1583333333333333,0.2583333333333333,0.6129032258064516,0.0,0.5525130934674914,0.6334751076434728,0.6560690757583632,0.0,0.592297461168752,0.6913869483916696,0.682777625152152,-5.281719241000312,-2.3635002043284588,-1.935881576265038,-1.8165465801420744,-4.926948413578327,-2.0087293769064734,-1.52052058503123,-1.562938276508154,0.7758158122132495,1.0160160160160154,3.763358362286533,0.641641641641642,0.4666666666666667,1.0679305020751388,0.9300228393583112,0.939159368230183,0.1463859912286417,-0.428838216035676,1.5356098108,1.9175699993,0.8543718978,2.1730090632,0.6983717143,1.9319100753,0.5798772637,1.0208996058,-63.1058894089,6.0356177918,15.4992132881,10.469994273335772,1.316123700653901,10.585770133909966,1.3626378346986043,30.975566959236946,1.7834611437784116
