fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,ps_ratio,loglikelihood,mhl_norm,mhl_sum,std_y_last_1,mean_std_x_last_1,std_y_last_2,mean_std_x_last_2
1,8,0,1,1.0233021464344745,0.1236271538755837,1,0.8703513281912219,13.738058258373808,2.1315028890097447,10.108804114300003,4.742571153162435,0.9999999999999968,1.0000010305850564,0.0,0.0,0.4305026895793906,0.4780226731693819,0.0,0.0,0.4504092212511187,0.4512052752122175,-5.271032154176771,-5.271032154176771,-3.001838634944222,-2.751359273475425,-5.038070741378972,-5.038070741378972,-2.768877222146423,-2.7648666459764524,0.9182490619437732,1.0160160160160154,5.366976945540476,0.8178178178178177,0.4285714285714285,1.100770401826756,0.917519697489757,0.973795261062255,0.1966438014057649,-0.4823935816735211,1.9573276077,2.1203482693,0.9436916653,1.9568779957,0.4988385232,2.1157192057,0.5393296089,0.9193592462,-89.7761543682,8.0068368526,19.5993517328,11.034674809074637,1.310356503002788,28.492058910634857,1.7814475706758457
1,8,1,1,0.6724000213467792,-0.0748771275863284,1,0.6754898135170466,4.6808390987734825,0.3775850891945457,9.432118197638768,24.980113006472543,0.9999999999999108,1.0000005994892416,0.0,0.0,0.7083922071851572,0.7177668945363093,0.0,0.0,0.7150421593335967,0.7531645632759287,-5.25162187296328,-5.25162187296328,-1.5314138630729732,-1.4821815499274709,-5.202781348385748,-5.202781348385748,-1.4825733384954405,-1.2842308063086485,0.8600847796710673,0.94994994994995,2.325444274683707,0.5315315315315318,0.4285714285714285,0.922321083303168,0.8614047186766405,0.8455809463004054,0.1968087383101938,-0.654639031546714,1.7492431151,2.1234574837,0.9484291799,1.0623466698,0.0703587605,1.1485781216,0.0760698322,0.4991002177,-84.8629979546,7.8262233226,20.7029838302,24.15338381504432,1.4616676827682409,19.660866659748372,1.7408328439668999
1,8,2,1,0.7995182548768399,-0.3216401228478514,1,0.8793989662416137,6.2132871027695,0.8162420437794038,8.505259659487454,10.420021517276892,0.9999999999999932,1.0000026938446664,0.0,0.0,0.5486723188272613,0.8022361289396307,0.0,0.0,0.5686636410550936,0.8904914662721054,-6.122485039843795,-6.122485039843795,-2.7632469760474825,-1.2108063419887083,-5.907249595848279,-5.907249595848279,-2.5480115320519667,-0.6468942416060433,0.8392254690026238,1.06006006006006,3.763358362286533,0.641641641641642,0.3571428571428571,0.9893543465148896,0.8812235719828151,0.7738260171730702,0.1972614609760759,-0.4189654409645682,1.8683833391,2.122125315,0.9470880174,1.5867470977,0.0817119726,1.7155445135,0.0883445929,0.7454683526,-92.6245148446,8.4961362084,21.9042365027,15.845683013997583,1.7343443751788594,26.910943791042047,1.9925857039927137
1,8,3,1,1.7304693740180792,2.7864170684531926,2,0.677154531021352,10.248881843401202,0.8897187664417625,7.865396931249312,8.84031811839292,0.9999999999999836,1.0000004728950715,0.0,0.0,0.9987662590335236,1.0009932179345744,0.0,0.0,1.0429234387378696,1.0707464002771954,-6.454635292384493,-6.454635292384493,-0.0079633479838783,0.006410859533533,-6.181347263805176,-6.181347263805176,0.2653246805954392,0.4373080677775078,0.8310026385347143,0.971971971971972,1.5892828656229765,0.3993993993993996,0.5,0.6400977674686762,0.88912341324309,0.4399973356734259,0.1837330743155442,-0.4328282318581735,1.9034857589,2.1672384507,0.9680497918,1.7348843352,-0.0692748513,1.8757061583,-0.0748979413,0.8150645867,-94.0127707422,8.1710362459,21.8115903119,12.458055344992971,2.089227065615543,23.905400207193555,2.0977780015663408
1,8,4,1,0.9177337194987718,-0.1482640605404328,1,0.9003896457880873,8.68314408080375,0.7293972522321351,8.221866647015991,11.272138223519564,0.9999999999999876,1.0000006800789416,0.0,0.0,0.498184392694772,0.4858728506183151,0.0,0.0,0.4941719898864293,0.4694386203743667,-5.5833912689629965,-5.5833912689629965,-2.8018328804573733,-2.870573036994534,-5.628725313113925,-5.628725313113925,-2.847166924608302,-2.986384267659449,0.9047029965328686,1.0160160160160154,3.763358362286533,0.443443443443443,0.7142857142857143,0.9192838235135417,0.8640399145988099,0.7692047041564407,0.2248330264890199,-0.4960134332768371,1.8270917502,2.1354838521,0.9535851748,1.4088861301,0.364667682,1.5232464419,0.394268023,0.6619076373,-88.4189607535,7.9451380457,21.2819615178,16.943664389839178,1.468051932838317,21.45077993591044,1.8318499088635316
1,8,5,1,0.7493100619745625,0.0751290351294153,1,0.7109109089582409,4.861497220784802,1.7943277858671718,9.564660031728748,5.330497642105169,0.9999999999999664,1.000002171735795,0.0,0.0,0.676220044813859,0.6848355547634565,0.0,0.0,0.6749164803182217,0.6797079921369945,-5.749633184179884,-5.749633184179884,-1.8616159747105123,-1.812079952805674,-5.760738288145194,-5.760738288145194,-1.8727210786758224,-1.845118433083317,0.7049371893136829,0.971971971971972,5.234296130145156,0.5095095095095097,0.5,1.0803560961545606,0.9150084937740832,0.7465442555881914,0.1991127013225987,-0.6125560113356329,1.9484114401,2.1906629795,0.9772237327,1.9205411677,0.3898208912,2.076432891,0.4214629365,0.9022878709,-82.7516994314,6.3332601989,17.0024637419,19.531508123691783,1.816446527241552,20.77503798433166,1.8722248588322774
1,8,6,1,0.1053042536327794,-0.729765629102006,1,0.8086660829463015,11.96182890064365,3.2434008037192306,7.535903960235047,2.323457511508776,0.999999999999918,1.0000009431184678,0.0,0.0,0.7769475966688346,0.7162042025033244,0.0,0.0,0.7719085402168155,0.6772362194692528,-6.263184718542249,-6.263184718542249,-1.397018403977877,-1.777465502067689,-6.304071092667988,-6.304071092667988,-1.4379047781036158,-2.0347258186041177,0.8891669208074203,1.0380380380380387,3.316347955442545,0.7737737737737733,0.5714285714285714,1.0369168186663107,0.8881874499398166,0.6329969351884164,0.1957721735243771,-0.6717107971152677,1.939848009,2.1887586348,0.976119663,1.8854849925,-0.0977856133,2.0385311805,-0.1057229426,0.885818158,-94.6774735335,8.0640013603,22.131513674,20.28074097007439,1.7097771580112777,21.24037903575854,2.0313170231388242
1,8,7,1,1.2648213542881976,1.2812659196349898,2,0.8496081859099748,5.017845924922412,2.4498510900348243,9.469412711217569,3.865301344124945,0.999999999999958,1.0000017683586353,0.0,0.0,0.8744939074373813,0.7130504556128611,0.0,0.0,0.8807033906227235,0.8105573673579201,-5.794489150826198,-5.794489150826198,-0.7272436917166827,-1.662726021785797,-5.75363455286188,-5.75363455286188,-0.6863890937523642,-1.0899836769545912,0.7839607822548322,1.0820820820820811,4.27336709002969,0.6636636636636631,0.7142857142857143,0.9341339401409138,0.900657658086608,0.4868976583222885,0.1937970921432946,-0.47842759921404,1.7865878056,2.1205397904,0.9464058792,1.2304687616,0.022041657,1.3303468058,0.0238307943,0.5780855197,-89.3073640277,8.3246440802,22.3473167239,11.461458412204239,1.7159995006704123,23.668871845338455,1.8694121690639545
1,8,8,1,0.1863172464601727,-1.4289815421779957,1,0.3447789719146519,5.841669189722868,0.5085936050210641,4.495899147062338,8.839865666175912,0.99999999999997,1.0000025740937262,0.0,0.0,0.59971891100261,0.5566997212983813,0.0,0.0,0.6080126479020238,0.5492153335129392,-6.390310841452871,-6.390310841452871,-2.557920582648583,-2.832826577006033,-6.303142331048756,-6.303142331048756,-2.470752072244468,-2.841359913522288,0.7839607822548322,0.8398398398398399,3.072468842709004,0.5755755755755753,0.5,1.0321629095821707,0.9697291794538544,0.9698170704737242,0.0868193552130853,-0.6768191919443995,1.8591288433,2.1376494872,0.952954705,1.5472281069,0.4729680567,1.6728177375,0.5113592178,0.726901968,-92.4196750131,8.4990315249,22.2404825127,23.659877255810247,2.0420205172950356,20.89461328469901,2.107859153289866
1,8,9,1,0.3316760761041106,-1.2198634371814612,2,0.718964463794775,5.313049072774983,0.7851503996894205,10.838605777267963,13.804496287023936,0.999999999999966,1.0000018417961327,0.0,0.0,0.2850922796040309,0.7064623122542709,0.0,0.0,0.2968355160240593,0.7909470240376558,-6.006254597995532,-6.006254597995532,-4.293917782770794,-1.7630620867077624,-5.768638598778553,-5.768638598778553,-4.056301783553815,-1.2059510663259037,0.8600847796710673,0.94994994994995,1.7154331750298604,0.3773773773773774,0.5714285714285714,0.9225090091229984,0.9499744796660318,0.9547384901389802,0.0863866775071916,-0.5627282929395402,1.7423022759,2.1054203413,0.9396404463,1.0307045098,0.3258281742,1.1143675444,0.3522758841,0.4842344404,-92.2066091726,8.9557600903,23.4146728996,26.485059211651564,1.8298293955278324,24.98685724178638,1.96252751891873
1,8,10,1,1.460277723265459,1.8505772871424284,2,0.905981407401801,4.607056975551394,4.9380152698851205,7.392834798837962,1.4971267593933444,0.999999999999972,1.0000023734987522,0.0,0.0,0.6373458874753706,0.597696631469341,0.0,0.0,0.6629160085591113,0.6557963001845442,-5.262190905913694,-5.262190905913694,-1.9083551729193065,-2.1169971273004786,-5.059216687622548,-5.059216687622548,-1.7053809546281609,-1.7414011020477762,0.781061186729918,1.1261261261261255,3.763358362286533,0.6636636636636631,0.3571428571428571,1.107807330978731,0.9334196462571808,0.8322528966803149,0.1722447716620693,-0.4322331739312205,1.8044237799,2.1190601449,0.945084563,1.3095284075,0.4531918359,1.4158237806,0.4899777468,0.6152284671,-88.21190692,8.1405428744,21.1501684501,25.60487871435482,1.4614112014482967,33.90500937284584,1.7550892758286356
1,8,11,1,-0.1989865915956132,-1.2753831631648087,1,0.5012404562331289,3.6451574500292985,0.7106413227842264,8.916759396742773,12.54748226828091,0.9999999999999052,1.0000015490400236,0.0,0.0,0.7123271488427493,0.805625896578965,0.0,0.0,0.7493102702871826,0.7667726475365927,-5.443655520503411,-5.443655520503411,-1.5659919043011237,-1.058105661130818,-5.174977269050541,-5.174977269050541,-1.297313652848254,-1.2069462475189718,0.9202390722583168,1.06006006006006,3.316347955442545,0.6636636636636631,0.7142857142857143,0.9083569488189482,0.8772156787918937,0.8129739433327302,0.194483083554187,-0.6655522363933559,1.8821338168,2.1503770263,0.9595915509,1.6451050217,-0.0357170532,1.7786393927,-0.0386162324,0.772885441,-83.8279062945,7.0340329298,17.8673331299,19.22311722301882,1.7566534488036445,14.498666601409424,1.7768886908659027
1,8,12,1,1.4565163969885562,1.4433512656899057,1,0.8722348143824412,3.0380972409729594,0.2430663397829289,12.84843200761703,52.859774903803455,0.9999999999999905,1.0000023547109609,0.0,0.0,0.450474749606743,0.6344414740387121,0.0,0.0,0.477701794932364,0.6496358441520946,-5.811111690432426,-5.811111690432426,-3.193352606748062,-2.124301423750885,-5.479902130271466,-5.479902130271466,-2.8621430465871014,-1.9199612840017,0.8310026385347145,1.2142142142142145,5.101615314749834,0.6636636636636631,0.5714285714285714,0.990073109223728,0.930326868345799,0.928246697214682,0.126956875271969,-0.6257706653087387,1.7196644732,2.0672886739,0.9226243449,0.9266193467,0.0454996001,1.001833713,0.0491928358,0.4353342753,-95.7082654823,9.6510226361,24.3292827719,17.375229320432787,1.644548287894748,35.50314299770883,1.9353444846916812
1,8,13,1,0.3192784519595794,-1.4649462524523025,2,0.7687147421879958,7.795656201179815,2.150117157533593,5.101954494185149,2.372872788028732,0.9999999999999932,1.000006351268016,0.0,0.0,0.8030369597106306,0.748707180218962,0.0,0.0,0.7855263982266703,0.7463139484756185,-5.570288792080886,-5.570288792080886,-1.0971410157780506,-1.3997735775567175,-5.694458883114544,-5.694458883114544,-1.2213111068117088,-1.4446047896252685,0.7839607822548322,1.0380380380380387,1.850407019542302,0.4654654654654652,0.7142857142857143,0.8428288761751871,0.8891865017504159,0.742826646863645,0.1688519505804666,-0.6218718923130573,2.0253298198,2.203930642,0.9818290612,2.2286868245,0.6585112467,2.4095909548,0.7119630835,1.0470575292,-88.593932254,6.967497755,18.8015904248,11.321516402635215,1.585814494657649,17.19260751234244,1.7875048076702147
