fid,iid,rep,BFGS,DE,MLSL,Non-elitist,PSO,Same
1,1,0,0.0,0.0002692625,0.0,0.0,4.4691e-06,0.0
1,1,1,0.0,0.0004628646,0.0,0.0,3.246e-07,0.0
1,1,2,0.0,0.0001071635,0.0,0.0,1.267e-06,0.0
1,1,3,0.0,0.0003888012,0.0,0.0,6.351e-07,0.0
1,1,4,0.0,0.000104551,0.0,0.0,7.3502e-06,0.0
1,1,5,0.0,0.0001746186,0.0,0.0,5.47e-07,0.0
1,1,6,0.0,0.0004531711,0.0,0.0,1.0404e-06,0.0
1,1,7,0.0,0.0003685811,0.0,0.0,2.6872e-06,0.0
1,1,8,0.0,0.0010457528,0.0,0.0,7.29e-07,0.0
1,1,9,0.0,0.0001885352,0.0,0.0,1.0324e-06,0.0
1,1,10,0.0,8.1437e-05,0.0,0.0,4.094e-07,0.0
1,1,11,0.0,0.0003818656,0.0,0.0,3.7802e-06,0.0
1,1,12,0.0,7.72687e-05,0.0,0.0,2.518e-06,0.0
1,1,13,0.0,0.0004324648,0.0,0.0,2.3131e-06,0.0
1,1,14,0.0,0.0006495311,0.0,0.0,2.2787e-06,0.0
1,1,15,0.0,0.0016997087,0.0,0.0,2.508e-07,0.0
1,1,16,0.0,0.0008530996,0.0,0.0,2.7825e-06,0.0
1,1,17,0.0,0.0003253311,0.0,0.0,3.803e-06,0.0
1,1,18,0.0,0.000299842,0.0,0.0,1.2991e-06,0.0
1,1,19,0.0,0.0002418328,0.0,0.0,8.487e-07,0.0
1,2,0,0.0,0.0007165833,0.0,0.0,6.2486e-06,0.0
1,2,1,0.0,0.0004213996,0.0,0.0,2.4044e-06,0.0
1,2,2,0.0,0.0006539233,0.0,0.0,3.8492e-06,0.0
1,2,3,0.0,0.0013799231,0.0,0.0,5.906e-06,0.0
1,2,4,0.0,0.0017967553,0.0,0.0,9.127e-07,0.0
1,2,5,0.0,0.0006234317,0.0,0.0,2.8414e-06,0.0
1,2,6,0.0,0.0004694556,0.0,0.0,7.547e-07,0.0
1,2,7,0.0,0.0004136901,0.0,0.0,1.962e-06,0.0
1,2,8,0.0,0.0012676766,0.0,0.0,3.1698e-06,0.0
1,2,9,0.0,8.65023e-05,0.0,0.0,1.7294e-06,0.0
1,2,10,0.0,5.31076e-05,0.0,0.0,2.1184e-06,0.0
1,2,11,0.0,0.0008163149,0.0,0.0,3.4447e-06,0.0
1,2,12,0.0,0.000721038,0.0,0.0,3.0314e-06,0.0
1,2,13,0.0,0.0004367793,0.0,0.0,1.4928e-06,0.0
1,2,14,0.0,0.0002599375,0.0,0.0,1.8018e-06,0.0
1,2,15,0.0,0.0018253957,0.0,0.0,4.1502e-06,0.0
1,2,16,0.0,0.0002035646,0.0,0.0,2.5051e-06,0.0
1,2,17,0.0,0.0004394597,0.0,0.0,1.8818e-06,0.0
1,2,18,0.0,0.0005813118,0.0,0.0,2.987e-06,0.0
1,2,19,0.0,0.0010728622,0.0,0.0,1.3765e-06,0.0
1,3,0,0.0,0.0001187953,0.0,0.0,5.451e-07,0.0
1,3,1,0.0,0.0007833218,0.0,0.0,8.96e-07,0.0
1,3,2,0.0,4.70891e-05,0.0,0.0,3.464e-07,0.0
