fid,best_budget,total_precision
1,32,0.0
1,40,0.0
1,48,0.0
1,56,0.0
1,72,0.0
1,80,0.0
1,96,0.0
1,200,0.0
1,250,0.0
1,300,0.0
1,350,0.0
1,400,0.0
1,450,0.0
1,750,0.0
1,800,0.0
1,850,0.0
1,900,0.0
1,950,0.0
1,1000,0.0
2,16,3.8e-09
2,32,3.8e-09
3,40,750.0491204269001
4,650,1089.5652817494001
5,8,0.0
5,24,0.0
5,40,0.0
5,48,0.0
5,56,0.0
5,72,0.0
5,80,0.0
5,88,0.0
5,100,0.0
5,150,0.0
5,200,0.0
5,350,0.0
5,450,0.0
5,500,0.0
5,550,0.0
5,600,0.0
5,750,0.0
5,800,0.0
5,850,0.0
5,900,0.0
5,950,0.0
5,1000,0.0
6,150,0.0066163370999999995
7,32,118.0527074867
8,550,47.170073212000005
9,32,35.3775549069
10,150,0.0010257157
11,16,0.005288295600000001
12,96,0.0111816064
13,250,0.07084244500000002
14,600,0.00026614600000000004
15,72,714.5483917706
16,24,66.89582476390001
17,64,18.5105713762
18,16,66.68197985129999
19,700,54.5709584821
20,250,125.2084321222
21,300,137.75148743120002
22,64,228.43249116010003
23,150,55.403018400200004
24,16,1239.1218580903999
