fid,best_budget,total_precision
1,16,0.0
1,24,0.0
1,40,0.0
1,48,0.0
1,72,0.0
1,80,0.0
1,88,0.0
1,96,0.0
1,100,0.0
1,150,0.0
1,200,0.0
1,250,0.0
1,300,0.0
1,350,0.0
1,400,0.0
1,450,0.0
1,500,0.0
1,550,0.0
1,600,0.0
1,650,0.0
1,700,0.0
1,750,0.0
1,800,0.0
1,850,0.0
1,900,0.0
1,950,0.0
1,1000,0.0
2,48,0.0006513471
3,40,738.6488493282001
4,450,1026.5534926792002
5,300,0.0
5,350,0.0
5,400,0.0
5,450,0.0
5,500,0.0
5,550,0.0
5,600,0.0
5,700,0.0
5,750,0.0
5,800,0.0
5,850,0.0
5,900,0.0
5,950,0.0
5,1000,0.0
6,100,0.026453988
7,150,157.32871720449998
8,300,47.170073212800006
9,32,39.0083234417
10,450,520.1052450277999
11,300,0.0219354536
12,400,0.8500016083999999
13,300,0.07938769220000001
14,300,0.0001646098
15,72,895.7722480295
16,40,71.50355695100001
17,96,37.394552277500004
18,8,70.25723166709999
19,650,55.844480378299984
20,200,114.1623336675
21,40,152.71324790479994
22,300,225.79182021539998
23,150,69.04656035249998
24,40,1250.9804626180003
