fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,ps_ratio,loglikelihood,mhl_norm,mhl_sum
1,6,0,1,0.9845664722046868,-0.1213945444907071,1,0.7254029860789788,-171.7165599310454,0.6279261110804507,6.66894804795148,10.620593618055558,0.7967072505216812,0.999999999999986,1.0000001240565652,0.9999999999999948,0.2875,0.0625,4.6,0.125,0.0875,1.4285714285714286,0.1674735729357903,0.2187515877105924,0.2309669217963128,0.3719807597891928,0.1711174479277053,0.1978269163656084,0.232791660765628,0.3877136642060751,-4.286420988789197,-4.022406356161564,-3.9595133803857134,-3.233476758324487,-4.176781760624466,-4.042191377067112,-3.866002233852814,-3.08534229997955,0.8224744134937181,0.9939939939939944,1.1723818032865998,0.3333333333333329,0.5,0.99815793705272,0.9441492663423658,0.9498346223446456,0.1305660492388563,-0.3429357586715379,0.967539285,1.5864321105,0.6978548789,0.406216499,-0.0394810531,0.3121198851,-0.027760301,0.1908442402,-30.3474750405,5.3578530834,13.5530745324
1,6,1,1,2.35078292785248,6.318703442045671,3,0.4073467581780476,-174.3204223048744,0.4728907168576901,3.0036110137288365,6.351596482349074,0.7548758086558292,0.9999999999999644,1.0000003420107733,0.99999999999999,0.275,0.1,2.75,0.4875,0.125,3.9,0.2444294155878291,0.2462548369872801,0.2751806331613219,0.404896348642615,0.2644064154252285,0.2623624224880663,0.2994114126982994,0.447094239225608,-3.034751893669364,-3.0274200822370294,-2.9112395207831163,-2.390235896082994,-2.7312884184927,-2.7388778460704017,-2.6013134626934646,-2.0529612174281944,0.7614582837129122,0.861861861861862,0.9098272894455568,0.0250250250250249,0.5512820512820513,1.0183917289751545,0.9543716426194824,0.9859332397361156,0.1195099259023097,-0.4293706282308371,0.8378612487,1.5655866297,0.6923613581,1.4222323159,-0.0714620399,0.9857798604,-0.0559482219,0.6681777979,-19.9898060892,3.9803838145,10.9403098095
1,6,2,1,1.5680313437544455,2.572244799266346,2,0.6850169117785201,-172.73935933290628,0.8087398787964948,4.990331760317256,6.170502891168775,0.8296892225529363,0.99999999999998,1.0000001944057215,0.9999999999999868,0.1875,0.1,1.875,0.2,0.125,1.6,0.4187840917115811,0.4014182602695131,0.3954698746760345,0.4600187942638567,0.4398201328407837,0.3911384981430784,0.3873118282503558,0.4745359073234536,-2.6482588412841137,-2.7273847151579664,-2.754488007608592,-2.46037656888837,-2.430331438018099,-2.641535935352022,-2.6581378817774857,-2.2797176029507296,0.8318027663516214,0.9279279279279278,0.9098272894455568,0.3553553553553552,0.5384615384615384,0.9956707363515244,0.9176538219631144,0.9320716712566182,0.1688405617343848,-0.3406802447280749,1.1690581119,1.5868821344,0.6989389011,1.7225926955,-0.2631913886,1.0819591209,-0.1960962945,0.8092898615,-36.1337354373,4.7670371105,13.1464841225
1,6,3,1,2.100126774033697,5.25936365242586,2,0.6216987673751688,-171.27738774808248,0.6636931261421526,5.4622243329888365,8.2300450582321,0.8274077870926106,0.9999999999999792,1.0000002181895349,0.999999999999994,0.2375,0.15,1.5833333333333333,0.175,0.05,3.5,0.2365494833583618,0.3544655213723596,0.3671152979788259,0.4824003084256413,0.2525273003053709,0.4125192332009669,0.3885635588548417,0.51435940200914,-3.5555351648660944,-3.006377609108944,-2.9474651785432524,-2.4105608216915124,-3.26086701904307,-2.562898494566737,-2.6674056804828643,-2.118618392007781,0.8542057924901203,0.9939939939939944,0.9098272894455568,0.2892892892892895,0.5512820512820513,1.009876295205518,0.9578288824912484,0.978237431385005,0.0951539717976024,-0.3753961549305152,0.9070173273,1.579115647,0.698114008,0.7928297483,0.0035537969,0.5727583776,0.0267605943,0.3724786938,-37.6806119165,7.6697139303,19.7377124894
1,6,4,1,1.7674512583687456,3.335492139630152,2,0.694838237708217,-167.5471149464629,0.4576710148967786,4.572382430217692,9.990544040130944,0.890665754189321,0.9999999999999728,1.0000002131717034,0.9999999999999928,0.3125,0.1,3.125,0.1875,0.1,1.875,0.2615796235511796,0.2003246035927732,0.3150073357288376,0.3994450278556785,0.2747490915500298,0.2123958451009973,0.3288739786394504,0.4237023621425279,-3.501144165111791,-3.79157853359789,-3.2478221703346817,-2.8474695493423967,-3.273876166362646,-3.5553467651118598,-3.029549443314705,-2.601481886241334,0.7671220738083304,1.1261261261261255,0.8648423275731727,0.0470470470470472,0.5,0.9783933570694628,0.9210663022021984,0.9407293668612514,0.1430656673799019,-0.338210317214943,0.8940375412,1.5447399378,0.6792646496,0.774239083,-0.1005850282,0.5445047875,-0.0708650445,0.3637446286,-26.8814066135,5.6732352221,14.7905737159
1,6,5,1,1.940850933407148,3.6520843175546807,2,0.6353198124844118,-172.43769547642984,0.6175307387625709,4.805079536973329,7.781117983862488,0.8742582872934056,0.999999999999986,1.0000001339358129,0.999999999999993,0.3125,0.1,3.125,0.1875,0.0875,2.142857142857143,0.1799711938823684,0.2189163296086964,0.261562649831577,0.3766463588376936,0.1917032352735611,0.2243001321778971,0.2615737048533013,0.4110686965632666,-3.5848451926845484,-3.4145922923651573,-3.22815926111534,-2.7250582994063137,-3.317307214018595,-3.183527238675045,-3.030553854487107,-2.4170158123956504,0.7757889771843326,0.861861861861862,0.5208548550577665,0.1351351351351351,0.5128205128205128,0.9878482329961412,0.9439022952449532,0.9629203227590812,0.1399217426585063,-0.3324950060317054,0.7608642558,1.5810607577,0.6937686794,0.7731804345,0.2211221581,0.67928576,0.1796807426,0.3632472658,-20.3224982291,5.329630892,13.9163226397
1,6,6,1,2.624707558944487,7.348026910979753,3,0.7176710592895142,-167.55354216194442,1.7883128630589076,4.231185523266178,2.3660208516471437,0.9126951044916952,0.9999999999999892,1.0000004912332552,0.9999999999999982,0.275,0.0625,4.4,0.2625,0.0375,7.000000000000001,0.243655453535091,0.24365640645615,0.2494702453659469,0.3343818214410236,0.2763811755652214,0.2664800436823994,0.296207578006616,0.3789383464975424,-2.952857813438776,-2.9528540931232032,-2.930156184172703,-2.5986514327514216,-2.490579379985721,-2.5246574803241657,-2.4223400978769307,-2.137594125085499,0.7717658729840859,1.1261261261261255,0.5764488282925874,0.1571571571571572,0.5128205128205128,0.9882901428486304,0.9585541405361784,0.9755383537657928,0.1168000575186965,-0.3369999570272087,0.6378709994,1.4718720567,0.6544928335,0.4437076911,-0.0172466023,0.2524872688,-0.0075521824,0.2084579464,-16.4067124494,6.8785457241,18.3981885264
1,6,7,1,1.6102639036011248,2.82424185951938,2,0.680074611156569,-174.16018920672275,0.0382481259114933,5.65451597805527,147.83772651083316,0.7326138817179091,0.9999999999999823,1.0000002510175705,0.9999999999999916,0.3125,0.1375,2.2727272727272725,0.1875,0.1125,1.6666666666666663,0.3011035918520148,0.2570316058294281,0.3909685884271552,0.457030033925021,0.305642350477478,0.2909672210334668,0.4292522463740923,0.4646988951900884,-3.081115117809985,-3.2754083790472777,-2.6849413840755,-2.3937066373306632,-3.015648685691209,-3.0793839017583364,-2.4788013990581823,-2.3248538764988456,0.7784176404083092,1.1261261261261255,1.05931476351837,0.3773773773773774,0.4230769230769231,0.9954595522248156,0.9383770191713968,0.9632294426692408,0.1209375966739638,-0.3861746369667799,0.9040104967,1.5852232346,0.7001641524,1.736477044,-0.1096666116,1.1721885892,-0.1066045898,0.8158128559,-30.8651003854,6.2827973405,16.4477283598
1,6,8,1,2.15942850240639,4.980706169915191,2,0.6290835291993264,-163.48946581284503,1.083597738152897,3.899548953348144,3.598705327675677,0.900615651077114,0.9999999999999876,1.000000236183806,0.9999999999999948,0.2875,0.1625,1.769230769230769,0.25,0.1375,1.818181818181818,0.2359943793802146,0.3190135923981608,0.3806897055552272,0.4848428069711974,0.2517521690645696,0.3467250200376066,0.3780366789678289,0.5143428997757747,-4.149370910419728,-3.698487437568895,-3.3635199152173203,-2.7978567347621386,-3.809426595168167,-3.325907513177202,-3.1664958031312067,-2.472543183203784,0.7765735820553489,1.0160160160160154,0.822081575524054,0.2232232232232229,0.4615384615384615,1.0248247704579647,0.9226662654825531,0.9286343068758058,0.1601634471042909,-0.3172370850017508,1.356015344,1.6405507235,0.720965006,1.4925990217,0.3453097863,1.0247302556,0.2290231664,0.7012367222,-47.0635109472,5.8934190738,15.7568933327
1,6,9,1,2.3659158403532663,7.64911159642438,2,0.4860735334074443,-168.41349161473167,0.3837091625798854,4.674786937324165,12.183151702432722,0.748030289805376,0.999999999999982,1.000000142466548,0.9999999999999912,0.2625,0.075,3.5000000000000004,0.3375,0.1125,3.0,0.1745445250077165,0.2252450603170495,0.2570511225234678,0.401393376716621,0.1838934058941266,0.2318436080549918,0.2794890785771065,0.4209256461053056,-4.303909777718097,-4.0395581121659125,-3.873721884449096,-3.121124006089163,-4.038838313961001,-3.8015370655111527,-3.565743906601261,-2.865787023451857,0.8337252044110756,0.8398398398398399,1.6719497597319883,0.3333333333333329,0.5,0.9746654605495468,0.9242189997921192,0.954109573620576,0.1422219238225706,-0.388339732590866,1.0010502156,1.6354132365,0.7217622759,0.8614834341,0.0226104493,0.7531490045,-0.0157618639,0.4047328256,-34.5852848105,5.5237387078,14.0067596087
