fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,ps_ratio,loglikelihood,mhl_norm,mhl_sum
1,6,0,1,-0.0167231805404401,-1.439881411781014,1,0.578290919444021,-166.7283807191428,1.1565193154864168,7.876662364853823,6.810662182101993,0.7338109338062033,0.9999999999999616,1.0000003690279964,0.3666666666666666,0.2833333333333333,1.2941176470588234,0.0,0.5613671867433492,0.5980991745243652,0.6075839958957175,0.0,0.5845111447287749,0.5845111447287749,0.5845111447287749,-5.830513047282761,-2.557454340659245,-2.3432880066494,-2.287986631892584,-5.599651497051065,-2.3265927904275494,-2.3265927904275494,-2.3265927904275494,0.8625145023277296,0.9279279279279278,3.072468842709004,0.641641641641642,0.5,1.089123005151566,0.9427962900306408,0.9284794088343988,0.1340488563724995,-0.5794948844634863,2.0127425719,2.1441577573,0.9499209914,2.1291992909,-0.0645849522,2.1467628134,-0.0776870207,1.0003173726,-73.4121264688,4.9850662472,12.8568273326
1,6,1,1,1.3091779364673926,0.6249300853960578,1,0.6279649447703685,-163.4452821098409,1.3961513148140912,4.35671464429159,3.120517524185208,0.8416536165932198,0.9999999999999616,1.0000006196765638,0.3166666666666666,0.15,2.111111111111111,0.0,0.5391861952276091,0.4229229591097801,0.4564879818929317,0.0,0.5403102665456542,0.5116989494061753,0.4947997718072906,-5.267283006439904,-2.42723672301053,-3.0396280908876805,-2.862831616771218,-5.256324854951466,-2.4162785715220925,-2.566668948935234,-2.6554965161764907,0.8498691228782437,0.8398398398398399,1.5892828656229765,0.2452452452452451,0.5454545454545454,1.0193522645231174,0.8777435248386212,0.8443367690261314,0.2187221094530307,-0.4877829827573285,1.8752190632,2.1112322372,0.9366776092,2.0161472963,0.2314794663,2.0825367779,0.2407738837,0.9472045078,-73.3474882381,5.6392568508,15.0266016217
1,6,2,1,1.053318709636257,0.8018483220016859,2,0.6357715458426215,-170.59411839507163,1.4580277215884632,6.29593334987362,4.318116354478124,0.9159384781085554,0.9999999999999516,1.0000004281211756,0.3833333333333333,0.3666666666666666,1.0454545454545454,0.0,0.6508370677765034,0.6491027738434512,0.7050245618276262,0.0,0.6693368690800537,0.6693368690800537,0.6983069134697591,-5.249599603542611,-1.8329655905722435,-1.8420699393156208,-1.5485029432845017,-5.104505923401828,-1.6878719104314597,-1.6878719104314597,-1.5399941472429943,0.9098152752885184,0.94994994994995,2.7075220544471525,0.5755755755755753,0.5454545454545454,1.063602199322212,0.8909327814281356,0.8791647233559745,0.1980003772199818,-0.4446300612223684,1.5981927264,2.0456323788,0.9110471359,0.9482197838,0.2342321747,1.1362842443,0.3304838958,0.445482359,-69.6288163551,6.2276016523,16.7312262265
1,6,3,1,1.339908906738552,1.164230007340576,2,0.5554486493658364,-165.66899597522698,0.9263900476968582,6.950481549950577,7.50275930449652,0.8655576894432913,0.9999999999999752,1.0000002414233478,0.3,0.3666666666666666,0.8181818181818182,0.0,0.8446536522035624,0.7584768913553577,0.6636556712773086,0.0,0.8594903576113357,0.7288969928357573,0.716440923922108,-6.431112920547874,-0.999049904473594,-1.5532623846154472,-2.1630683582015022,-6.320097681108223,-0.8880346650339428,-1.7133974869201962,-1.7921210591770755,0.8712219756400781,1.0380380380380387,3.400411932703709,0.5535535535535532,0.5454545454545454,0.920288463654365,0.9065590261359546,0.6508970268702378,0.1656351001574441,-0.6010424294544462,2.1056192992,2.1598338859,0.9597562171,2.1357859471,-0.2152882175,2.0536079248,-0.1736131257,1.0034118442,-85.4087327004,6.4651972135,17.4078965472
1,6,4,1,0.9756494124458092,0.3139861189780779,1,0.7172781739427228,-164.71010460876963,0.2173746657404408,7.012050235548045,32.257900025575566,0.8321366007352708,0.9999999999999308,1.0000010946675633,0.3,0.2833333333333333,1.0588235294117647,0.0,0.4951244767121303,0.5019163623972814,0.5637642172915007,0.0,0.5074111633851432,0.5074111633851432,0.6209749753567125,-5.490101834660265,-2.7718180366777947,-2.734529892616944,-2.3949788709923885,-5.357161990382137,-2.638878192399667,-2.638878192399667,-2.030498455422672,0.8556503351325087,0.9939939939939944,2.8483544033097714,0.4874874874874874,0.7272727272727273,0.9557868583123886,0.8609851129383217,0.7222087533306558,0.2294527725897119,-0.4497674879179343,1.715405102,2.0816925274,0.9278843793,2.0814702247,-0.2696947968,2.1166886003,-0.2791583476,0.9778938192,-77.2529497112,6.6743611578,17.8346885365
1,6,5,1,0.7613076596587864,-0.2549486302871329,1,0.6849796868994978,-166.8819989877485,1.15208946124628,6.257824466494684,5.431717481145295,0.8862015780608562,0.9999999999999792,1.0000003692004298,0.2666666666666666,0.2666666666666666,1.0,0.0,0.3953899347427707,0.4076482170605719,0.5011225224104378,0.0,0.3985111523617162,0.3985111523617162,0.5240258592676414,-5.438403016134808,-3.288113202480379,-3.2214477229506167,-2.713096778804801,-5.395808375527412,-3.245518561872984,-3.245518561872984,-2.568265255098124,0.6302083452803909,1.0820820820820811,1.3312624876018004,0.2892892892892895,0.2727272727272727,1.060674140688483,0.9253225387924048,0.9175405975915454,0.1981634897891393,-0.5709417621614239,1.6878194129,2.0605184954,0.917105858,1.6343178022,-0.3382993747,1.6806374954,-0.3475920974,0.7678175063,-70.4415885406,5.975405517,15.3273855363
1,6,6,1,1.2625250956036136,0.6777762736333761,1,0.7222338340198031,-163.35819440628237,1.8752267190792735,5.156933814833517,2.7500321760376494,0.9277159938726524,0.99999999999998,1.0000005671497418,0.4,0.2666666666666666,1.5,0.0,0.7801966174366068,0.652786667452951,0.6939962790556152,0.0,0.835040359660149,0.6550664519488271,0.775510516361468,-5.647185002039052,-1.241270365409446,-1.9607779240676928,-1.7280596234852728,-5.276289445964933,-0.8703748093353267,-1.819969239141641,-1.1844714932521043,0.8556503351325087,1.1261261261261255,2.0479120966650832,0.3553553553553552,0.6818181818181818,0.9910188163869672,0.9484064770016816,0.913034698865852,0.1027806959225354,-0.4236329143863634,1.8042019163,2.0605714393,0.9184118115,1.8073000384,0.1468713889,1.7993956613,0.1470821292,0.8490861488,-72.142956376,5.8377311735,15.0577193329
1,6,7,1,0.9368473003615329,0.9753427148552758,2,0.718298267837946,-171.1638359424156,0.001162404487278,5.293235092485839,4553.694647962829,0.7103322316365421,0.9999999999999788,1.000000380978479,0.1166666666666666,0.1166666666666666,1.0,0.0,0.5999563726633641,0.5101637883128265,0.6719097825474634,0.0,0.6007188958566306,0.5904569384558814,0.6129244339197266,-5.775081761032417,-2.3102846558490557,-2.828844172007809,-1.894747830783304,-5.767751154627039,-2.3029540494436773,-2.3621424660905825,-2.232555543187412,0.8712219756400781,1.1261261261261255,1.5892828656229765,0.2232232232232229,0.5909090909090909,0.9386793845864444,0.894090350966489,0.8189061305864409,0.1476028710748314,-0.4672725872214947,1.847859183,2.0987031013,0.9332770822,2.0119311566,-0.0565853109,2.0133591191,-0.0642601209,0.9452237266,-78.5985303337,6.6349686851,18.1351748606
1,6,8,1,1.0454275080186863,0.1430005561977827,1,0.675356344240448,-166.06774377507742,0.3100254652873115,7.724809353028402,24.91669303961708,0.9791563691674996,0.9999999999999828,1.000000644821441,0.3166666666666666,0.15,2.111111111111111,0.0,0.6762157026772765,0.6447785088133028,0.7073333094514357,0.0,0.7136637063752829,0.7136637063752829,0.7136637063752829,-5.665449451500649,-1.8343835696715467,-2.0124894024049165,-1.658088341440874,-5.368166893742137,-1.5371010119130344,-1.5371010119130344,-1.5371010119130344,0.8712219756400781,1.0380380380380387,2.0479120966650832,0.5535535535535532,0.5,1.061180153719243,0.9381447903451912,0.9561261600968288,0.1272799432988545,-0.5266474047412062,1.5745404894,2.0113434922,0.8956501971,1.6212206645,-0.0264259116,1.6840116238,-0.0482596374,0.7616643508,-73.4684440217,7.1049844241,19.4704212747
1,6,9,1,1.4981710399513788,1.99147961601944,2,0.6264913684521314,-167.40558723240676,0.4900217229394572,6.62155157622945,13.512771508391989,0.9449589088738696,0.9999999999999852,1.0000008174591035,0.2333333333333333,0.3,0.7777777777777777,0.0,0.5038941438743653,0.5257858490086019,0.5698816704076534,0.0,0.50832001118319,0.50832001118319,0.5505681640461595,-6.445376015893795,-3.197588786416624,-3.056488515197396,-2.772274365550813,-6.38925707826742,-3.1414698487902486,-3.1414698487902486,-2.8715355390667976,0.7980017164407939,0.9939939939939944,1.997284220003673,0.3553553553553552,0.5,1.0047688261937229,0.9240624312598876,0.8708841645335543,0.1572209753319408,-0.4179170558701353,2.0586294252,2.1810979524,0.9639123634,3.2499405221,-0.0252135626,3.2427118798,-0.0453902832,1.5268518913,-77.6497560004,5.0596998781,13.9736426225
