fid,iid,rep,budget,precision
1,1,0,8,-12.0
1,1,0,16,-12.0
1,1,0,24,-12.0
1,1,0,32,-12.0
1,1,0,40,-12.0
1,1,0,48,-12.0
1,1,0,56,-12.0
1,1,0,64,-12.0
1,1,0,72,-12.0
1,1,0,80,-12.0
1,1,0,88,-12.0
1,1,0,96,-12.0
1,1,0,100,-12.0
1,1,0,150,-12.0
1,1,0,200,-12.0
1,1,0,250,-12.0
1,1,0,300,-12.0
1,1,0,350,-12.0
1,1,0,400,-12.0
1,1,0,450,-12.0
1,1,0,500,-12.0
1,1,0,550,-12.0
1,1,0,600,-12.0
1,1,0,650,-12.0
1,1,0,700,-12.0
1,1,0,750,-12.0
1,1,0,800,-12.0
1,1,0,850,-12.0
1,1,0,900,-12.0
1,1,0,950,-12.0
1,1,0,1000,-12.0
1,1,1,8,-12.0
1,1,1,16,-12.0
1,1,1,24,-12.0
1,1,1,32,-12.0
1,1,1,40,-12.0
1,1,1,48,-12.0
1,1,1,56,-12.0
1,1,1,64,-12.0
1,1,1,72,-12.0
1,1,1,80,-12.0
1,1,1,88,-12.0
1,1,1,96,-12.0
1,1,1,100,-12.0
1,1,1,150,-12.0
1,1,1,200,-12.0
1,1,1,250,-12.0
1,1,1,300,-12.0
1,1,1,350,-12.0
1,1,1,400,-12.0
1,1,1,450,-12.0
1,1,1,500,-12.0
1,1,1,550,-12.0
1,1,1,600,-12.0
1,1,1,650,-12.0
1,1,1,700,-12.0
1,1,1,750,-12.0
1,1,1,800,-12.0
1,1,1,850,-12.0
1,1,1,900,-12.0
1,1,1,950,-12.0
1,1,1,1000,-12.0
1,1,2,8,-12.0
1,1,2,16,-12.0
1,1,2,24,-12.0
1,1,2,32,-12.0
1,1,2,40,-12.0
1,1,2,48,-12.0
1,1,2,56,-12.0
1,1,2,64,-12.0
1,1,2,72,-12.0
1,1,2,80,-12.0
1,1,2,88,-12.0
1,1,2,96,-12.0
1,1,2,100,-12.0
1,1,2,150,-12.0
1,1,2,200,-12.0
1,1,2,250,-12.0
1,1,2,300,-12.0
1,1,2,350,-12.0
1,1,2,400,-12.0
1,1,2,450,-12.0
1,1,2,500,-12.0
1,1,2,550,-12.0
1,1,2,600,-12.0
1,1,2,650,-12.0
1,1,2,700,-12.0
1,1,2,750,-12.0
1,1,2,800,-12.0
1,1,2,850,-12.0
1,1,2,900,-12.0
