fid,iid,rep,budget,precision
1,1,0,8,1e-12
1,1,0,16,1e-12
1,1,0,24,1e-12
1,1,0,32,1e-12
1,1,0,40,1e-12
1,1,0,48,1e-12
1,1,0,56,1e-12
1,1,0,64,1e-12
1,1,0,72,1e-12
1,1,0,80,1e-12
1,1,0,88,1e-12
1,1,0,96,1e-12
1,1,0,100,1e-12
1,1,0,150,1e-12
1,1,0,200,1e-12
1,1,0,250,1e-12
1,1,0,300,1e-12
1,1,0,350,1e-12
1,1,0,400,1e-12
1,1,0,450,1e-12
1,1,0,500,1e-12
1,1,0,550,1e-12
1,1,0,600,1e-12
1,1,0,650,1e-12
1,1,0,700,1e-12
1,1,0,750,1e-12
1,1,0,800,1e-12
1,1,0,850,1e-12
1,1,0,900,1e-12
1,1,0,950,1e-12
1,1,0,1000,1e-12
1,1,1,8,1e-12
1,1,1,16,1e-12
1,1,1,24,1e-12
1,1,1,32,1e-12
1,1,1,40,1e-12
1,1,1,48,1e-12
1,1,1,56,1e-12
1,1,1,64,1e-12
1,1,1,72,1e-12
1,1,1,80,1e-12
1,1,1,88,1e-12
1,1,1,96,1e-12
1,1,1,100,1e-12
1,1,1,150,1e-12
1,1,1,200,1e-12
1,1,1,250,1e-12
1,1,1,300,1e-12
1,1,1,350,1e-12
1,1,1,400,1e-12
1,1,1,450,1e-12
1,1,1,500,1e-12
1,1,1,550,1e-12
1,1,1,600,1e-12
1,1,1,650,1e-12
1,1,1,700,1e-12
1,1,1,750,1e-12
1,1,1,800,1e-12
1,1,1,850,1e-12
1,1,1,900,1e-12
1,1,1,950,1e-12
1,1,1,1000,1e-12
1,1,2,8,1e-12
1,1,2,16,1e-12
1,1,2,24,1e-12
1,1,2,32,1e-12
1,1,2,40,1e-12
1,1,2,48,1e-12
1,1,2,56,1e-12
1,1,2,64,1e-12
1,1,2,72,1e-12
1,1,2,80,1e-12
1,1,2,88,1e-12
1,1,2,96,1e-12
1,1,2,100,1e-12
1,1,2,150,1e-12
1,1,2,200,1e-12
1,1,2,250,1e-12
1,1,2,300,1e-12
1,1,2,350,1e-12
1,1,2,400,1e-12
1,1,2,450,1e-12
1,1,2,500,1e-12
1,1,2,550,1e-12
1,1,2,600,1e-12
1,1,2,650,1e-12
1,1,2,700,1e-12
1,1,2,750,1e-12
1,1,2,800,1e-12
1,1,2,850,1e-12
1,1,2,900,1e-12
1,1,2,950,1e-12
1,1,2,1000,1e-12
1,1,3,8,1e-12
1,1,3,16,1e-12
1,1,3,24,1e-12
1,1,3,32,1e-12
1,1,3,40,1e-12
1,1,3,48,1e-12
1,1,3,56,1e-12
1,1,3,64,1e-12
1,1,3,72,1e-12
1,1,3,80,1e-12
1,1,3,88,1e-12
1,1,3,96,1e-12
1,1,3,100,1e-12
1,1,3,150,1e-12
1,1,3,200,1e-12
1,1,3,250,1e-12
1,1,3,300,1e-12
1,1,3,350,1e-12
1,1,3,400,1e-12
1,1,3,450,1e-12
1,1,3,500,1e-12
1,1,3,550,1e-12
1,1,3,600,1e-12
1,1,3,650,1e-12
1,1,3,700,1e-12
1,1,3,750,1e-12
1,1,3,800,1e-12
1,1,3,850,1e-12
1,1,3,900,1e-12
1,1,3,950,1e-12
1,1,3,1000,1e-12
1,1,4,8,1e-12
1,1,4,16,1e-12
1,1,4,24,1e-12
1,1,4,32,1e-12
1,1,4,40,1e-12
1,1,4,48,1e-12
1,1,4,56,1e-12
1,1,4,64,1e-12
1,1,4,72,1e-12
1,1,4,80,1e-12
1,1,4,88,1e-12
1,1,4,96,1e-12
1,1,4,100,1e-12
1,1,4,150,1e-12
1,1,4,200,1e-12
1,1,4,250,1e-12
1,1,4,300,1e-12
1,1,4,350,1e-12
1,1,4,400,1e-12
