fid,best_budget,total_precision
1,24,0.0
1,40,0.0
1,56,0.0
1,64,0.0
1,80,0.0
1,88,0.0
1,96,0.0
1,100,0.0
1,150,0.0
1,200,0.0
1,250,0.0
1,300,0.0
1,350,0.0
1,400,0.0
1,750,0.0
1,800,0.0
1,850,0.0
1,900,0.0
1,950,0.0
1,1000,0.0
2,48,0.0006513471
3,40,816.2453361452001
4,450,1117.8273254432002
5,8,0.0
5,16,0.0
5,40,0.0
5,150,0.0
5,450,0.0
5,500,0.0
5,600,0.0
5,650,0.0
5,750,0.0
5,800,0.0
5,850,0.0
5,900,0.0
5,950,0.0
5,1000,0.0
6,400,0.0838064803
7,250,165.53462662939995
8,550,47.170073212000005
9,32,37.1770393148
10,450,520.1052450277999
11,300,0.0219354536
12,400,0.8500016083999999
13,250,0.07136083850000001
14,96,0.0003671416
15,40,729.4866362059
16,40,70.6327447786
17,40,24.9169254044
18,40,68.2043750643
19,550,54.93636118880001
20,150,128.1533087427
21,300,151.48980113890002
22,450,217.579275119
23,150,57.58560228620001
24,40,1279.5479463589998
