fid,iid,rep,evaluations,raw_y,true_y,x0,x1,x2,x3,x4
1,1.0,0.0,1,69.4422085447,148.9222085447,3.528105,0.800314,1.957476,4.481786,3.735116
1,1.0,0.0,2,31.2079880479,110.6879880479,-1.954556,1.900177,-0.302714,-0.206438,0.821197
1,1.0,0.0,3,37.1401847808,116.6201847808,0.288087,2.908547,1.522075,0.24335,0.887726
1,1.0,0.0,4,20.0875813001,99.5675813001,0.667349,2.988158,-0.410317,0.626135,-1.708191
1,1.0,0.0,5,103.4459151652,182.92591516520002,-5.0,1.307237,1.728872,-1.48433,4.539509
1,1.0,0.0,6,44.5524779418,124.03247794180001,-2.908731,0.091517,-0.374368,3.065558,2.938718
1,1.0,0.0,7,43.3776992019,122.8576992019,0.309895,0.756325,-1.775571,-3.961593,-0.695824
1,1.0,0.0,8,34.4844472575,113.96444725750001,0.312698,2.460581,2.40476,-0.774654,-0.604606
1,1.0,0.0,9,80.4949867431,159.9749867431,1.379943,4.191587,4.82618,-0.250957,1.201713
1,1.0,0.0,10,36.113764466,115.59376446600001,-0.20588,3.358828,-2.288093,2.745028,0.839987
1,1.0,0.0,11,43.4268993064,122.9068993064,-0.825648,3.320996,-1.540573,-0.831723,1.052718
1,1.0,0.0,12,23.1482236481,102.6282236481,-0.012552,3.20879,-1.221079,0.566877,-1.2937
1,1.0,0.0,13,47.763533384,127.243533384,0.380459,3.175741,-2.218583,-0.317914,1.978127
1,1.0,0.0,14,30.3074490088,109.7874490088,0.408111,2.82781,-0.897389,2.717757,1.027286
1,1.0,0.0,15,12.9622517364,92.44225173640001,-0.46049,1.478424,-2.679618,1.41177,-1.489257
1,1.0,0.0,16,36.3156453854,115.79564538540001,0.439269,3.056026,0.2885,0.509054,1.25607
1,1.0,1.0,1,45.1365438782,124.6165438782,3.248691,-1.223513,-1.056344,-2.145937,1.730815
1,1.0,1.0,2,52.2274171147,131.7074171147,-4.603077,3.489624,-1.522414,0.638078,-0.498741
1,1.0,1.0,3,47.6713869863,127.1513869863,2.924216,-4.120281,-0.644834,-0.768109,2.267539
1,1.0,1.0,4,25.9267428516,105.4067428516,-2.199783,-0.344856,-1.755717,0.084427,1.16563
1,1.0,1.0,5,45.2274833044,124.7074833044,-2.201238,2.289447,1.803181,1.004989,1.801712
1,1.0,1.0,6,24.8332461707,104.31324617070001,-1.367456,-0.24578,-1.871539,-0.535776,1.060711
1,1.0,1.0,7,18.1042159378,97.5842159378,-1.383322,-0.793507,-1.374345,-1.690411,-1.342492
1,1.0,1.0,8,21.9492131449,101.4292131449,-0.025329,-2.234621,0.468831,3.319604,1.484088
1,1.0,1.0,9,37.2132497843,116.69324978430001,-1.641613,-0.334039,0.361919,-3.147986,-0.227456
1,1.0,1.0,10,32.0025352273,111.4825352273,-1.260253,0.052153,-4.510071,0.057994,0.548189
1,1.0,1.0,11,16.4085932344,95.8885932344,-1.268059,-2.002015,1.015784,0.178586,0.020957
1,1.0,1.0,12,16.3895507979,95.8695507979,-0.427755,-1.902882,-3.350386,-0.438639,-0.984203
1,1.0,1.0,13,8.2092148069,87.6892148069,-1.504437,-0.795473,-2.610375,1.229839,-1.707575
1,1.0,1.0,14,35.4925296834,114.97252968340001,2.057208,2.553315,-2.422594,-1.845176,-1.513889
1,1.0,1.0,15,29.5714426601,109.05144266010001,-2.790397,0.567669,-1.2988,-1.3245,-0.143507
1,1.0,1.0,16,33.7890986955,113.2690986955,-3.592934,0.617373,-2.691908,-0.18148,0.064364
1,1.0,2.0,1,17.516325617,96.996325617,-0.833516,-0.112534,-4.272392,3.280542,-3.586871
1,1.0,2.0,2,28.6313294015,108.1113294015,-1.683495,1.005763,-2.490576,-2.115904,-1.818015
1,1.0,2.0,3,65.7894081713,145.2694081713,1.102908,4.584416,0.083079,-2.235851,1.078117
1,1.0,2.0,4,31.7838397901,111.26383979010001,-1.192319,-0.038261,2.350002,-1.495742,0.018051
1,1.0,2.0,5,25.532405752,105.012405752,-1.756216,-0.312868,0.513141,-1.977558,-0.677644
1,1.0,2.0,6,31.643210047,111.123210047,-0.472368,-1.27531,-2.375225,-2.842434,-0.30699
1,1.0,2.0,7,63.9913409449,143.47134094490002,-0.538114,4.462734,-4.869535,0.225453,0.740889
1,1.0,2.0,8,29.5713765301,109.0513765301,2.719268,1.003714,-1.688427,2e-05,1.084705
1,1.0,2.0,9,55.8533487756,135.3333487756,-5.0,0.734258,-0.172532,-0.931394,1.34589
1,1.0,2.0,10,11.513342967,90.993342967,-0.087353,0.143157,-3.356993,1.968929,-1.01548
1,1.0,2.0,11,2.8116039935,82.2916039935,-1.261889,-0.952243,-0.542338,1.334194,-2.377866
1,1.0,2.0,12,21.102855113,100.58285511300001,-1.655777,-1.731485,-4.14952,1.795817,-5.0
1,1.0,2.0,13,35.2089315177,114.68893151770001,-2.573849,0.726002,-5.0,1.820653,-5.0
1,1.0,2.0,14,19.6889539801,99.1689539801,-3.048045,1.240218,0.291425,0.937179,-1.66196
1,1.0,2.0,15,28.8733471089,108.35334710890001,-2.516074,0.546972,-5.0,1.893259,-2.544533
1,1.0,2.0,16,14.2179477065,93.6979477065,-2.467111,-0.329953,-1.555496,1.668948,-5.0
1,1.0,3.0,1,52.4938046065,131.9738046065,3.577257,0.87302,0.192995,-3.726985,-0.554776
1,1.0,3.0,2,9.2263415775,88.7063415775,-0.709518,-0.165483,-1.254001,-0.087636,-0.954436
1,1.0,3.0,3,33.0040610526,112.4840610526,-2.62773,1.769245,1.762636,3.419146,0.100067
1,1.0,3.0,4,6.9750750012,86.4550750012,-0.809355,-1.09072,-3.092955,1.964735,-2.202135
1,1.0,3.0,5,23.6100422267,103.0900422267,-2.370093,-0.4113,2.972297,0.473433,-2.04757
1,1.0,3.0,6,25.7072354621,105.1872354621,-1.425986,1.25049,-0.321027,-1.537673,-0.460061
1,1.0,3.0,7,42.0050414294,121.48504142940001,1.490113,3.952222,-2.488247,-1.252834,-1.607532
1,1.0,3.0,8,34.0925886319,113.5725886319,-4.838166,-1.847584,-2.047752,2.247956,-0.263828
1,1.0,3.0,9,21.7929707848,101.27297078480001,2.92182,-0.662181,-2.776681,0.147611,-0.026169
1,1.0,3.0,10,30.0860395545,109.56603955450001,0.922411,0.813202,-4.240123,1.808136,0.97702
1,1.0,3.0,11,30.271291721,109.751291721,-4.055029,-3.243797,-2.494729,0.460289,-4.120725
1,1.0,3.0,12,24.9130898094,104.39308980940001,3.477402,-0.260799,1.558718,1.030963,0.094015
1,1.0,3.0,13,20.7759188275,100.25591882750001,-2.421197,-2.686223,2.174455,0.237402,-2.499786
1,1.0,3.0,14,13.1492962618,92.62929626180001,-0.967745,-1.761762,-2.657325,3.401918,-5.0
1,1.0,3.0,15,13.6626420171,93.1426420171,-0.812818,-1.319228,-0.141292,-0.677919,-5.0
1,1.0,3.0,16,22.2684205023,101.74842050230001,-0.988456,-3.058914,-4.676967,2.462765,-1.587168
1,1.0,4.0,1,9.9735365944,89.4535365944,0.101123,0.999903,-1.991818,1.387197,-0.836603
1,1.0,4.0,2,17.1610739152,96.6410739152,-3.169154,-1.295414,1.19715,0.6645,-2.294953
1,1.0,4.0,3,6.1364572301,85.61645723010001,1.237339,-0.175974,0.850145,0.664506,-2.313633
1,1.0,4.0,4,22.7018816485,102.1818816485,0.701994,-1.213775,3.093959,1.446683,0.092271
1,1.0,4.0,5,77.2888554423,156.7688554423,-1.965983,0.108865,0.319786,-2.417896,4.44672
1,1.0,4.0,6,24.9782819092,104.4582819092,0.78859,3.384715,-2.225624,3.271495,-2.721931
1,1.0,4.0,7,52.4604471742,131.94044717420002,-1.302452,1.084903,0.096012,-4.716147,-2.211168
1,1.0,4.0,8,61.3919119909,140.8719119909,1.675673,4.175742,1.829682,-0.552407,1.593024
1,1.0,4.0,9,17.2112985726,96.6912985726,0.922122,1.959395,-0.103713,-0.519445,-3.508882
1,1.0,4.0,10,10.9413711841,90.4213711841,-0.408805,-1.347235,-0.442666,1.621806,0.527854
1,1.0,4.0,11,9.7598886533,89.2398886533,1.101343,-0.474799,0.912013,4.276309,-2.067509
1,1.0,4.0,12,11.5040601725,90.98406017250001,1.616734,-0.216502,0.676446,2.685772,-0.186469
1,1.0,4.0,13,8.3074066845,87.7874066845,-1.167787,-3.072778,-2.233052,2.158498,-2.144832
1,1.0,4.0,14,31.9971547126,111.4771547126,0.96274,1.256892,-2.201005,-2.444891,-0.588552
1,1.0,4.0,15,12.6761949648,92.15619496480001,-0.748163,-2.269757,-0.464053,1.031194,0.412197
1,1.0,4.0,16,10.248572509,89.728572509,1.695403,-0.559676,1.65123,1.872147,-1.20898
1,1.0,5.0,1,46.1576871045,125.6376871045,0.882455,-0.66174,4.861542,-0.504184,0.21922
1,1.0,5.0,2,15.6203064662,95.10030646620001,3.164962,-1.818465,-1.183273,0.375206,-0.65974
1,1.0,5.0,3,8.4574302613,87.93743026130001,-2.385529,-0.409753,-0.717658,1.206943,-3.329577
1,1.0,5.0,4,74.6584073469,154.1384073469,-1.400358,2.302782,3.714662,-3.022359,1.289695
1,1.0,5.0,5,35.7759449617,115.25594496170001,-1.961216,-1.713706,-1.743758,-0.845016,1.99288
1,1.0,5.0,6,12.7809193173,92.26091931730001,1.424843,0.118288,-0.726622,0.006578,-0.211861
1,1.0,5.0,7,13.4627891804,92.9427891804,1.586107,-1.263143,-0.01239,-0.202135,-0.104616
1,1.0,5.0,8,52.0820733629,131.5620733629,0.498435,0.39532,2.669697,-0.173751,3.123065
1,1.0,5.0,9,2.3769641992,81.85696419920001,-0.157805,-0.838385,0.208497,0.816666,-2.603859
1,1.0,5.0,10,14.1747766084,93.6547766084,-0.579744,0.811144,-3.394943,0.617014,-1.80878
1,1.0,5.0,11,17.7252156719,97.2052156719,-1.369401,-1.99529,-2.860455,0.995918,0.312589
1,1.0,5.0,12,15.0372471848,94.5172471848,2.341733,1.509126,-2.096588,1.908665,-3.97777
1,1.0,5.0,13,16.0065058544,95.48650585440001,-2.789235,0.631456,-0.837896,0.218799,-1.889725
1,1.0,5.0,14,42.1343029896,121.6143029896,-4.798867,2.165286,-1.675929,2.358709,-0.562864
1,1.0,5.0,15,47.6716858348,127.1516858348,0.309515,4.384859,0.666562,-1.498262,-0.865171
1,1.0,5.0,16,21.8547830655,101.3347830655,-1.956266,0.981332,0.554486,-0.812642,-0.873504
1,1.0,6.0,1,28.0792857255,107.5592857255,-0.623567,1.458008,0.435642,-1.798184,-4.973561
1,1.0,6.0,2,24.5647267837,104.0447267837,1.826503,2.254127,-3.028186,3.278582,-0.859787
1,1.0,6.0,3,36.8395549424,116.3195549424,5.0,1.203644,-0.671763,2.475476,0.222256
1,1.0,6.0,4,20.8258875036,100.3058875036,0.258302,0.152255,-0.310256,1.268451,1.62131
1,1.0,6.0,5,53.9251796311,133.4051796311,0.709617,3.625181,-2.712952,-0.927264,1.649308
1,1.0,6.0,6,49.0706764786,128.5506764786,-2.352863,3.128979,1.42541,-0.362013,1.068399
1,1.0,6.0,7,19.7125907776,99.1925907776,-1.173226,-2.963707,1.714495,1.886198,0.228883
1,1.0,6.0,8,28.6512791152,108.1312791152,-0.043913,-4.254289,-1.668815,-0.931017,0.467421
1,1.0,6.0,9,19.3474406609,98.82744066090001,1.368848,-3.160326,1.961984,0.746742,-0.339505
1,1.0,6.0,10,25.4586405187,104.9386405187,-0.483715,2.741874,1.229558,1.469019,-0.295231
1,1.0,6.0,11,17.8179535725,97.2979535725,1.514227,-0.056624,1.09824,1.437701,0.704017
1,1.0,6.0,12,37.6235408623,117.10354086230001,3.952781,-2.55756,1.487239,3.870662,0.966366
1,1.0,6.0,13,18.4187377054,97.89873770540001,-0.479206,-3.039483,1.268857,1.437083,0.501573
1,1.0,6.0,14,15.490896087,94.970896087,-1.386678,1.329472,0.31651,4.240821,-2.253888
1,1.0,6.0,15,45.9278450435,125.4078450435,1.352393,-3.097234,-0.325584,0.787165,3.603853
1,1.0,6.0,16,16.8909459818,96.3709459818,-0.932115,-0.160504,2.600052,1.895129,-0.824995
1,1.0,7.0,1,12.911725061,92.391725061,3.381051,-0.931875,0.06564,0.815033,-1.577846
1,1.0,7.0,2,24.2348404846,103.7148404846,0.004131,-0.001781,-3.509449,2.035316,1.200997
1,1.0,7.0,3,16.7494372281,96.22943722810001,-1.250858,-0.343097,1.010599,-0.522713,-0.485498
1,1.0,7.0,4,18.0959874692,97.5759874692,-2.906483,1.109161,0.247762,0.54892,-3.053049
1,1.0,7.0,5,22.6966708163,102.1766708163,3.301399,0.308671,-0.77428,4.058144,-0.090772
1,1.0,7.0,6,28.3556967882,107.83569678820001,-2.901357,-0.810456,-4.57663,2.098793,-0.832949
1,1.0,7.0,7,23.3974138169,102.8774138169,-1.485107,2.14494,-3.302151,1.070859,-4.12883
1,1.0,7.0,8,24.0288110612,103.5088110612,-1.324319,-2.40844,2.923951,3.532322,-0.658828
1,1.0,7.0,9,20.3839575492,99.86395754920001,-1.286225,-1.098387,-0.927827,-0.184912,0.995171
1,1.0,7.0,10,40.5521523352,120.03215233520001,0.674911,-2.380302,2.108357,-3.54516,-1.723305
1,1.0,7.0,11,3.7015866768,83.18158667680001,-0.038447,-0.446239,-2.244134,1.263789,-2.079132
1,1.0,7.0,12,12.0725794062,91.55257940620001,2.175211,-2.821765,1.621155,1.984737,-2.361975
1,1.0,7.0,13,17.1612718727,96.6412718727,-1.498271,-0.857958,3.001128,2.110807,-2.989231
1,1.0,7.0,14,25.9767013168,105.45670131680001,-0.180467,0.38941,2.540396,1.70729,0.882054
1,1.0,7.0,15,6.6279493581,86.1079493581,1.247987,-0.933273,-0.930611,2.334089,-5.0
1,1.0,7.0,16,25.1774580118,104.6574580118,-1.102514,-0.400874,0.25007,-1.615298,0.36497
1,1.0,8.0,1,46.9428164837,126.4228164837,0.182409,2.182565,-3.893941,-2.772699,-4.592983
1,1.0,8.0,2,90.0640715572,169.5440715572,4.819669,3.455672,4.409113,1.589655,1.952842
1,1.0,8.0,3,48.3701204455,127.85012044550001,-2.366854,3.832727,-2.246654,-1.328071,-0.756717
1,1.0,8.0,4,21.0684294665,100.54842946650001,-1.583231,1.719096,-0.461578,-0.131322,-0.417272
1,1.0,8.0,5,7.6387041141,87.1187041141,2.693737,-1.213906,-0.348496,0.848103,-3.29198
1,1.0,8.0,6,20.1440703025,99.6240703025,-0.967082,1.070937,2.332281,0.323366,-1.345668
1,1.0,8.0,7,17.0261892134,96.5061892134,2.885048,-0.442961,0.062529,0.363859,-0.125857
1,1.0,8.0,8,20.8436478141,100.3236478141,-1.083137,0.949037,-2.329182,-1.001819,-0.817122
1,1.0,8.0,9,13.9656723995,93.44567239950001,2.614869,-0.136169,1.193838,0.649543,-1.253864
1,1.0,8.0,10,55.111155573,134.591155573,5.0,0.46969,-4.516986,-1.878946,-1.65008
1,1.0,8.0,11,35.0982329008,114.5782329008,5.0,-3.96919,0.641912,2.389943,-1.076993
1,1.0,8.0,12,9.9226466361,89.4026466361,1.904673,-1.997925,-1.002902,3.867734,-4.305579
1,1.0,8.0,13,27.0614261997,106.5414261997,1.606739,2.497558,0.796163,-1.137838,-3.097324
1,1.0,8.0,14,18.8135506442,98.2935506442,-1.633477,0.202358,1.907304,3.840046,-4.360801
1,1.0,8.0,15,17.0129795669,96.4929795669,2.784346,1.305602,-0.119326,0.024438,-3.427621
1,1.0,8.0,16,33.1848713947,112.6648713947,5.0,1.485343,0.158111,0.228941,-2.588298
1,1.0,9.0,1,10.1840295071,89.6640295071,0.002217,-0.579088,-2.232133,-0.025766,-0.756723
1,1.0,9.0,2,12.7844717214,92.2644717214,-0.962271,-3.034662,-0.981744,-0.481361,-1.295895
1,1.0,9.0,3,64.5611220043,144.0411220043,1.271782,3.480235,0.593364,1.415007,3.645632
1,1.0,9.0,4,52.2068011656,131.6868011656,0.861538,3.085459,-1.801442,-0.27425,2.595158
1,1.0,9.0,5,24.398735459,103.87873545900001,1.350542,0.063916,1.836292,0.761019,1.032735
1,1.0,9.0,6,16.1144842273,95.5944842273,-0.710479,0.417554,0.656822,-0.99645,-4.183554
1,1.0,9.0,7,74.3099108906,153.7899108906,-0.165175,4.910365,-5.0,-1.826559,-0.454629
1,1.0,9.0,8,49.9231652107,129.4031652107,0.538631,2.260923,2.084795,2.607621,2.778801
1,1.0,9.0,9,14.7933350509,94.2733350509,-1.211666,-0.114181,-1.504376,-0.451725,-0.379246
1,1.0,9.0,10,30.4286175628,109.9086175628,-1.201406,-0.865273,-2.831602,-2.789949,-3.922967
1,1.0,9.0,11,37.1818841829,116.6618841829,-0.188644,4.372354,1.564686,0.893042,-2.349809
1,1.0,9.0,12,17.1705566967,96.65055669670001,-1.309428,-0.269606,-0.385316,0.393855,0.707339
1,1.0,9.0,13,29.2148373779,108.6948373779,-4.200993,-2.234906,-0.207466,4.391779,-1.312824
1,1.0,9.0,14,21.3188065384,100.7988065384,-0.990026,-5.0,-2.94969,1.85074,-2.891952
1,1.0,9.0,15,18.6463775287,98.1263775287,-0.037537,1.75087,-2.236215,-0.864312,-2.500056
1,1.0,9.0,16,11.9642614113,91.4442614113,-0.287929,-2.263813,-2.49121,0.886842,-0.182264
1,1.0,10.0,1,37.2755970344,116.75559703440001,2.663173,1.430558,-3.090801,-0.016768,1.242672
1,1.0,10.0,2,15.7149411073,95.1949411073,-1.440171,0.531023,0.217097,0.008583,-0.3492
1,1.0,10.0,3,24.3892685,103.8692685,0.866052,2.406075,-1.930131,2.056548,0.45726
1,1.0,10.0,4,4.0001221363,83.4801221363,0.890275,-2.273204,0.270274,2.969074,-2.15961
1,1.0,10.0,5,57.0886258016,136.5686258016,-3.955457,-3.486745,0.53214,4.769935,2.247383
1,1.0,10.0,6,45.1515778651,124.63157786510001,3.345244,0.198298,2.795993,-0.542496,1.226408
1,1.0,10.0,7,37.9553193699,117.43531936990001,-0.534634,-1.098618,0.265417,-0.952284,2.616946
1,1.0,10.0,8,5.6767014631,85.1567014631,0.390027,0.80042,-0.675265,2.512945,-1.463939
1,1.0,10.0,9,12.1116014368,91.5916014368,-1.194987,-1.340969,1.701478,1.142645,-0.814151
1,1.0,10.0,10,6.7629707114,86.2429707114,1.042359,0.153176,-0.160905,2.692743,-0.804854
1,1.0,10.0,11,7.0768985945,86.5568985945,0.136527,0.09921,0.148182,4.048442,-3.152029
1,1.0,10.0,12,15.7366865801,95.2166865801,-1.399259,-0.717214,-4.229669,1.279375,-2.355542
1,1.0,10.0,13,9.4867802281,88.9667802281,2.115956,-2.163324,-0.923067,1.857461,-0.454153
1,1.0,10.0,14,7.4881132542,86.9681132542,-1.161907,-0.30607,0.564786,0.817335,-4.049004
1,1.0,10.0,15,7.3413563992,86.8213563992,-0.482674,0.544302,-0.495058,3.785604,-2.050221
1,1.0,10.0,16,41.3014098444,120.7814098444,-0.733657,-4.136541,1.111912,2.71953,2.558458
1,1.0,11.0,1,66.0122783294,145.4922783294,3.498909,-0.572146,-0.96913,-5.0,-0.016569
1,1.0,11.0,2,4.1160095466,83.5960095466,-0.639263,-1.073259,0.630805,0.842101,-2.131206
1,1.0,11.0,3,9.2193604455,88.6993604455,-1.772479,-0.951467,1.379365,1.122384,-2.611097
1,1.0,11.0,4,33.8111071244,113.29110712440001,-2.238951,1.473675,3.149268,-0.06215,-1.366893
1,1.0,11.0,5,25.6836536523,105.1636536523,2.191259,-0.619153,1.451504,3.098143,1.26016
1,1.0,11.0,6,14.7574791989,94.2374791989,0.146986,1.464543,-1.285151,-0.356186,-1.147909
1,1.0,11.0,7,15.9906477544,95.4706477544,-0.408751,-0.97299,-0.371551,-0.761073,0.177955
1,1.0,11.0,8,68.5301700978,148.0101700978,0.127343,0.592694,2.805542,-3.093725,2.591237
1,1.0,11.0,9,5.1902761784,84.6702761784,-0.811255,-2.112746,-0.68543,1.170194,-4.284201
1,1.0,11.0,10,19.2670604647,98.7470604647,0.113941,2.939645,-0.034715,2.280162,-1.314542
1,1.0,11.0,11,16.3214365292,95.8014365292,-0.180406,-1.997423,2.803677,0.523449,-1.673653
