fid,iid,rep,budget,algorithm,precision
1,6,0,8,BFGS,0.0
1,6,0,16,BFGS,0.0
1,6,0,24,BFGS,0.0
1,6,0,32,BFGS,0.0
1,6,0,40,BFGS,0.0
1,6,0,48,BFGS,0.0
1,6,0,56,BFGS,0.0
1,6,0,64,BFGS,0.0
1,6,0,72,BFGS,0.0
1,6,0,80,BFGS,0.0
1,6,0,88,BFGS,0.0
1,6,0,96,BFGS,0.0
1,6,0,100,BFGS,0.0
1,6,0,150,BFGS,0.0
1,6,0,200,BFGS,0.0
1,6,0,250,BFGS,0.0
1,6,0,300,BFGS,0.0
1,6,0,350,BFGS,0.0
1,6,0,400,BFGS,0.0
1,6,0,450,BFGS,0.0
1,6,0,500,BFGS,0.0
1,6,0,550,BFGS,0.0
1,6,0,600,BFGS,0.0
1,6,0,650,BFGS,0.0
1,6,0,700,BFGS,0.0
1,6,0,750,BFGS,0.0
1,6,0,800,BFGS,0.0
1,6,0,850,BFGS,0.0
1,6,0,900,BFGS,0.0
1,6,0,950,BFGS,0.0
1,6,0,1000,BFGS,0.0
1,6,1,8,BFGS,0.0
1,6,1,16,BFGS,0.0
1,6,1,24,BFGS,0.0
1,6,1,32,BFGS,0.0
1,6,1,40,BFGS,0.0
1,6,1,48,BFGS,0.0
1,6,1,56,BFGS,0.0
1,6,1,64,BFGS,0.0
1,6,1,72,BFGS,0.0
1,6,1,80,BFGS,0.0
1,6,1,88,BFGS,0.0
1,6,1,96,BFGS,0.0
1,6,1,100,BFGS,0.0
1,6,1,150,BFGS,0.0
1,6,1,200,BFGS,0.0
1,6,1,250,BFGS,0.0
1,6,1,300,BFGS,0.0
1,6,1,350,BFGS,0.0
1,6,1,400,BFGS,0.0
1,6,1,450,BFGS,0.0
1,6,1,500,BFGS,0.0
1,6,1,550,BFGS,0.0
1,6,1,600,BFGS,0.0
1,6,1,650,BFGS,0.0
1,6,1,700,BFGS,0.0
1,6,1,750,BFGS,0.0
1,6,1,800,BFGS,0.0
1,6,1,850,BFGS,0.0
1,6,1,900,BFGS,0.0
1,6,1,950,BFGS,0.0
1,6,1,1000,BFGS,0.0
1,6,2,8,BFGS,0.0
1,6,2,16,BFGS,0.0
1,6,2,24,BFGS,0.0
1,6,2,32,BFGS,0.0
1,6,2,40,BFGS,0.0
1,6,2,48,BFGS,0.0
1,6,2,56,BFGS,0.0
1,6,2,64,BFGS,0.0
1,6,2,72,BFGS,0.0
1,6,2,80,BFGS,0.0
1,6,2,88,BFGS,0.0
1,6,2,96,BFGS,0.0
1,6,2,100,BFGS,0.0
1,6,2,150,BFGS,0.0
1,6,2,200,BFGS,0.0
1,6,2,250,BFGS,0.0
1,6,2,300,BFGS,0.0
1,6,2,350,BFGS,0.0
1,6,2,400,BFGS,0.0
1,6,2,450,BFGS,0.0
1,6,2,500,BFGS,0.0
1,6,2,550,BFGS,0.0
1,6,2,600,BFGS,0.0
1,6,2,650,BFGS,0.0
1,6,2,700,BFGS,0.0
1,6,2,750,BFGS,0.0
1,6,2,800,BFGS,0.0
1,6,2,850,BFGS,0.0
1,6,2,900,BFGS,0.0
1,6,2,950,BFGS,0.0
1,6,2,1000,BFGS,0.0
1,6,3,8,BFGS,0.0
1,6,3,16,BFGS,0.0
1,6,3,24,BFGS,0.0
1,6,3,32,BFGS,0.0
1,6,3,40,BFGS,0.0
1,6,3,48,BFGS,0.0
1,6,3,56,BFGS,0.0
1,6,3,64,BFGS,0.0
1,6,3,72,BFGS,0.0
