fid,best_budget,total_precision
1,8,0.0
1,16,0.0
1,24,0.0
1,32,0.0
1,40,0.0
1,48,0.0
1,56,0.0
1,64,0.0
1,72,0.0
1,80,0.0
1,88,0.0
1,100,0.0
1,150,0.0
1,200,0.0
1,250,0.0
1,300,0.0
1,350,0.0
1,400,0.0
1,700,0.0
1,800,0.0
1,850,0.0
1,900,0.0
1,950,0.0
1,1000,0.0
2,64,4e-10
3,40,731.2948170329
4,350,978.1614920835
5,16,0.0
5,24,0.0
5,40,0.0
5,48,0.0
5,56,0.0
5,64,0.0
5,72,0.0
5,80,0.0
5,88,0.0
5,100,0.0
5,150,0.0
5,200,0.0
5,250,0.0
5,300,0.0
5,350,0.0
5,450,0.0
5,500,0.0
5,550,0.0
5,600,0.0
5,750,0.0
5,800,0.0
5,850,0.0
5,900,0.0
5,950,0.0
5,1000,0.0
6,500,0.1307730731
7,8,92.50956410820001
8,500,47.1700732095
8,600,47.1700732095
9,64,51.1009126433
9,72,51.1009126433
9,80,51.1009126433
9,250,51.1009126433
9,300,51.1009126433
9,350,51.1009126433
9,450,51.1009126433
9,500,51.1009126433
9,550,51.1009126433
9,600,51.1009126433
10,24,0.0006088914
11,64,0.32616492199999997
12,16,0.0003862997
13,8,64.5122383216
14,150,0.0003915642000000001
15,40,636.3184462579001
16,24,62.0365949694
17,64,15.385136012499997
18,8,48.605600798800005
19,550,54.222872250399995
20,200,130.4898250811
21,300,155.09095636200001
22,450,217.74896756679996
23,150,57.579972608400006
24,16,1200.5275776505002
