fid,best_budget,total_precision
1,8,0.0
1,16,0.0
1,24,0.0
1,32,0.0
1,40,0.0
1,48,0.0
1,56,0.0
1,64,0.0
1,72,0.0
1,80,0.0
1,88,0.0
1,96,0.0
1,100,0.0
1,150,0.0
1,200,0.0
1,250,0.0
1,300,0.0
1,350,0.0
1,400,0.0
1,450,0.0
1,500,0.0
1,550,0.0
1,600,0.0
1,700,0.0
1,750,0.0
1,800,0.0
1,850,0.0
1,900,0.0
1,950,0.0
1,1000,0.0
2,24,3.4000000000000003e-09
3,72,837.6910444898001
4,500,1046.6919867902
5,16,0.0
5,24,0.0
5,32,0.0
5,40,0.0
5,48,0.0
5,56,0.0
5,64,0.0
5,80,0.0
5,88,0.0
5,100,0.0
5,150,0.0
5,250,0.0
5,400,0.0
5,450,0.0
5,500,0.0
5,650,0.0
5,700,0.0
5,750,0.0
5,800,0.0
5,850,0.0
5,900,0.0
5,950,0.0
5,1000,0.0
6,150,0.0071853826999999995
7,96,156.6943673847
8,350,47.170073212400006
9,32,35.3775549069
10,150,0.0010257157
11,16,0.005288295600000001
12,96,0.0111816064
13,250,0.07084244500000002
14,300,0.0001646098
15,40,726.9184618066001
16,24,64.26442200269999
17,64,18.5105713764
18,8,29.317115787099997
19,700,54.9269389921
20,200,120.8940389033
21,300,142.3779466435
22,350,209.08192957389997
23,150,55.4097620947
24,56,1204.2103965093
