fid,best_budget,total_precision
1,50,0.0
1,150,0.0
1,200,0.0
1,250,0.0
1,300,0.0
1,350,0.0
1,400,0.0
1,800,0.0
1,850,0.0
1,900,0.0
1,950,0.0
1,1000,0.0
2,50,3.7e-09
2,150,3.7e-09
3,300,649.8674194734
4,450,847.1654919173999
5,50,0.0
5,100,0.0
5,150,0.0
5,200,0.0
5,250,0.0
5,300,0.0
5,350,0.0
5,400,0.0
5,450,0.0
5,600,0.0
5,650,0.0
5,700,0.0
5,750,0.0
5,800,0.0
5,850,0.0
5,900,0.0
5,950,0.0
5,1000,0.0
6,250,0.005112273600000001
7,50,89.65375031569998
8,300,57.1448520315
9,300,49.061377933699994
10,150,0.0013528679
11,100,0.0080734498
12,100,0.0031777466000000006
13,300,0.0706636772
14,350,0.0001558849
15,50,772.5467192200999
16,50,52.3704640139
17,50,13.9925151664
18,100,93.65373082139999
19,100,47.402570191200006
20,300,110.17547794149999
21,300,124.1396939686
22,300,125.53135085609999
23,150,51.820356320900004
24,100,1255.1303642463997
