fid,best_budget,total_precision
1,8,0.0
1,16,0.0
1,24,0.0
1,32,0.0
1,40,0.0
1,48,0.0
1,56,0.0
1,64,0.0
1,72,0.0
1,80,0.0
1,88,0.0
1,96,0.0
1,100,0.0
1,150,0.0
1,200,0.0
1,250,0.0
1,300,0.0
1,350,0.0
1,400,0.0
1,450,0.0
1,500,0.0
1,550,0.0
1,600,0.0
1,650,0.0
1,700,0.0
1,750,0.0
1,800,0.0
1,850,0.0
1,900,0.0
1,950,0.0
1,1000,0.0
2,24,3.4000000000000003e-09
3,40,736.0542352662001
4,700,1058.1742271650999
5,8,0.0
5,16,0.0
5,24,0.0
5,40,0.0
5,48,0.0
5,56,0.0
5,80,0.0
5,100,0.0
5,150,0.0
5,200,0.0
5,250,0.0
5,350,0.0
5,400,0.0
5,450,0.0
5,500,0.0
5,650,0.0
5,700,0.0
5,750,0.0
5,800,0.0
5,850,0.0
5,900,0.0
5,950,0.0
5,1000,0.0
6,150,0.006637329799999999
7,88,150.0144012573
8,350,47.170073212400006
9,32,35.3775549069
10,150,0.0010257157
11,16,0.005288295600000001
12,96,0.0111816064
13,250,0.07084244500000002
14,450,0.0001654383
15,32,696.4935692420999
16,24,62.0365949694
17,24,16.2637314046
18,8,29.2080802569
19,600,55.784262169099996
20,150,116.20937297719998
21,24,122.04555580670001
22,64,218.4858191776
23,150,55.4756222379
24,32,1208.5690162001
