fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,t,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,ps_ratio,ps_squared,loglikelihood,mhl_norm,mhl_sum,budget,BFGS,DE,MLSL,Non-elitist,PSO,Same
1,1,0,1,4.061065922359659,20.5967986627296,7,0.7245606734468051,99.16125249620934,0.3060816405609667,6.225685533739393,20.339950878234173,0.8901040740504312,0.9999999999999938,1.0000002309970175,0.9999999999999988,0.1022222222222222,0.0971428571428571,1.0522875816993469,0.2694444444444444,0.0685714285714285,3.929398148148148,0.2909523809523809,0.0444444444444444,6.546428571428573,0.0049410770860084,0.0053805810368654,0.0070671299093514,0.0143887268680955,0.0124565045619694,0.0130505467692707,0.0168399818426739,0.0327408745422775,-1.8734653785349928,-1.872637894436615,-1.8694625137138767,-1.8556776431881947,-0.7742205690924301,-0.7737548481414782,-0.7707839829668078,-0.7583179009645116,0.6710142506156623,0.8458458458458454,0.0129786183807093,-0.9959959959959956,0.4857142857142857,0.9483092678057892,0.9344739576759262,0.984174189142882,0.152069111211566,-0.1686072177596842,0.0229434754,43.0,0.3544816705,0.1555143217,1.7212704063,-0.0267490946,0.2907331495,-0.0166074818,0.8086686379,2.9627718115,186.8474271952,5.6163301625,15.146460759,350,0.0,1.1159e-06,0.0,0.0,4.1404e-06,0.0
1,1,1,1,3.5202774953081075,13.362412723549935,3,0.726307838730452,101.2640079443566,1.4112000230625348,5.295985124670278,3.7528238648814094,0.8403872285749275,0.9999999999999876,1.0000001361696933,0.9999999999999952,0.1022222222222222,0.1085714285714285,0.9415204678362574,0.2583333333333333,0.0771428571428571,3.348765432098765,0.3192857142857143,0.045079365079365,7.082746478873239,0.0049257314798946,0.0066029772957122,0.0087892873175686,0.0160558098330078,0.0085280767610865,0.0104041325158794,0.0139147682703114,0.0252389993522902,-1.7291949689341668,-1.7262803271650744,-1.722481056688563,-1.7098536231664083,-1.0577556937072066,-1.05575421629788,-1.052008880831746,-1.0399275806727977,0.6531757264728801,0.7857857857857854,0.0191992066559328,-0.9559559559559556,0.4714285714285714,0.9423689032791758,0.942804643541514,0.983277714701249,0.1236949125965569,-0.1452212416025382,0.0224969708,43.0,0.3815868019,0.1639978426,0.7497612556,0.1257465415,0.0832214755,0.0158857446,0.3522447206,0.5621419403,185.3275839521,7.113215369,17.9901366244,350,0.0,1.553e-07,0.0,0.0,2.5129e-06,0.0
1,1,2,1,4.536088894571509,24.05661943381332,4,0.6486206176072771,97.41679140984029,2.4809869857604987,4.334720697026945,1.747175911000686,0.8609869363999468,0.9999999999999932,1.000000229114213,0.9999999999999986,0.105,0.1,1.05,0.2638888888888888,0.0485714285714285,5.433006535947712,0.3104761904761904,0.0530952380952381,5.847533632286995,0.0025554800984374,0.0031442001477508,0.0040261527493542,0.0083434808746788,0.0047375499195172,0.0061150352193542,0.0076736485857516,0.0152615288297299,-1.5363011194676748,-1.535394350968007,-1.5340359347933463,-1.527386225561699,-0.7930971502753633,-0.7919994702958176,-0.7907574543640693,-0.7847108822286056,0.6144285537512757,0.6456456456456453,0.009615746001432,-0.8358358358358354,0.4714285714285714,0.973809999359186,0.960261998944615,0.9940261641645473,0.1138966648187323,-0.1828185596834217,0.0108759528,43.0,0.3615301977,0.1566917479,2.3449114602,-0.6592735701,0.3656341824,-0.1037698237,1.10166093,5.4986097562,217.3567034466,5.3294412801,14.7293637562,350,0.0,2.006e-07,0.0,0.0,1.9533e-06,0.0
1,1,3,1,4.271167684802999,20.2707450085253,5,0.5041413816875489,96.95653019534826,1.9482117584470744,4.2260335542752605,2.1691859398507303,0.7539645298836233,0.9999999999999886,1.0000004153384667,0.9999999999999974,0.1077777777777777,0.1057142857142857,1.0195195195195197,0.2722222222222222,0.0484920634920634,5.613747954173487,0.3444444444444444,0.0534126984126984,6.448736998514114,0.0040685253946718,0.0057282623839438,0.0075993053521378,0.0161001129800569,0.0079957888822355,0.0109419760533693,0.0145063766987963,0.0301822018566256,-1.3582153520210227,-1.355951862698085,-1.3534002019177096,-1.3418071076946432,-0.6777499744662682,-0.6757371016804169,-0.6733018575359353,-0.6625919331410728,0.6562199817883754,0.7857857857857854,0.0107931542219016,-1.076076076076076,0.5457142857142857,0.9778563342922212,0.9648053457058904,0.996628779538784,0.1256256818702107,-0.1835957595848302,0.014907586,43.0,0.3673044704,0.158769095,0.7784551626,0.1567373444,0.1322197023,0.0196738281,0.3657253815,0.6059924402,203.5611819698,6.4015788229,17.1605761911,350,0.0,7.006e-07,0.0,0.0,5.514e-07,0.0
1,1,4,1,6.8105232356997725,57.05518499408722,5,0.68876328681107,102.184502262064,2.162472117088772,3.868330135434812,1.7888462490987178,0.8907203290287835,0.9999999999999848,1.0000004266860234,0.9999999999999988,0.1077777777777777,0.1057142857142857,1.0195195195195197,0.2694444444444444,0.0457142857142857,5.894097222222222,0.341984126984127,0.0365079365079365,9.367391304347828,0.0007586329758556,0.0012907187222795,0.0017327941839296,0.0038322308046079,0.0020220440566894,0.0036094969635694,0.0048029265488778,0.0101516625567926,-1.134330048485334,-1.1337260294060032,-1.133224189213637,-1.1308409271487183,-0.4080380026888422,-0.4073889491605269,-0.4069009978771955,-0.404714088292087,0.6451821591006015,0.5855855855855853,0.0045989920905224,-1.336336336336336,0.52,0.983072871226046,0.970788029938486,0.9982285520656216,0.1046534578132255,-0.1688486720480385,0.0037105606,43.0,0.3101962222,0.1365877047,0.5830170703,0.0120854432,0.0662238485,-0.0021462198,0.2739067716,0.3399089042,265.3220496482,5.7586179887,14.2492190918,350,0.0,2.294e-07,0.0,0.0,2.294e-07,0.0
1,1,5,1,5.810291515623715,40.94229877777273,4,0.6030546568295638,101.33206586832924,1.0941689313698966,3.7635591968277096,3.439650943219292,0.8107639817363483,0.9999999999999896,1.0000002364989964,0.9999999999999984,0.13,0.1,1.3000000000000005,0.2944444444444444,0.0742857142857142,3.963675213675213,0.2868253968253968,0.0334920634920635,8.563981042654026,0.004462705207496,0.0046681615639832,0.0063678126304508,0.0135485297323135,0.0091577093423643,0.0101241827690016,0.0136881154341145,0.0283936827363785,-1.3218194120348248,-1.3215466184370848,-1.3192899156645272,-1.3097557562641498,-0.6009349709128008,-0.6003488153903727,-0.5981873293570874,-0.5892685642394047,0.6563937182344004,0.6656656656656653,0.0055302242561929,-1.0960960960960962,0.5,0.9497001501120076,0.9464624518064432,0.9916533538212592,0.1208104406242592,-0.1441596012913523,0.0132132665,43.0,0.3631587606,0.1589080056,0.7851902841,0.196160352,0.107415389,0.0352911765,0.3688896034,0.6165237822,208.2004730188,5.8463012932,15.4504935312,350,0.0,6.27e-08,0.0,0.0,3.4491e-06,0.0
1,1,6,1,3.4414144444141685,12.525500474556225,4,0.7646137700730822,102.24001646034688,0.0940743664689947,5.941971165741296,63.16248930254203,0.8171842163329036,0.999999999999986,1.0000003739673466,0.9999999999999964,0.1022222222222222,0.1171428571428571,0.8726287262872631,0.2555555555555555,0.08,3.194444444444444,0.3024603174603174,0.0334126984126984,9.052256532066506,0.0019932058982674,0.0025655038527531,0.0033227334498002,0.006189340285158,0.0048246617515653,0.0055345371962919,0.0074543338767095,0.0131094282994389,-1.6453941563330858,-1.6444506199608313,-1.6432021904297425,-1.6384760721675442,-0.7318646659106791,-0.7313426144336928,-0.729930771412539,-0.7257719426802388,0.6718617033484802,0.7657657657657654,0.0083738065352664,-1.4764764764764762,0.56,0.9567804631431208,0.9456437643854416,0.9855494735756424,0.1270661237230214,-0.174490631684629,0.0091939701,43.0,0.3422087889,0.1500227937,0.893109901,0.3616650979,0.1506820428,0.0558066852,0.4195912301,0.7976452952,224.8691640765,5.9299132635,15.7641492944,350,0.0,9.604e-07,0.0,0.0,4.4648e-06,0.0
1,1,7,1,3.5952179205089805,14.14398524401545,5,0.3593489043889805,96.16137566539892,0.2166452570403376,3.073438287176786,14.18650160711589,0.5417725775580635,0.9999999999999823,1.0000004184064992,0.999999999999998,0.1077777777777777,0.0971428571428571,1.1094771241830066,0.2722222222222222,0.0771428571428571,3.5288065843621403,0.315952380952381,0.0168253968253968,18.77830188679246,0.0016042102347338,0.002011050856503,0.0026265304343723,0.0064863046335008,0.0043999108622111,0.0055955482982701,0.0074458868947236,0.0178393432932841,-1.1860605872658725,-1.1855772743034922,-1.1848461052850918,-1.180260823475752,-0.4115325887118615,-0.4110383704262361,-0.4102735305664371,-0.4059773818777928,0.6203929157448933,0.7257257257257255,0.0023033628731421,-1.376376376376376,0.5057142857142857,0.9781349187698268,0.9689309768395116,0.9939250353117012,0.1225459616063959,-0.1895799824867733,0.0063351394,43.0,0.320188188,0.141109004,1.4635458472,0.522900589,0.217314725,0.0843733833,0.6875872742,2.1419664469,242.7361767716,5.3544205273,14.1856238805,350,0.0,8.373e-07,0.0,0.0,8.373e-07,0.0
1,1,8,1,5.464665342454802,39.444975183376215,5,0.6352622710815055,96.52522253447032,1.7025502632667358,4.988489870855799,2.930010337130505,0.8692191271806373,0.9999999999999928,1.0000003077420383,0.9999999999999992,0.1077777777777777,0.1,1.077777777777778,0.2722222222222222,0.0656349206349206,4.14752116082225,0.3729365079365079,0.0422222222222222,8.832706766917294,0.0029416110264423,0.0036949014053828,0.0048423809423784,0.0104846278410066,0.0073357693472176,0.0097694756324945,0.012376286711695,0.0260654768372799,-1.3788191331807929,-1.3777774176716406,-1.3761905830809686,-1.368387992917751,-0.5255791760140891,-0.5242906181064116,-0.5229104075813183,-0.5156624852281841,0.6736988234987743,0.7857857857857854,0.0121082975023203,-1.1761761761761762,0.5285714285714286,0.9583600045656432,0.9532075270535598,0.9908250878830028,0.1279892861108584,-0.1616761502142182,0.0124000689,43.0,0.3400173008,0.1493436607,1.475797169,-0.385412797,0.2088083634,-0.054696359,0.6933430576,2.177977284,213.5284787332,5.3462842334,13.6676388504,350,0.0,1.1962e-06,0.0,0.0,1.1757e-06,0.0
1,1,9,1,4.765186777745584,27.82285170266695,5,0.717860946472064,98.87355590778893,0.2040309039322991,5.206872527879479,25.52001891638536,0.9018936421616898,0.9999999999999896,1.0000001672380785,0.999999999999998,0.1161111111111111,0.0885714285714285,1.3109318996415773,0.2638888888888888,0.0514285714285714,5.131172839506172,0.2906349206349206,0.056031746031746,5.186968838526912,0.003886833879737,0.004835622060864,0.0071318362519125,0.0164104999360458,0.0070686162547449,0.0082292634357836,0.0121989651838763,0.0275216742964706,-1.5780633739361294,-1.5765602837961892,-1.5729225731054255,-1.5582231194519498,-0.9002585135750638,-0.8992061926160405,-0.8956069934633314,-0.881714392669895,0.7072000703971673,0.6456456456456453,0.0152469572701757,-1.036036036036036,0.52,0.9548305834853964,0.941315581067076,0.9917700330607108,0.1304053868051128,-0.1693823805522668,0.0175647364,43.0,0.3676019576,0.160831437,0.7568423538,0.0551120964,0.1468428792,0.0029807806,0.3555714855,0.5728103485,196.8503102786,5.2310278529,14.0762762302,350,0.0,2.1878e-06,0.0,0.0,1.01408e-05,0.0
