fid,best_budget,total_precision
1,24,0.0
1,64,0.0
1,72,0.0
1,80,0.0
1,88,0.0
1,96,0.0
1,100,0.0
1,150,0.0
1,200,0.0
1,250,0.0
1,300,0.0
1,350,0.0
1,400,0.0
1,450,0.0
1,500,0.0
1,550,0.0
1,600,0.0
1,700,0.0
1,750,0.0
1,800,0.0
1,850,0.0
1,900,0.0
1,950,0.0
1,1000,0.0
2,48,0.0006513471
3,350,902.7357594841001
4,350,967.9355802607998
5,32,0.0
5,64,0.0
5,88,0.0
5,150,0.0
5,400,0.0
5,450,0.0
5,500,0.0
5,700,0.0
5,750,0.0
5,800,0.0
5,850,0.0
5,900,0.0
5,950,0.0
5,1000,0.0
6,300,0.10512741939999999
7,200,143.2998502596
8,500,47.170073213100004
9,32,35.3775549069
10,450,520.1052450277999
11,300,0.0219354536
12,400,0.8500016083999999
13,250,0.07136083850000001
14,450,0.0001654383
15,16,645.5455442872
16,40,70.69827104810001
17,32,27.4998549057
18,8,43.4681006623
19,700,55.9649811715
20,200,117.5890871538
21,300,149.12359849350003
22,550,202.80552783750002
23,150,55.403018400200004
24,16,1216.6354772124998
