fid,iid,rep,alg_B8,alg_B16,alg_B24,alg_B32,alg_B40
1,1,0,Non-elitist,BFGS,MLSL,BFGS,BFGS
1,1,1,MLSL,MLSL,MLSL,Non-elitist,Same
1,1,2,Non-elitist,BFGS,MLSL,Non-elitist,MLSL
1,1,3,Non-elitist,MLSL,MLSL,Non-elitist,Non-elitist
1,1,4,Non-elitist,BFGS,Same,Non-elitist,MLSL
1,1,5,Non-elitist,BFGS,Same,Non-elitist,MLSL
1,1,6,Non-elitist,BFGS,MLSL,Non-elitist,MLSL
1,1,7,Non-elitist,MLSL,MLSL,Non-elitist,MLSL
1,1,8,Non-elitist,Same,BFGS,BFGS,MLSL
1,1,9,Non-elitist,BFGS,Same,Non-elitist,MLSL
1,1,10,Non-elitist,BFGS,MLSL,Non-elitist,Non-elitist
1,1,11,Non-elitist,BFGS,BFGS,Non-elitist,Non-elitist
1,1,12,MLSL,Same,MLSL,Non-elitist,MLSL
1,1,13,Non-elitist,BFGS,MLSL,Non-elitist,BFGS
1,1,14,Non-elitist,MLSL,MLSL,Non-elitist,MLSL
1,1,15,Non-elitist,BFGS,MLSL,Non-elitist,MLSL
1,1,16,Non-elitist,BFGS,MLSL,Non-elitist,Non-elitist
1,1,17,Non-elitist,MLSL,MLSL,Non-elitist,Same
1,1,18,MLSL,Non-elitist,MLSL,Non-elitist,BFGS
1,1,19,Non-elitist,Non-elitist,MLSL,Non-elitist,Non-elitist
1,2,0,Non-elitist,Same,Same,Non-elitist,Non-elitist
1,2,1,Non-elitist,Same,MLSL,Non-elitist,Non-elitist
1,2,2,MLSL,Same,MLSL,Non-elitist,Non-elitist
1,2,3,Non-elitist,Non-elitist,Same,Non-elitist,Non-elitist
1,2,4,MLSL,Same,Same,Non-elitist,Non-elitist
1,2,5,Non-elitist,Non-elitist,Same,Non-elitist,Non-elitist
1,2,6,MLSL,Same,MLSL,Same,Non-elitist
1,2,7,Same,Same,Same,Non-elitist,Non-elitist
1,2,8,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
1,2,9,MLSL,Same,Same,Non-elitist,Non-elitist
1,2,10,Non-elitist,MLSL,MLSL,Non-elitist,Non-elitist
1,2,11,Non-elitist,Same,Same,Same,Non-elitist
1,2,12,Non-elitist,Same,Same,Non-elitist,Non-elitist
1,2,13,Same,Same,MLSL,Non-elitist,Non-elitist
1,2,14,Non-elitist,Same,Same,Non-elitist,Non-elitist
1,2,15,Non-elitist,Same,MLSL,Same,Non-elitist
1,2,16,Non-elitist,Same,Same,Non-elitist,Non-elitist
1,2,17,Non-elitist,Same,MLSL,Same,Non-elitist
1,2,18,MLSL,Same,MLSL,Non-elitist,Non-elitist
1,2,19,Non-elitist,Same,Same,Same,Non-elitist
1,3,0,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
1,3,1,Non-elitist,MLSL,Same,Non-elitist,Non-elitist
1,3,2,Non-elitist,BFGS,BFGS,Non-elitist,BFGS
1,3,3,Non-elitist,Same,MLSL,Same,MLSL
1,3,4,Non-elitist,Non-elitist,MLSL,Same,Non-elitist
1,3,5,Non-elitist,MLSL,Same,Same,Non-elitist
1,3,6,Non-elitist,Non-elitist,MLSL,Same,Non-elitist
1,3,7,Non-elitist,Same,Same,BFGS,Non-elitist
1,3,8,Non-elitist,Non-elitist,MLSL,Non-elitist,Non-elitist
1,3,9,Non-elitist,Same,MLSL,Same,Same
