fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor
1,1.0,20.0,1,0.9566613125429876,0.9719474599030047,1,0.33995499986042554,104.33835635349045,0.10775712734417497,2.966595866361396,27.530391162768513,0.48661377352242174,0.9999999999999367,1.0000003844924967,0.35,0.225,1.5555555555555554,0.425,0.275,1.5454545454545452,0.0,0.3391169257991047,0.44031806185711,0.5374489791982963,0.0,0.3400290014247706,0.4230718678526016,0.5518638079866485,-5.407224982038741,-3.573543469025644,-3.0263261579220964,-2.5011174351464938,-5.392720930655052,-3.559039417641955,-3.1112124137149992,-2.416673422454452,0.752555153601114,0.7657657657657654,0.9224970052592174,0.38538538538538525,0.5,1.0182834790276583,0.9389601351863721,0.9034086034889904,0.13357984374486787,-0.55612208353831
1,1.0,21.0,1,1.8072023889454891,3.725220380623391,2,0.6764340089161125,107.72823253521423,0.5271716526308456,5.058789735263471,9.596095901624498,0.8586786114855182,0.999999999999975,1.0000004186688134,0.25,0.15,1.6666666666666667,0.225,0.2,1.125,0.0,0.6396293330924693,0.5816614264405762,0.5448327338698932,0.0,0.6580152483837809,0.6123439917323013,0.5452615985525902,-5.269504657281432,-1.8989749076168492,-2.204437061691855,-2.3985060287146553,-5.122266935216606,-1.751737185552023,-1.9856775533876885,-2.3292914779073226,0.7840915269597005,1.0260260260260257,2.3740547208674387,0.6656656656656653,0.47368421052631576,0.9936061669752863,0.9235168736985494,0.9327899408204113,0.1400764891104433,-0.44625504998383014
1,1.0,22.0,1,1.4175377585655367,1.9942427382706578,2,0.5155794650478329,103.1652237245443,0.7824214655375101,3.1943181538039163,4.082605468408864,0.556557030678789,0.9999999999999739,1.0000002671050954,0.375,0.15,2.5,0.35,0.175,2.0,0.0,0.5359683362185474,0.4938359633666117,0.5830368974746298,0.0,0.5571725589822188,0.5201784263851154,0.5833418800916914,-5.004676897868788,-2.3223285476066526,-2.5331874606711295,-2.086765606472415,-4.814214747334206,-2.1318663970720704,-2.309964095785883,-2.005881665459123,0.8877151523520848,1.0060060060060056,0.9660174799522646,0.045045045045045015,0.5789473684210527,1.0296705864235471,0.9206754388049073,0.9202246277223949,0.18221141155730558,-0.4340758435127955
1,1.0,23.0,1,1.0936571216672495,1.0964873519386655,2,0.6111071979483225,106.86564825997476,1.3154512407260859,5.570960323979677,4.235018487575936,0.6742830862180564,0.9999999999999543,1.00000018755586,0.225,0.2,1.125,0.25,0.15,1.6666666666666667,0.0,0.3090182525933717,0.41525897373795045,0.5773213739917958,0.0,0.3164633774331767,0.4291878994220524,0.6008247474615339,-5.0983542916310665,-3.522869757329317,-2.9812169207358745,-2.1549653868896503,-4.978410288989673,-3.402925754687924,-2.8417368345970626,-1.9872581843475507,0.7994615453469747,0.9259259259259256,2.067429290844337,0.5055055055055053,0.5,1.0480485421293226,0.9471347672679443,0.9702962213729005,0.12706625548411785,-0.48138889012445124
1,1.0,24.0,1,0.5898335968573704,0.01802348301697343,1,0.5352366723790003,112.033274810098,1.2597796972076434,3.19206624478229,2.533828932040772,0.8530678994559495,0.9999999999999696,1.0000002068371596,0.25,0.2,1.25,0.225,0.225,1.0,0.0,0.1317667796528638,0.352051084526491,0.5650743352813723,0.0,0.13273803993542987,0.3917043894675345,0.5484350735359274,-6.260647708678113,-5.435702321564517,-4.056579892999693,-2.7229163662659817,-6.214837792654528,-5.389892405540932,-3.7804585494430265,-2.8064027708261814,0.8481881921603401,0.9659659659659654,1.679674872092653,0.34534534534534517,0.5526315789473685,0.9156650716715224,0.8994092605708627,0.7548825316474961,0.17530139122255908,-0.4934311898531119
1,1.0,25.0,1,1.2974800359772392,0.996936390511046,2,0.43411210704554626,112.3236994883085,0.6586614474269941,4.957143347890993,7.526086986350362,0.882692413809912,0.9999999999999858,1.0000001979504505,0.325,0.25,1.3,0.3,0.275,1.0909090909090908,0.0,0.5595424545946631,0.4270291809703037,0.5700634880949931,0.0,0.6035758205026707,0.4669562235450874,0.6338728922219146,-5.816734407045976,-2.5620245592022384,-3.332819077283348,-2.5008265016431857,-5.3923794447782,-2.1376695969344626,-2.8743743033224165,-1.9742962901586405,0.8045095166399394,1.1261261261261257,1.7589165903277326,0.4654654654654652,0.39473684210526316,0.9644506629248757,0.9176772553950927,0.9053529686811209,0.14917100150264367,-0.43674064331094475
1,1.0,26.0,1,2.225037847237921,5.7566082931942315,2,0.4509216969108636,104.40863797161593,1.4707038978880247,4.6495378272539325,3.161437073724228,0.8708231367995085,0.9999999999999802,1.0000003248909424,0.25,0.1,2.5,0.225,0.3,0.75,0.0,0.27443478928216297,0.37286979816546684,0.5730791078990871,0.0,0.28728616476344565,0.3804604120736954,0.5760819960725314,-5.189754721948769,-3.7655054784046484,-3.254651926247453,-2.2156147156792936,-4.957597748283012,-3.5333485047388917,-3.071428066075633,-2.1016149417274477,0.8248415328972838,0.9259259259259256,0.5066461008921268,0.5255255255255253,0.4473684210526316,1.075925592082002,0.933867852788719,0.9419456705262311,0.1586556780236025,-0.4056384693409616
1,1.0,27.0,1,1.3589457138482932,2.365881574590425,2,0.585967796967795,105.59702397272427,0.9762631984758751,4.869535562507632,4.987933141503096,0.7973218683847549,0.9999999999999636,1.0000003123097936,0.35,0.15,2.3333333333333335,0.275,0.2,1.375,0.0,0.2792119367059885,0.42860022719076646,0.5148753966431986,0.0,0.28903583993129844,0.46296621319252435,0.5089730216908204,-4.821799061577722,-3.475495207187488,-2.7551748883172857,-2.3391733572140896,-4.657913201041918,-3.311609346651684,-2.501456764976072,-2.2871610443340513,0.8581981613233751,0.8858858858858855,0.8222999513430427,0.34534534534534517,0.5526315789473685,1.0118464294865281,0.9487033525035953,0.96527773713372,0.10610917031905528,-0.42029844551142787
1,1.0,28.0,1,1.2428423497183017,1.6737800867607744,2,0.30386470868047355,100.91390082344229,0.5021496191181525,2.4989182167602357,4.976441525831879,0.5479002788241851,0.9999999999999649,1.0000002894476268,0.3,0.225,1.3333333333333333,0.4,0.225,1.777777777777778,0.0,0.39339276840898296,0.49130527617435127,0.6339638835029332,0.0,0.39919169830839996,0.47549503036404134,0.6525382825004076,-5.295081113180083,-3.212034495116051,-2.693579824503551,-1.9381909272054028,-5.2181611664046965,-3.1351145483406646,-2.736951464140634,-1.8131112410686523,0.8936298071329827,0.8658658658658656,1.46273335620113,0.40540540540540526,0.6052631578947368,1.0254398208177113,0.9343991717236763,0.924430153580225,0.11845240275368091,-0.4990286273951936
1,1.0,29.0,1,1.4250141262803064,1.8691063264237142,2,0.640285203927228,114.91059296562001,1.0608947991162756,4.752521671222211,4.4797294464833435,0.6560063536160166,0.9999999999999802,1.0000002293698116,0.225,0.2,1.125,0.3,0.25,1.2,0.0,0.2691203962670377,0.38448155046962135,0.5038092518885113,0.0,0.2766736991525017,0.3839806417174394,0.49201119800976867,-5.909989068027498,-4.319490468106077,-3.637707307893773,-2.932481896995284,-5.748643997580497,-4.158145397659076,-3.5412759863844316,-2.920246777399251,0.8543585239259934,1.1261261261261257,2.3193450592744274,0.4854854854854853,0.4473684210526316,0.9963587872774426,0.948188306427997,0.9453113614141729,0.11778472793440933,-0.42076411499654387
