fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor
1,1.0,20.0,1,1.0844356565828241,0.11923278241881263,2,0.31149803546655985,115.63608736970781,0.46325350446703695,6.844923190639348,14.775761272468479,1.0,17.1489694280006,0.0,0.0,0.0,1.0896385718167416,0.0,0.0,0.0,1.0419071668680595,-6.7068432254537,-6.7068432254537,-6.7068432254537,0.601191848128459,-7.014094255201147,-7.014094255201147,-7.014094255201147,0.29394081838101194,0.8333333333333333,0.9459459459459456,1.7192957312101929,0.10510510510510505,0.6666666666666666,0.5947555392997956,0.9106065408811386,0.02876306199866482,0.18365566046489817,-0.5835661376341222
1,1.0,21.0,1,0.31505886699445435,-1.5040256200026427,1,0.4544826947805958,109.90543256957642,0.2048102886865193,7.189946316235632,35.1053961319321,1.0,4.9814744132213,0.0,0.0,0.0,1.18057442844319,0.0,0.0,0.0,1.1212426807476308,-5.6221546600513665,-5.6221546600513665,-5.6221546600513665,1.0152173643579925,-5.919656947043473,-5.919656947043473,-5.919656947043473,0.7177150773658862,0.7420981285103057,0.9459459459459456,4.8493740673352335,0.6056056056056053,0.8333333333333334,0.932472624118315,0.8074440943904938,0.5689262117601094,0.2898583162173738,-0.4883069387177969
1,1.0,22.0,1,0.08938242390942847,-1.672899060723581,1,0.34359129216224216,101.92037663793124,0.47169689751357546,4.574137624571572,9.697196756397847,1.0,20.728204812649633,0.0,0.0,0.0,0.4184816269874675,0.0,0.0,0.0,0.39796104724008186,-5.917328806938231,-5.917328806938231,-5.917328806938231,-3.4410354203909104,-6.222451678928826,-6.222451678928826,-6.222451678928826,-3.7461582923815047,0.7420981285103057,0.8458458458458454,1.429784237094935,0.3653653653653652,0.3333333333333333,0.6760587678108871,0.9476739486885589,0.9203057751697661,0.09259747027087543,-0.6644556410466683
1,1.0,23.0,1,0.9795421710070426,-0.723071882216666,1,0.8209432602834683,113.94026830804121,2.0345198275627006,10.286751315079549,5.05610767500005,1.0,1.9933397802028405,0.0,0.0,0.0,0.4473903669888421,0.0,0.0,0.0,0.44535725627085765,-6.24976686414358,-6.24976686414358,-6.24976686414358,-3.4536813731996787,-6.278297819500164,-6.278297819500164,-6.278297819500164,-3.4822123285562627,0.7043823975884861,0.8858858858858855,0.4620241371751313,0.045045045045045015,0.5,0.9697004894868443,0.9567293424395892,0.9481824762051515,0.08747786976071001,-0.5872292472844176
1,1.0,24.0,1,0.45714629924609795,-0.3744915737470049,1,0.934663768635117,107.2463206433795,0.08201668744691523,6.050276427800872,73.76884651330101,1.0,4.861929741775949,0.0,0.0,0.0,1.1727406933490938,0.0,0.0,0.0,1.1185503053025994,-5.571770984455717,-5.571770984455717,-5.571770984455717,0.9624715830372441,-5.841706480715915,-5.841706480715915,-5.841706480715915,0.6925360867770456,0.7043823975884861,0.9459459459459456,1.3339056900390587,0.4654654654654652,0.5,0.8431601639091925,0.8031651392388345,0.4653088133558697,0.3060889901784481,-0.5862125963084829
1,1.0,25.0,1,-0.12313532481978963,-1.871827968767382,2,0.3483755971262019,129.1530361939029,4.620058693781104,14.214665162140422,3.076728263490305,1.0,37.727216307702726,0.0,0.0,0.0,0.39433006472156634,0.0,0.0,0.0,0.38806287141049084,-7.852996429066104,-7.852996429066104,-7.852996429066104,-4.756323838934238,-7.979821874935884,-7.979821874935884,-7.979821874935884,-4.883149284804018,0.7420981285103055,0.9059059059059056,4.630902801799737,0.7057057057057055,0.3333333333333333,0.8476955371510163,0.8732852906730039,0.7739923570705223,0.21075677757941247,-0.8307179070602838
1,1.0,26.0,1,1.3941619361676263,0.6737674894298973,2,0.5459572500920278,130.84357801738273,0.9521713612819851,17.258012572150044,18.124901959783994,1.0,22.411868300430573,0.0,0.0,0.0,0.8244820866883835,0.0,0.0,0.0,0.8161078966656279,-6.470416437842608,-6.470416437842608,-6.470416437842608,-1.1356739914273168,-6.5368102284164245,-6.5368102284164245,-6.5368102284164245,-1.2020677820011336,0.7043823975884862,1.0060060060060056,1.679674872092653,0.12512512512512505,0.6666666666666666,0.971597286019462,0.8912904334154349,0.755622615339559,0.16155049074995023,-0.5247831239885051
1,1.0,27.0,1,0.8385192918790616,-0.5119645525706145,1,0.41475650169063816,106.39905216771011,0.6326907598154516,10.470672212825683,16.549431219573766,1.0,23.769663359006426,0.0,0.0,0.0,0.8116792381111064,0.0,0.0,0.0,0.9020538578524876,-5.546596193764893,-5.546596193764893,-5.546596193764893,-1.0445392210998419,-4.9908959797401256,-4.9908959797401256,-4.9908959797401256,-0.4888390070750743,0.6666666666666666,0.8658658658658656,3.7643580519633,0.6056056056056053,0.5,0.9994976843426199,0.9387698839746615,0.8524766224085061,0.15009892824826035,-0.5525515212427945
1,1.0,28.0,1,0.5558131750006038,-1.142083138612814,1,0.7194568148374632,106.68733375081538,0.8740114726191672,11.499853774609424,13.15755471738556,1.0,11.068579003362048,0.0,0.0,0.0,0.9915698323773044,0.0,0.0,0.0,0.9661308605030625,-5.1125895280886935,-5.1125895280886935,-5.1125895280886935,-0.043099986707825444,-5.247207959738699,-5.247207959738699,-5.247207959738699,-0.17771841835783064,0.7043823975884861,0.8658658658658656,3.6776091016010306,-0.4754754754754753,0.6666666666666666,1.074659382556986,0.9638580304975456,0.9844690746257831,0.08926112391607806,-0.3905321376142799
1,1.0,29.0,1,1.0999972408252123,-0.062475267567336346,2,0.4008910462996541,110.67380061348608,0.010020254289843319,8.730721849156398,871.3074136258188,1.0,44.38280797441711,0.0,0.0,0.0,0.7328409260956992,0.0,0.0,0.0,0.7728867235793341,-6.219781687055881,-6.219781687055881,-6.219781687055881,-1.6616711154007788,-5.897514386773171,-5.897514386773171,-5.897514386773171,-1.339403815118069,0.7043823975884861,0.6856856856856854,2.1150728248687947,0.40540540540540526,0.16666666666666666,1.1105828864825689,0.9461027379770466,0.9142586144159895,0.08031958543671415,-0.5554733817561588
