fid,best_budget,total_precision
1,20,0.0
1,40,0.0
1,60,0.0
1,80,0.0
1,100,0.0
1,120,0.0
1,140,0.0
1,160,0.0
1,180,0.0
1,200,0.0
1,300,0.0
1,400,0.0
1,500,0.0
1,600,0.0
1,700,0.0
1,800,0.0
1,900,0.0
1,1000,0.0
1,1100,0.0
1,1200,0.0
1,1300,0.0
1,1400,0.0
1,1500,0.0
1,1600,0.0
1,1700,0.0
1,1800,0.0
1,1900,0.0
1,2000,0.0
2,160,7.699999999999998e-09
3,100,1782.7590541571
4,20,2731.1631988090007
5,60,0.0
5,80,0.0
5,100,0.0
5,120,0.0
5,140,0.0
5,160,0.0
5,180,0.0
5,200,0.0
5,300,0.0
5,400,0.0
5,500,0.0
5,600,0.0
5,700,0.0
5,800,0.0
5,900,0.0
5,1000,0.0
5,1100,0.0
5,1200,0.0
5,1300,0.0
5,1400,0.0
5,1500,0.0
5,1600,0.0
5,1700,0.0
5,1800,0.0
5,1900,0.0
5,2000,0.0
6,600,0.4298125223
7,160,348.7969336424
8,140,51.8255284669
9,900,23.9194746796
10,800,0.0003395558
11,100,0.002945257
12,180,0.5895123325999999
13,1000,0.12896031789999998
14,600,0.00021250069999999998
15,120,1589.3170753434001
16,40,61.36338545859999
17,80,18.5769163153
18,60,110.92230979520001
19,900,74.27858658080001
20,400,129.8867303869
21,1000,324.9215540221
22,20,403.5899440843999
23,300,34.3599244595
24,1000,3124.6790960787002
