fid,iid,rep,budget,algorithm,precision
1,6,0,10,BFGS,0.0
1,6,0,10,DE,0.4440394168
1,6,0,10,MLSL,0.0
1,6,0,10,Non-elitist,0.0
1,6,0,10,PSO,0.0001310429
1,6,0,10,Same,0.0
1,6,0,30,BFGS,0.0
1,6,0,30,DE,0.0355277042
1,6,0,30,MLSL,0.0
1,6,0,30,Non-elitist,0.0
1,6,0,30,PSO,0.0001046999
1,6,0,30,Same,0.0
1,6,0,50,BFGS,0.0
1,6,0,50,DE,0.3978051765
1,6,0,50,MLSL,0.0
1,6,0,50,Non-elitist,0.0
1,6,0,50,PSO,0.001231332
1,6,0,50,Same,0.0
1,6,0,70,BFGS,0.0
1,6,0,70,DE,0.1395916276
1,6,0,70,MLSL,0.0
1,6,0,70,Non-elitist,0.0
1,6,0,70,PSO,0.000289489
1,6,0,70,Same,0.0
1,6,0,90,BFGS,0.0
1,6,0,90,DE,0.0757457397
1,6,0,90,MLSL,0.0
1,6,0,90,Non-elitist,0.0
1,6,0,90,PSO,0.0001152981
1,6,0,90,Same,0.0
1,6,0,110,BFGS,0.0
1,6,0,110,DE,0.0382851602
1,6,0,110,MLSL,0.0
1,6,0,110,Non-elitist,0.0
1,6,0,110,PSO,0.0002341365
1,6,0,110,Same,0.0
1,6,0,130,BFGS,0.0
1,6,0,130,DE,0.0150763579
1,6,0,130,MLSL,0.0
1,6,0,130,Non-elitist,0.0
1,6,0,130,PSO,0.0001606996
1,6,0,130,Same,0.0
1,6,0,150,BFGS,0.0
1,6,0,150,DE,0.0124983863
1,6,0,150,MLSL,0.0
1,6,0,150,Non-elitist,0.0
1,6,0,150,PSO,8.92894e-05
1,6,0,150,Same,0.0
1,6,0,170,BFGS,0.0
1,6,0,170,DE,0.0080969175
1,6,0,170,MLSL,0.0
1,6,0,170,Non-elitist,0.0
1,6,0,170,PSO,0.0003007831
1,6,0,170,Same,0.0
1,6,0,190,BFGS,0.0
1,6,0,190,DE,0.0093079099
1,6,0,190,MLSL,0.0
1,6,0,190,Non-elitist,0.0
1,6,0,190,PSO,0.0009701031
1,6,0,190,Same,0.0
1,6,1,10,BFGS,0.0
1,6,1,10,DE,0.2110241499
1,6,1,10,MLSL,0.0
1,6,1,10,Non-elitist,0.0
1,6,1,10,PSO,0.0002593931
1,6,1,10,Same,0.0
1,6,1,30,BFGS,0.0
1,6,1,30,DE,0.3949293394
1,6,1,30,MLSL,0.0
1,6,1,30,Non-elitist,0.0
1,6,1,30,PSO,0.0002267861
1,6,1,30,Same,0.0
1,6,1,50,BFGS,0.0
1,6,1,50,DE,0.1356555131
1,6,1,50,MLSL,0.0
1,6,1,50,Non-elitist,0.0
1,6,1,50,PSO,0.0001300969
1,6,1,50,Same,0.0
1,6,1,70,BFGS,0.0
1,6,1,70,DE,0.1862496809
1,6,1,70,MLSL,0.0
1,6,1,70,Non-elitist,0.0
1,6,1,70,PSO,0.000278434
1,6,1,70,Same,0.0
1,6,1,90,BFGS,0.0
1,6,1,90,DE,0.0911605521
1,6,1,90,MLSL,0.0
1,6,1,90,Non-elitist,0.0
1,6,1,90,PSO,0.0002399825
1,6,1,90,Same,0.0
1,6,1,110,BFGS,0.0
1,6,1,110,DE,0.0472600231
1,6,1,110,MLSL,0.0
1,6,1,110,Non-elitist,0.0
1,6,1,110,PSO,0.0001935518
1,6,1,110,Same,0.0
1,6,1,130,BFGS,0.0
1,6,1,130,DE,0.0428420456
1,6,1,130,MLSL,0.0
1,6,1,130,Non-elitist,0.0
1,6,1,130,PSO,7.37726e-05
1,6,1,130,Same,0.0
1,6,1,150,BFGS,0.0
1,6,1,150,DE,0.0287742805
1,6,1,150,MLSL,0.0
1,6,1,150,Non-elitist,0.0
1,6,1,150,PSO,0.0006440692
1,6,1,150,Same,0.0
1,6,1,170,BFGS,0.0
1,6,1,170,DE,0.0169956999
1,6,1,170,MLSL,0.0
1,6,1,170,Non-elitist,0.0
1,6,1,170,PSO,0.0008900785
1,6,1,170,Same,0.0
1,6,1,190,BFGS,0.0
1,6,1,190,DE,0.0243480633
1,6,1,190,MLSL,0.0
1,6,1,190,Non-elitist,0.0
1,6,1,190,PSO,0.000348514
1,6,1,190,Same,0.0
1,6,2,10,BFGS,0.0
1,6,2,10,DE,1.2169625973
1,6,2,10,MLSL,0.0
1,6,2,10,Non-elitist,0.0
1,6,2,10,PSO,0.0006756384
1,6,2,10,Same,0.0
1,6,2,30,BFGS,0.0
1,6,2,30,DE,0.3554822204
1,6,2,30,MLSL,0.0
1,6,2,30,Non-elitist,0.0
1,6,2,30,PSO,0.0001329446
1,6,2,30,Same,0.0
1,6,2,50,BFGS,0.0
1,6,2,50,DE,0.0293538858
1,6,2,50,MLSL,0.0
1,6,2,50,Non-elitist,0.0
1,6,2,50,PSO,0.0003660359
1,6,2,50,Same,0.0
1,6,2,70,BFGS,0.0
1,6,2,70,DE,0.0849217749
1,6,2,70,MLSL,0.0
1,6,2,70,Non-elitist,0.0
1,6,2,70,PSO,0.0001250483
1,6,2,70,Same,0.0
1,6,2,90,BFGS,0.0
1,6,2,90,DE,0.0994533563
1,6,2,90,MLSL,0.0
1,6,2,90,Non-elitist,0.0
1,6,2,90,PSO,0.0001687856
1,6,2,90,Same,0.0
1,6,2,110,BFGS,0.0
1,6,2,110,DE,0.0392904329
1,6,2,110,MLSL,0.0
1,6,2,110,Non-elitist,0.0
1,6,2,110,PSO,0.0001590776
1,6,2,110,Same,0.0
1,6,2,130,BFGS,0.0
1,6,2,130,DE,0.0170912464
1,6,2,130,MLSL,0.0
1,6,2,130,Non-elitist,0.0
1,6,2,130,PSO,0.0002347315
1,6,2,130,Same,0.0
1,6,2,150,BFGS,0.0
1,6,2,150,DE,0.0250115786
1,6,2,150,MLSL,0.0
1,6,2,150,Non-elitist,0.0
1,6,2,150,PSO,4.3153e-05
1,6,2,150,Same,0.0
1,6,2,170,BFGS,0.0
1,6,2,170,DE,0.0048096688
1,6,2,170,MLSL,0.0
1,6,2,170,Non-elitist,0.0
1,6,2,170,PSO,0.0004777143
1,6,2,170,Same,0.0
1,6,2,190,BFGS,0.0
1,6,2,190,DE,0.0226771864
1,6,2,190,MLSL,0.0
1,6,2,190,Non-elitist,0.0
1,6,2,190,PSO,0.0005666462
1,6,2,190,Same,0.0
1,6,3,10,BFGS,0.0
1,6,3,10,DE,0.492185114
1,6,3,10,MLSL,0.0
1,6,3,10,Non-elitist,0.0
1,6,3,10,PSO,0.0007028621
1,6,3,10,Same,0.0
1,6,3,30,BFGS,0.0
1,6,3,30,DE,0.1314438763
1,6,3,30,MLSL,0.0
1,6,3,30,Non-elitist,0.0
1,6,3,30,PSO,0.0002044509
1,6,3,30,Same,0.0
1,6,3,50,BFGS,0.0
1,6,3,50,DE,0.1243028883
1,6,3,50,MLSL,0.0
1,6,3,50,Non-elitist,0.0
1,6,3,50,PSO,0.000310422
1,6,3,50,Same,0.0
1,6,3,70,BFGS,0.0
1,6,3,70,DE,0.0700224142
1,6,3,70,MLSL,0.0
1,6,3,70,Non-elitist,0.0
1,6,3,70,PSO,0.0004379214
1,6,3,70,Same,0.0
1,6,3,90,BFGS,0.0
1,6,3,90,DE,0.0426508566
1,6,3,90,MLSL,0.0
1,6,3,90,Non-elitist,0.0
1,6,3,90,PSO,0.0011974113
1,6,3,90,Same,0.0
1,6,3,110,BFGS,0.0
1,6,3,110,DE,0.027236503
1,6,3,110,MLSL,0.0
1,6,3,110,Non-elitist,0.0
1,6,3,110,PSO,0.0002208649
1,6,3,110,Same,0.0
1,6,3,130,BFGS,0.0
1,6,3,130,DE,0.0155649959
1,6,3,130,MLSL,0.0
1,6,3,130,Non-elitist,0.0
1,6,3,130,PSO,0.0002557459
1,6,3,130,Same,0.0
1,6,3,150,BFGS,0.0
1,6,3,150,DE,0.0090251259
1,6,3,150,MLSL,0.0
1,6,3,150,Non-elitist,0.0
1,6,3,150,PSO,0.0002686217
1,6,3,150,Same,0.0
1,6,3,170,BFGS,0.0
1,6,3,170,DE,0.0045795481
1,6,3,170,MLSL,0.0
1,6,3,170,Non-elitist,0.0
1,6,3,170,PSO,0.0004093661
1,6,3,170,Same,0.0
1,6,3,190,BFGS,0.0
1,6,3,190,DE,0.0030627008
1,6,3,190,MLSL,0.0
1,6,3,190,Non-elitist,0.0
1,6,3,190,PSO,0.0002741119
1,6,3,190,Same,0.0
1,6,4,10,BFGS,0.0
1,6,4,10,DE,0.3889571393
1,6,4,10,MLSL,0.0
1,6,4,10,Non-elitist,0.0
1,6,4,10,PSO,0.0002865983
1,6,4,10,Same,0.0
1,6,4,30,BFGS,0.0
1,6,4,30,DE,0.3867505266
1,6,4,30,MLSL,0.0
1,6,4,30,Non-elitist,0.0
1,6,4,30,PSO,0.0001076267
1,6,4,30,Same,0.0
1,6,4,50,BFGS,0.0
1,6,4,50,DE,0.0605362331
1,6,4,50,MLSL,0.0
1,6,4,50,Non-elitist,0.0
1,6,4,50,PSO,0.000122003
1,6,4,50,Same,0.0
1,6,4,70,BFGS,0.0
1,6,4,70,DE,0.1377035089
1,6,4,70,MLSL,0.0
1,6,4,70,Non-elitist,0.0
1,6,4,70,PSO,0.0002096905
1,6,4,70,Same,0.0
1,6,4,90,BFGS,0.0
1,6,4,90,DE,0.0231730369
1,6,4,90,MLSL,0.0
1,6,4,90,Non-elitist,0.0
1,6,4,90,PSO,0.0002128909
1,6,4,90,Same,0.0
1,6,4,110,BFGS,0.0
1,6,4,110,DE,0.0799050215
1,6,4,110,MLSL,0.0
1,6,4,110,Non-elitist,0.0
1,6,4,110,PSO,0.0001032849
1,6,4,110,Same,0.0
1,6,4,130,BFGS,0.0
1,6,4,130,DE,0.0129063995
1,6,4,130,MLSL,0.0
1,6,4,130,Non-elitist,0.0
1,6,4,130,PSO,0.0017642056
1,6,4,130,Same,0.0
1,6,4,150,BFGS,0.0
1,6,4,150,DE,0.0143570845
1,6,4,150,MLSL,0.0
1,6,4,150,Non-elitist,0.0
1,6,4,150,PSO,0.0004301572
1,6,4,150,Same,0.0
1,6,4,170,BFGS,0.0
1,6,4,170,DE,0.0280310252
1,6,4,170,MLSL,0.0
1,6,4,170,Non-elitist,0.0
1,6,4,170,PSO,5.12833e-05
1,6,4,170,Same,0.0
1,6,4,190,BFGS,0.0
1,6,4,190,DE,0.0141330838
1,6,4,190,MLSL,0.0
1,6,4,190,Non-elitist,0.0
1,6,4,190,PSO,0.0002165444
1,6,4,190,Same,0.0
1,6,5,10,BFGS,0.0
1,6,5,10,DE,0.3419829561
1,6,5,10,MLSL,0.0
1,6,5,10,Non-elitist,0.0
1,6,5,10,PSO,0.0004328764
1,6,5,10,Same,0.0
1,6,5,30,BFGS,0.0
1,6,5,30,DE,0.3566032363
1,6,5,30,MLSL,0.0
1,6,5,30,Non-elitist,0.0
1,6,5,30,PSO,0.0002307539
1,6,5,30,Same,0.0
1,6,5,50,BFGS,0.0
1,6,5,50,DE,0.1144666337
1,6,5,50,MLSL,0.0
1,6,5,50,Non-elitist,0.0
1,6,5,50,PSO,7.00836e-05
1,6,5,50,Same,0.0
1,6,5,70,BFGS,0.0
1,6,5,70,DE,0.0982934644
1,6,5,70,MLSL,0.0
1,6,5,70,Non-elitist,0.0
1,6,5,70,PSO,0.0001188769
1,6,5,70,Same,0.0
1,6,5,90,BFGS,0.0
1,6,5,90,DE,0.1413129654
1,6,5,90,MLSL,0.0
1,6,5,90,Non-elitist,0.0
1,6,5,90,PSO,0.0005151318
1,6,5,90,Same,0.0
1,6,5,110,BFGS,0.0
1,6,5,110,DE,0.016596278
1,6,5,110,MLSL,0.0
1,6,5,110,Non-elitist,0.0
1,6,5,110,PSO,0.0005255298
1,6,5,110,Same,0.0
1,6,5,130,BFGS,0.0
1,6,5,130,DE,0.008431018
1,6,5,130,MLSL,0.0
1,6,5,130,Non-elitist,0.0
1,6,5,130,PSO,0.0007828967
1,6,5,130,Same,0.0
1,6,5,150,BFGS,0.0
1,6,5,150,DE,0.0121676092
1,6,5,150,MLSL,0.0
1,6,5,150,Non-elitist,0.0
1,6,5,150,PSO,0.0001336377
1,6,5,150,Same,0.0
1,6,5,170,BFGS,0.0
1,6,5,170,DE,0.0098668379
1,6,5,170,MLSL,0.0
1,6,5,170,Non-elitist,0.0
1,6,5,170,PSO,0.0001012988
1,6,5,170,Same,0.0
1,6,5,190,BFGS,0.0
1,6,5,190,DE,0.0057213547
1,6,5,190,MLSL,0.0
1,6,5,190,Non-elitist,0.0
1,6,5,190,PSO,0.0002661099
1,6,5,190,Same,0.0
1,6,6,10,BFGS,0.0
1,6,6,10,DE,0.5349080311
1,6,6,10,MLSL,0.0
1,6,6,10,Non-elitist,0.0
1,6,6,10,PSO,0.000968756
1,6,6,10,Same,0.0
1,6,6,30,BFGS,0.0
1,6,6,30,DE,0.2302037513
1,6,6,30,MLSL,0.0
1,6,6,30,Non-elitist,0.0
1,6,6,30,PSO,0.0011066706
1,6,6,30,Same,0.0
1,6,6,50,BFGS,0.0
1,6,6,50,DE,0.1423474713
1,6,6,50,MLSL,0.0
1,6,6,50,Non-elitist,0.0
1,6,6,50,PSO,0.0001072643
1,6,6,50,Same,0.0
1,6,6,70,BFGS,0.0
1,6,6,70,DE,0.1270468139
1,6,6,70,MLSL,0.0
1,6,6,70,Non-elitist,0.0
1,6,6,70,PSO,3.18926e-05
1,6,6,70,Same,0.0
1,6,6,90,BFGS,0.0
1,6,6,90,DE,0.1082620993
1,6,6,90,MLSL,0.0
1,6,6,90,Non-elitist,0.0
1,6,6,90,PSO,0.0002281507
1,6,6,90,Same,0.0
1,6,6,110,BFGS,0.0
1,6,6,110,DE,0.0158045528
1,6,6,110,MLSL,0.0
1,6,6,110,Non-elitist,0.0
1,6,6,110,PSO,0.0001182418
1,6,6,110,Same,0.0
1,6,6,130,BFGS,0.0
1,6,6,130,DE,0.0459266108
1,6,6,130,MLSL,0.0
1,6,6,130,Non-elitist,0.0
1,6,6,130,PSO,0.000116128
1,6,6,130,Same,0.0
1,6,6,150,BFGS,0.0
1,6,6,150,DE,0.0324949033
1,6,6,150,MLSL,0.0
1,6,6,150,Non-elitist,0.0
1,6,6,150,PSO,0.0001328953
1,6,6,150,Same,0.0
1,6,6,170,BFGS,0.0
1,6,6,170,DE,0.0325539156
1,6,6,170,MLSL,0.0
1,6,6,170,Non-elitist,0.0
1,6,6,170,PSO,0.0001008857
1,6,6,170,Same,0.0
1,6,6,190,BFGS,0.0
1,6,6,190,DE,0.005907299
1,6,6,190,MLSL,0.0
1,6,6,190,Non-elitist,0.0
1,6,6,190,PSO,0.0005891217
