fid,iid,rep,budget,algorithm,precision
1,1,0,10,BFGS,0.0
1,1,0,10,DE,0.4332843535
1,1,0,10,MLSL,0.0
1,1,0,10,Non-elitist,0.0
1,1,0,10,PSO,0.0002642322
1,1,0,10,Same,0.0
1,1,0,30,BFGS,0.0
1,1,0,30,DE,0.3429054054
1,1,0,30,MLSL,0.0
1,1,0,30,Non-elitist,0.0
1,1,0,30,PSO,0.0004060501
1,1,0,30,Same,0.0
1,1,0,50,BFGS,0.0
1,1,0,50,DE,0.1582434488
1,1,0,50,MLSL,0.0
1,1,0,50,Non-elitist,0.0
1,1,0,50,PSO,0.0006747544
1,1,0,50,Same,0.0
1,1,0,70,BFGS,0.0
1,1,0,70,DE,0.0721818149
1,1,0,70,MLSL,0.0
1,1,0,70,Non-elitist,0.0
1,1,0,70,PSO,0.0001218327
1,1,0,70,Same,0.0
1,1,0,90,BFGS,0.0
1,1,0,90,DE,0.0776364159
1,1,0,90,MLSL,0.0
1,1,0,90,Non-elitist,0.0
1,1,0,90,PSO,0.0003877785
1,1,0,90,Same,0.0
1,1,0,110,BFGS,0.0
1,1,0,110,DE,0.0550026622
1,1,0,110,MLSL,0.0
1,1,0,110,Non-elitist,0.0
1,1,0,110,PSO,8.32111e-05
1,1,0,110,Same,0.0
1,1,0,130,BFGS,0.0
1,1,0,130,DE,0.0216973855
1,1,0,130,MLSL,0.0
1,1,0,130,Non-elitist,0.0
1,1,0,130,PSO,0.0002797817
1,1,0,130,Same,0.0
1,1,0,150,BFGS,0.0
1,1,0,150,DE,0.0150318355
1,1,0,150,MLSL,0.0
1,1,0,150,Non-elitist,0.0
1,1,0,150,PSO,0.0003321119
1,1,0,150,Same,0.0
1,1,0,170,BFGS,0.0
1,1,0,170,DE,0.0079133456
1,1,0,170,MLSL,0.0
1,1,0,170,Non-elitist,0.0
1,1,0,170,PSO,0.0002661794
1,1,0,170,Same,0.0
1,1,0,190,BFGS,0.0
1,1,0,190,DE,0.0072277618
1,1,0,190,MLSL,0.0
1,1,0,190,Non-elitist,0.0
1,1,0,190,PSO,0.0007647842
1,1,0,190,Same,0.0
1,1,1,10,BFGS,0.0
1,1,1,10,DE,0.3452704655
