fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,t,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,ps_ratio,ps_squared,loglikelihood,mhl_norm,mhl_sum,8,16,24,32,40,48,56,64,72,80,88,96,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000
1,1,0,1,1.0063475908748205,-0.3738636437613687,1,0.6953308980755848,111.66696469423113,0.4236722136490805,13.32784135108555,31.4579076033642,1.0,17.422894487482935,0.0,0.0,0.0,0.6180873682969769,0.0,0.0,0.0,0.6283324377423878,-6.299542627525439,-6.299542627525439,-6.299542627525439,-2.405874903403617,-6.1968274916887225,-6.1968274916887225,-6.1968274916887225,-2.3031597675669016,0.8333333333333333,1.1261261261261255,2.603339243239814,0.2652652652652651,0.5,1.1617285985266397,0.9370695915798036,0.9511874595956348,0.1590522288861739,-0.6232201547083852,2.0,0.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,-0.0055062363561374,-2.054735021524442,2,-0.6811788798993443,116.47917450105986,0.1226128789776799,6.718768838686641,54.79659962889955,1.0,7.615425435822442,0.0,0.0,0.0,1.092524118703119,0.0,0.0,0.0,1.1252124671747372,-5.818391650973609,-5.818391650973609,-5.818391650973609,0.538341559775918,-5.64936258368205,-5.64936258368205,-5.64936258368205,0.7073706270674771,0.7043823975884862,0.6856856856856854,3.1304793630180408,0.3653653653653652,0.6666666666666666,0.92168008404418,0.8377495440699173,0.8598729917632966,0.274528233619204,-0.6656657702812641,2.0,0.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,0.7514967878305183,-1.287200621174463,2,0.7644049155644526,107.78248087431352,0.861893982026347,6.219844016190257,7.216483866805934,1.0,21.410397641046924,0.0,0.0,0.0,1.2795977619129673,0.0,0.0,0.0,1.3166885026332305,-6.04859672050288,-6.04859672050288,-6.04859672050288,1.6911741057667191,-5.878209470798081,-5.878209470798081,-5.878209470798081,1.861561355471518,0.7043823975884861,0.8858858858858855,1.333905690039059,0.2452452452452451,0.6666666666666666,0.8501606349195937,0.8216221377058874,0.3541098221592669,0.2865439633882588,-0.5209555274958304,2.0,0.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,1,-0.0057984614592204,-1.4319328247866066,1,-0.6681240394938133,116.06453429084117,0.8781857745721665,7.768337556112479,8.845893182336104,1.0,97.05557993358856,0.0,0.0,0.0,0.514582166860491,0.0,0.0,0.0,0.5556202523558222,-6.1504791669496015,-6.1504791669496015,-6.1504791669496015,-2.9855522699903685,-5.696205067291889,-5.696205067291889,-5.696205067291889,-2.5312781703326563,0.7420981285103055,0.8458458458458454,1.3038585066127686,-0.3553553553553552,0.5,1.1017382226118524,0.9675158180786668,0.9711999257936672,0.0890111840468051,-0.829712369629646,2.0,0.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,1,0.4532838766082194,-1.6169420770067455,1,0.7996246866346254,107.36432379750708,2.54213073786389,7.596156750950975,2.988106251897138,1.0,4.491319888953566,0.0,0.0,0.0,0.5596039776413849,0.0,0.0,0.0,0.549327139421374,-6.55466044265513,-6.55466044265513,-6.55466044265513,-2.8866463868566785,-6.677285341594631,-6.677285341594631,-6.677285341594631,-3.00927128579618,0.6666666666666666,0.7257257257257255,1.2451178085219232,0.125125125125125,0.5,1.0016041246363292,0.9995136277576724,0.9999892252857506,0.0017751552345236,-0.4292416779534712,2.0,0.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,1,0.4923592113820055,-1.4219411604265302,1,0.8217401932813607,105.327093722266,0.8219242443636254,6.7095579452814444,8.163231576745028,1.0,50.41853837012005,0.0,0.0,0.0,0.9085743638211148,0.0,0.0,0.0,0.8987225163640714,-5.607669719475743,-5.607669719475743,-5.607669719475743,-0.5126847715841398,-5.669141314611986,-5.669141314611986,-5.669141314611986,-0.5741563667203824,0.7043823975884861,0.8258258258258254,2.319345059274428,0.5255255255255253,0.3333333333333333,1.0269664221137131,0.8528728640464281,0.5895463373261433,0.2780015537465072,-0.4039541292882076,2.0,0.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,1,0.5598880105745524,-1.4780373811461278,1,0.359360026034514,113.34775710459004,0.8064688880694914,4.688315915986767,5.813387206057708,1.0,5.4447999809836745,0.0,0.0,0.0,0.6292632771113192,0.0,0.0,0.0,0.5723833001336438,-6.77559596667836,-6.77559596667836,-6.77559596667836,-2.5119622443040983,-7.448913553869863,-7.448913553869863,-7.448913553869863,-3.1852798314956017,0.6666666666666666,0.5055055055055053,1.6418389895747365,0.4454454454454452,0.3333333333333333,0.779557009850398,0.9648473478530388,0.9723307321242172,0.0551922208593011,-0.6246172095119444,2.0,0.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,1,-0.3171309856055135,-1.3468584728011297,1,0.8568159471771555,95.8056921617937,0.0043396003937083,2.382302160078493,548.9680947426361,1.0,5.740673580488791,0.0,0.0,0.0,0.8204307948371659,0.0,0.0,0.0,0.7943928623723184,-6.1763228428245815,-6.1763228428245815,-6.1763228428245815,-1.109077383715066,-6.378765091087367,-6.378765091087367,-6.378765091087367,-1.311519631977851,0.7420981285103055,0.4054054054054052,1.0354529378710997,0.105105105105105,0.3333333333333333,0.7190390026246396,0.9250124165549334,0.3497238235295298,0.1278613618884477,-0.8530770707893249,2.0,0.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,1,0.9782608116960944,-0.4355935752391873,1,0.9713308145681276,88.3402952834677,0.3304530180991181,14.190549562510736,42.94271435055962,1.0,17.864172670478062,0.0,0.0,0.0,0.5269252750945508,0.0,0.0,0.0,0.5631689575571401,-6.311077208828323,-6.311077208828323,-6.311077208828323,-2.9856111144235093,-5.904917254015027,-5.904917254015027,-5.904917254015027,-2.5794511596102137,0.7420981285103057,0.9859859859859856,1.3653704040138992,0.7657657657657654,0.5,1.0419174848232031,0.8690210532261823,0.7335402511899964,0.2379284538666099,-0.7245962589405242,2.0,0.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9,1,0.1549794996186986,-1.895050657199011,2,0.8596392769607757,109.79491127523016,2.6093380416807106,13.774533100267483,5.278937753651542,1.0,28.1289095985589,0.0,0.0,0.0,0.4778171480086107,0.0,0.0,0.0,0.4836541154979681,-6.286161114925572,-6.286161114925572,-6.286161114925572,-3.2825255390692067,-6.210296738122109,-6.210296738122109,-6.210296738122109,-3.2066611622657435,0.5377157309218195,0.8858858858858855,0.7671581176779302,0.5855855855855853,0.5,0.93324773628815,0.8739784217195078,0.7475949503815097,0.1768613767979753,-0.2992798615845561,2.0,0.0,2.2360679775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
