fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,ps_ratio,loglikelihood,mhl_norm,mhl_sum,std_y_last_1,mean_std_x_last_1,std_y_last_2,mean_std_x_last_2,std_y_last_5,mean_std_x_last_5,BFGS,DE,MLSL,Non-elitist,PSO,Same
1,1,0,1,1.509962446869023,2.8003110577705703,1,0.5032060687230936,106.0571898849602,0.145278508462395,5.573821261824895,38.36645434219656,0.7748961093525895,0.9999999999999842,1.000000485570001,0.21,0.15,1.4,0.23,0.175,1.3142857142857145,0.0,0.3773970554162015,0.4478610908379645,0.5735626999044703,0.0,0.3803952862175737,0.4682295885157704,0.587929058163775,-5.34907742905167,-3.3303513581343043,-2.953433776699854,-2.281046136846732,-5.102976182017816,-3.1618280966976875,-2.7136117441058367,-2.1027882014919044,0.7631393843984949,1.0160160160160154,2.154434690031882,0.5315315315315318,0.3695652173913043,1.0472272261663342,0.9325483501484136,0.9629638116625504,0.1504388010797538,-0.4367123077878635,1.475909818,1.840419006,0.8131785555,1.1262627395,-0.0713267578,0.9573338709,-0.0614407083,0.529128574,-58.0443164441,6.0652325722,16.4572820041,4.296690152067093,1.0385422073985902,6.846571631908381,1.290968893926208,16.76856466123779,1.628967008051636,0.0,0.0007687967,0.0,0.0,6.173e-07,0.0
1,1,1,1,1.0582352619006383,0.232401017577966,1,0.6772095121627584,106.47152065139164,0.1220422167300371,4.567544777537028,37.42594079260819,0.8094804399883863,0.9999999999999694,1.0000002948848363,0.25,0.15,1.6666666666666667,0.21,0.22,0.9545454545454544,0.0,0.5877544530110962,0.5819005699602519,0.6302779496282438,0.0,0.5860979332156474,0.6376089489715058,0.694785631592655,-4.51225825766371,-1.860158373585774,-1.8865726057213443,-1.6682813748303151,-4.239149039515293,-1.7545925488622829,-1.5362296758963785,-1.293849196680263,0.8206048794910923,0.861861861861862,1.0069386314760271,0.2672672672672673,0.6304347826086957,0.950085929491805,0.9116009859410108,0.8972535676830444,0.1796965911795985,-0.4025280167540644,1.2327250659,1.8269370206,0.8103365581,1.5177849985,-0.2642739156,1.3057468982,-0.2248022978,0.7130693254,-48.5282861006,5.5107905035,14.0237396225,4.339515112893023,1.1548327768240454,6.298140122972034,1.1131095082023443,12.273070862111732,1.338507643737045,0.0,0.0020463378,0.0,0.0,3.7958e-06,0.0
1,1,2,1,1.405107008938677,1.669618332181228,2,0.5288797855842353,103.76507745205964,1.390106856495425,4.347852231847561,3.127710802613302,0.848850624019337,0.9999999999999843,1.0000001943483283,0.225,0.13,1.7307692307692308,0.42,0.15,2.8000000000000003,0.0,0.3604741567309394,0.4071282247869926,0.4872292729409075,0.0,0.4083213534504482,0.413385994642154,0.4951075474060779,-5.103454111363853,-3.2637907941549225,-3.025693898722409,-2.6169018751967577,-4.936875058834872,-2.921043552995656,-2.896040052214376,-2.492590956604902,0.8927169529248621,0.8838838838838833,1.3650078065460138,0.3333333333333329,0.6521739130434783,1.018865595995754,0.9274409127617832,0.9482746798170436,0.1314163663285641,-0.4455683949792411,1.2288136285,1.79783993,0.7963993482,0.8672516533,0.0529803445,0.7281545064,0.0833597672,0.407442788,-50.0428636966,6.2976191777,16.7151238089,2.2564970652132037,0.9301468338416528,6.459234664093009,1.1291759670460824,12.063126525693088,1.5555363941729168,0.0,0.0036292942,0.0,0.0,3.7787e-06,0.0
1,1,3,1,1.0257132111851477,0.3193455476418845,1,0.3912333915370477,104.128727854378,1.3377852956575456,3.6926337550305575,2.760258889835952,0.6034561129909823,0.9999999999999816,1.000000473213577,0.365,0.155,2.3548387096774195,0.395,0.165,2.393939393939394,0.0,0.3213364162541012,0.3298944407061944,0.4141588444207567,0.0,0.3082284222616686,0.3336162065428938,0.4114749266193385,-4.9594513437911365,-3.365799022390706,-3.323355916521575,-2.9054507062856305,-4.83527181779437,-3.3449036141893007,-3.2221467763380494,-2.845678701382876,0.8583050731407215,0.8398398398398399,0.5764488282925874,0.3333333333333329,0.4782608695652174,1.0187728560962095,0.9642851604930622,0.9856379401250676,0.083362030341626,-0.5241901649311702,1.2166732855,1.790604116,0.7940728479,0.8194902842,0.073254286,0.6526614999,0.0909442316,0.3850040583,-46.48276898,5.5267206173,14.2882811335,5.263929636818595,0.9331889599631694,6.028254531692904,1.0997555763976152,10.553594807412358,1.49756587455501,0.0,0.0001759355,0.0,0.0,1.653e-07,0.0
1,1,4,1,2.6778465654672963,7.394816365828516,3,0.6210249125691555,105.71892762618872,1.2487448940095756,3.6567494443096167,2.928339856964873,0.8494331425665027,0.9999999999999724,1.0000003750054411,0.32,0.19,1.6842105263157894,0.275,0.16,1.71875,0.0,0.4285767450731407,0.4346681620255601,0.5241394260461504,0.0,0.4304880247230366,0.4377383393256662,0.564973261102294,-4.541720446478433,-2.5952446804945746,-2.5675791675737463,-2.161225698399161,-4.228892097343115,-2.408404691591018,-2.3777438934647064,-1.839681138257456,0.7998202149980501,0.8178178178178177,0.7060717714137765,0.1131131131131128,0.6086956521739131,1.0233920764801852,0.9600409900187192,0.9825873054710964,0.096417643605429,-0.3853230293209168,1.1339908039,1.7739665723,0.7916671032,1.0317361835,-0.1562038787,0.8331310343,-0.1201682482,0.4847191302,-42.2634871779,5.0224051608,13.6264510223,2.019333802957393,1.0486020163599803,2.8160548513324906,1.0371261428540786,6.2823598801543685,1.3036811917246087,0.0,0.0003954863,0.0,0.0,5.79e-07,0.0
1,1,5,1,1.8595972055845955,3.304204810612421,3,0.6327930541136628,104.94706295905652,0.1305046556566315,3.6704731734526064,28.125227831794167,0.8717815372386969,0.999999999999979,1.0000003349959008,0.355,0.125,2.84,0.215,0.14,1.5357142857142858,0.0,0.2584234249244126,0.395156952562264,0.4481187654019147,0.0,0.361821093537336,0.4542564968324158,0.4958626140841122,-4.769102813355792,-3.5366549305117365,-2.884558679173997,-2.631978348559996,-4.493804709098708,-2.8678513751093835,-2.452464724494515,-2.265494958861529,0.7433740829555269,0.7077077077077075,0.7060717714137765,0.2012012012012007,0.3695652173913043,1.0037812422706047,0.9382735443417052,0.950042609379743,0.1641287178908305,-0.3812088540113231,1.2353271373,1.8158570425,0.8054852487,0.848716315,0.1606284483,0.616956461,0.1622102398,0.3987347159,-44.4633180231,4.4473721075,11.8097321404,1.8637736335034785,0.8654534164373698,3.246888971528693,0.9261753686108972,11.14886859661968,1.432051764994846,0.0,0.0006383096,0.0,0.0,5.9458e-06,0.0
1,1,6,1,0.954066714399667,0.227657376761404,1,0.4025921321239946,106.88152086148028,0.6644290243854349,3.711441307642656,5.585910866966658,0.5401742762258157,0.999999999999952,1.0000003607278525,0.31,0.185,1.6756756756756757,0.455,0.185,2.45945945945946,0.0,0.3668155415667308,0.3971496950311307,0.5353040188582723,0.0,0.3201031129217839,0.396236896930137,0.5413657908395813,-5.096657118765224,-3.227124077565424,-3.072521298369374,-2.3683960803475768,-4.98052580036374,-3.3862439876800474,-3.0070577121471245,-2.2842395116528853,0.844240900054639,1.0160160160160154,1.8985316814422828,0.4214214214214208,0.4782608695652174,1.0533341925793749,0.9394309888162636,0.944748402581888,0.1405479399902717,-0.5700456892607404,1.2660273547,1.8485532188,0.8215640505,0.6150343746,0.0812110878,0.4189401916,0.0713501972,0.2889487951,-49.4442350985,5.2729197085,13.9951891416,6.323493999525224,1.0495637533050206,6.296674678828372,1.1365878361969606,11.5762358671121,1.5408552592719955,0.0,0.0014180509,0.0,0.0,1.7204e-06,0.0
1,1,7,1,-0.1369893587844359,-0.9914618391773242,2,-0.0746605891086302,97.75462185803732,0.2913720237579585,0.5410021251828991,1.8567401159704584,0.1129942994843519,0.9999999999999092,1.0000003180116488,0.315,0.19,1.6578947368421055,0.5650000000000001,0.31,1.8225806451612905,0.0,0.3627727807847252,0.355093613203748,0.5468548971349437,0.0,0.3612391447609431,0.3808154043190048,0.5074309479790937,-5.025451898166806,-3.2023547383689577,-3.240946025665121,-2.2772589173381896,-4.943060369840058,-3.1574334693373243,-3.060666836526167,-2.434798560454228,0.8458774255114235,0.8838838838838833,1.05931476351837,0.4654654654654652,0.5652173913043478,0.9680317314787528,0.9249848844370144,0.905061235195284,0.129102632900942,-0.7155587543700572,1.4663793729,1.8516091421,0.8181775289,1.3003677946,-0.3289790657,1.0143401307,-0.2506309908,0.6109247271,-59.4773141806,6.2404912448,16.6764325329,4.975895045934911,0.8190852843454106,8.303539685342681,1.1730381781554142,8.35465661535218,1.523908022823265,0.0,0.0002942129,0.0,0.0,4.5847e-06,0.0
1,1,8,1,1.7698742848806028,4.4474792437060255,2,0.459870692003947,102.35785660615952,0.4506250420478753,4.958681645196862,11.004008171987124,0.6343420526240411,0.999999999999984,1.0000002276352675,0.33,0.225,1.4666666666666668,0.4,0.1,4.0,0.0,0.2864486521752382,0.27607866533856,0.5155231048626864,0.0,0.31136372079481,0.3136482185993473,0.5480254070158769,-5.546486721568674,-3.957703075867472,-4.015220070159948,-2.687144665785929,-5.41322112375585,-3.727740453178166,-3.715373961405471,-2.446638414142608,0.8272270497928315,0.94994994994995,0.9571521538991856,0.2672672672672673,0.6304347826086957,1.0484416495906588,0.9274057796776736,0.9461416285549924,0.1658502692914362,-0.5213166944884164,1.401455698,1.8396065214,0.8114075966,0.9712397399,-0.2329909255,0.8021363128,-0.1402354625,0.4562973457,-56.9926424043,6.2365099056,16.8309792757,2.7708632455335755,0.8638168254464371,7.081300575560312,1.2711705817236043,12.49919245854854,1.7262636820391437,0.0,0.0012467389,0.0,0.0,9.476e-07,0.0
1,1,9,1,1.7271137847521418,2.3646344737787484,1,0.6875278251784176,106.14111306463175,1.0169254425540086,5.559501670332026,5.466970770609628,0.7834708211345651,0.9999999999999838,1.000000352891144,0.295,0.195,1.512820512820513,0.23,0.2,1.15,0.0,0.4177865189637501,0.3750708572387984,0.5048744017172704,0.0,0.4456919703890614,0.4427646716820183,0.5441508302118124,-4.690619742873753,-2.730942048715887,-2.9313049749328624,-2.32244590650715,-4.382598574566845,-2.4293095804438565,-2.4421387555846747,-1.9978039217311907,0.7700570108703559,0.9279279279279278,1.6306163126774824,0.5535535535535532,0.4347826086956521,0.9941264119258094,0.9084118563989928,0.939804928184456,0.1646179621227509,-0.4487699577763052,1.2358413771,1.7795044003,0.7915145509,1.6361790543,0.1314691706,1.3114256979,0.1134130566,0.7686919396,-46.1704821788,5.1623276685,13.9962248959,2.2310335858313297,1.002806219974067,2.92448389609865,1.0340220647539984,10.777261935194764,1.3904730835144918,0.0,0.0007160454,0.0,0.0,2.6876e-06,0.0
