fid,iid,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.costs_runtime,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_runtime,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,ela_level.costs_runtime,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,disp.costs_runtime,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,ic.costs_runtime,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.costs_runtime
1,1,1,0.576367069959383,0.13970381049234337,2,0.011121,0.607819733385932,133.97008346536828,0.5563165222543001,5.141206595438145,9.241513400689595,0.6128474817147276,1.0,1.0000000000000029,1.0,0.034776,0.11000000000000001,0.069,1.5942028985507246,0.177,0.125,1.416,0.194,0.15,1.2933333333333334,0.231462,0.4516759985582696,0.5504064662332333,0.6221676213145563,0.7473991502933335,0.4583456358913324,0.552670689755592,0.6242037222234713,0.7519843601529862,-4.821641483155105,-3.9534633305642464,-3.322437584272884,-2.2212245541385833,-4.7939361918575045,-3.959108081014362,-3.326001775620898,-2.195073520668177,0.053292,0.8212926920367984,1.1661661661661658,2.3193450592744274,0.6456456456456453,0.48997995991983967,0.693291,0.9149341279776384,0.8742504083982744,0.6518782400378593,0.18419782540214055,-0.3764855260940884,0.174987
1,1,1,0.42423223034838137,-0.48498920105942034,2,0.010038,0.6301520512382826,133.97069696898717,0.7449237472577831,5.164947172186313,6.933524661013347,0.6305579110491086,1.0,1.0000000000000016,1.0,0.017661,0.10699999999999998,0.076,1.407894736842105,0.178,0.129,1.3798449612403099,0.179,0.14100000000000001,1.2695035460992905,0.21161,0.4694546700038982,0.5539128037743167,0.6209491154665812,0.7355065038729715,0.46956819860938903,0.5586162653398207,0.6236694034327146,0.7382361005983884,-4.666148150799075,-3.923338550127111,-3.3337539394369218,-2.326221282280601,-4.696975025456687,-3.9084541554758294,-3.3324084430037413,-2.3179200320044933,0.048756,0.8235322893001853,1.1861861861861855,2.7889802923804394,0.6456456456456453,0.49498997995991983,0.831066,0.9146241126669831,0.8739830996565712,0.6560476143445774,0.18175928793669738,-0.35049401089507337,0.173541
1,1,1,0.48218453226684693,-0.2838302641863897,1,0.010812,0.5936499323603377,133.97082961311304,0.4609754194138232,5.197341669669093,11.274661187527174,0.5960593664026337,1.0,1.0000000000000024,1.0,0.021549,0.10800000000000001,0.076,1.4210526315789476,0.213,0.121,1.7603305785123966,0.194,0.13499999999999998,1.4370370370370373,0.227563,0.43394360508928553,0.5323460063118639,0.6044728808521799,0.7152100826589686,0.43641125146574816,0.5382894091550282,0.6093929629555183,0.7194319785951419,-4.972803891364412,-4.108339063974865,-3.4747046671006627,-2.501878650091413,-4.969499156492441,-4.0711784926775705,-3.4442159219127717,-2.4739360914077206,0.04853,0.8102423803766343,1.2062062062062056,2.6633327251749805,0.6256256256256253,0.5130260521042084,0.690043,0.8915246667493161,0.8679598343326563,0.6460619342792706,0.18726091790801583,-0.35175066938726895,0.184189
1,1,1,0.47912634557914613,-0.12429971799008044,2,0.010926,0.6137469620350585,133.96951990011527,0.6757405858619931,5.179234362341929,7.664530547229387,0.6182686806674755,1.0,1.0000000000000022,1.0,0.020859,0.10900000000000001,0.06500000000000002,1.6769230769230767,0.219,0.137,1.5985401459854014,0.185,0.133,1.3909774436090225,0.309041,0.40678086780348444,0.5023465886742567,0.6003869586410374,0.7364420626876128,0.4038801052178021,0.5043129322241717,0.6016286593842646,0.7375464696398643,-5.215772336101316,-4.3755279539760386,-3.513525665546009,-2.3172856770548176,-5.271622840168443,-4.383472672083707,-3.5228877218159713,-2.320935833948032,0.053202,0.8083023351670308,1.2062062062062056,2.7889802923804394,0.6256256256256253,0.5460921843687375,0.71662,0.8707541288337042,0.8670765588107422,0.6210398133964296,0.18592282114491912,-0.36544574618449843,0.170371
1,1,1,0.5092312474010927,-0.19007172581290854,1,0.009865,0.6281132611186795,133.9717009698093,0.6722098259194943,5.3018611319914895,7.8872115931052384,0.6297852830877964,1.0,1.0000000000000024,1.0,0.026161,0.10300000000000001,0.06799999999999999,1.5147058823529416,0.18600000000000003,0.12100000000000002,1.537190082644628,0.202,0.14900000000000002,1.355704697986577,0.240047,0.4312099749649747,0.5194798313566817,0.5968393280684353,0.7355233786740358,0.4318890143876732,0.5221589294822934,0.6012092014039955,0.7363088617800565,-5.001712364130828,-4.225502492891847,-3.5452339682068557,-2.325701803276462,-5.024893018948816,-4.226463349979892,-3.527270464108777,-2.3323255370108997,0.049615,0.8162734975651245,1.2062062062062056,2.920555512182745,0.6456456456456453,0.5180360721442886,0.7542,0.9153318514456507,0.8777039396427548,0.6454267893419012,0.1798023499961164,-0.37891867359312964,0.17261
1,1,1,0.5101320729084722,-0.05450204276533244,1,0.009848,0.6134715712635885,133.97142743904243,0.20359499651367619,5.334507255497449,26.201563628009453,0.6130017288035439,1.0,1.0000000000000029,1.0,0.029548,0.10600000000000001,0.065,1.630769230769231,0.186,0.123,1.5121951219512195,0.20600000000000004,0.16,1.2875000000000003,0.223366,0.42884265501807933,0.5123564417917732,0.5900472809235053,0.7310882200785246,0.4294531053135749,0.5157823804336972,0.5916897024835284,0.7329949778526315,-5.0217844203026605,-4.2875064897371535,-3.604425638234977,-2.364351957844942,-5.042999870778983,-4.279945111687717,-3.609008824322826,-2.3600273785147223,0.049367,0.8267522948243838,1.1861861861861855,2.920555512182745,0.6456456456456453,0.5090180360721442,0.693483,0.9233955880006709,0.8725825857391041,0.6353512553019819,0.18675528906345631,-0.3508835894966362,0.164098
1,1,1,0.6100958618383928,0.14759462303962634,2,0.013013,0.601611321979076,133.97101231883104,0.2246302977946835,5.391632918388087,24.002251572119384,0.6041581443636295,1.0,1.0000000000000062,1.0,0.051744,0.10700000000000001,0.07100000000000001,1.5070422535211268,0.199,0.11900000000000002,1.672268907563025,0.21200000000000002,0.148,1.4324324324324327,0.251511,0.4381850769696592,0.525559789420404,0.5981703252495709,0.7273949517506179,0.4464576930182038,0.5242657232327813,0.600293714725657,0.7307739178187983,-4.935781080034841,-4.168157375307118,-3.530243189931449,-2.3949503374060797,-4.884321021235263,-4.1977621208503155,-3.52690984385686,-2.3755846591608414,0.050134,0.815935010257597,1.1661661661661658,2.920555512182745,0.6456456456456453,0.503006012024048,0.718942,0.9133134210901852,0.8713760250430139,0.6694787827857959,0.18267152216071647,-0.35854930457169787,0.168732
1,1,1,0.6115899462540284,0.11800190583203074,1,0.009859,0.5975060625161387,133.9695093344035,0.41242686060155687,5.48192509521424,13.291872132718087,0.6005268444592162,1.0,1.0000000000000022,1.0,0.020326,0.10900000000000001,0.07500000000000001,1.4533333333333334,0.196,0.11599999999999999,1.6896551724137934,0.22599999999999998,0.158,1.430379746835443,0.201913,0.4301834296783039,0.5177427765126866,0.606339268761214,0.7288635407279824,0.43234174383032437,0.5225335136294809,0.6081337437580205,0.7326598768185218,-5.006021218293135,-4.236784290231624,-3.4584357072620557,-2.3820207043159627,-5.007037990395181,-4.211500159495793,-3.4564620717346646,-2.3580774851383124,0.042841,0.808898661389901,1.1661661661661658,2.920555512182745,0.6456456456456453,0.49198396793587174,0.689301,0.925318866077412,0.8778749094799835,0.6751690902476948,0.17689833366009686,-0.3643534205352031,0.16812
1,1,1,0.5899201505913145,0.17839485971837998,3,0.009946,0.5952656275215031,133.96990759043376,0.4896848904555474,5.083136868395863,10.3804241614788,0.5975166312323452,1.0,1.0000000000000042,1.0,0.028785,0.11200000000000002,0.07400000000000001,1.5135135135135136,0.188,0.129,1.4573643410852712,0.22000000000000003,0.14,1.5714285714285714,0.24389,0.45182209393952305,0.5452465586495004,0.6184312812384753,0.7385394575116632,0.4598961585391005,0.546917197090079,0.6227595163806287,0.7438221902228772,-4.818254058781718,-3.9970921671736734,-3.35382912655007,-2.298128593159161,-4.770885609507214,-4.002204869477167,-3.3322688277037447,-2.262888971192832,0.055711,0.8367764532681502,1.1661661661661658,2.543345761304648,0.6656656656656653,0.5020040080160321,0.699841,0.912664906972457,0.876402349419209,0.6406025078453653,0.18142643604875003,-0.37303199434245027,0.17114
1,1,1,0.551949010547382,0.1835827822713476,1,0.012282,0.5896381424584671,133.9694954375953,0.6294310181098468,5.25343745555642,8.34632756315737,0.5887254548829239,1.0,1.0000000000000022,1.0,0.027553,0.097,0.06699999999999999,1.447761194029851,0.199,0.12,1.6583333333333334,0.205,0.146,1.404109589041096,0.256495,0.4747019243209283,0.5452122585439794,0.6117602330976668,0.733476436164507,0.4800212352555409,0.5477930786806275,0.6189015308860639,0.7374078085162918,-4.617300946729489,-3.997524389312191,-3.412576451872196,-2.342707046913265,-4.59331722584,-3.994643593495865,-3.366495483296463,-2.3196509517190727,0.047507,0.815888940225666,1.1661661661661658,2.4287643824604506,0.6456456456456453,0.5150300601202404,0.71659,0.8993436150335051,0.8700309329850494,0.6457564457647784,0.18489211005835166,-0.37839628486077265,0.162447
