fid,iid,rep,evaluations,raw_y,true_y,x0,x1,x2,x3,x4
1,6.0,0.0,1,54.2405806133,-147.4794193867,3.528105,0.800314,1.957476,4.481786,3.735116
1,6.0,0.0,2,31.6594279636,-170.0605720364,-1.954556,1.900177,-0.302714,-0.206438,0.821197
1,6.0,0.0,3,48.4438150378,-153.2761849622,0.288087,2.908547,1.522075,0.24335,0.887726
1,6.0,0.0,4,56.1358069706,-145.5841930294,0.667349,2.988158,-0.410317,0.626135,-1.708191
1,6.0,0.0,5,58.6702571901,-143.0497428099,-5.0,1.307237,1.728872,-1.48433,4.539509
1,6.0,0.0,6,12.918696873,-188.801303127,-2.908731,0.091517,-0.374368,3.065558,2.938718
1,6.0,0.0,7,64.0455472151,-137.67445278489998,0.309895,0.756325,-1.775571,-3.961593,-0.695824
1,6.0,0.0,8,59.5287200501,-142.1912799499,0.312698,2.460581,2.40476,-0.774654,-0.604606
1,6.0,0.0,9,76.7860456003,-124.9339543997,-5.0,4.123376,1.844586,1.023585,-0.239598
1,6.0,0.0,10,36.2415830194,-165.4784169806,-0.589614,0.540198,2.974424,1.830056,4.850634
1,6.0,0.0,11,38.7036983615,-163.0163016385,-0.683673,2.563614,-0.200113,0.340713,3.941735
1,6.0,0.0,12,16.6157790266,-185.1042209734,-1.136877,0.831336,-0.021139,2.911343,3.187219
1,6.0,0.0,13,51.3449508863,-150.37504911370002,0.347172,3.155277,1.328055,0.575625,3.808615
1,6.0,0.0,14,34.7519314997,-166.9680685003,-1.336655,0.714384,3.448243,1.601467,3.353588
1,6.0,0.0,15,11.2137147812,-190.5062852188,0.721625,-1.025887,0.28143,2.469965,3.263395
1,6.0,0.0,16,38.0843573984,-163.6356426016,-2.029373,2.381225,1.789466,0.854793,2.325665
1,6.0,0.0,17,25.1928613628,-176.5271386372,3.363214,-2.142838,-1.865938,1.717488,1.305858
1,6.0,0.0,18,32.7930661527,-168.9269338473,1.319768,-1.36484,0.033737,-1.505014,4.699097
1,6.0,0.0,19,16.7849470286,-184.9350529714,-1.374669,0.897319,-2.217589,1.49511,1.981275
1,6.0,0.0,20,39.8697517633,-161.8502482367,1.321063,2.441251,0.499395,1.83203,3.205461
1,6.0,0.0,21,45.6248150846,-156.0951849154,-4.65765,-0.111736,3.344284,2.436207,5.0
1,6.0,0.0,22,49.2776213077,-152.4423786923,-2.969532,1.084749,2.30605,-2.081116,1.063167
1,6.0,0.0,23,41.8967208967,-159.8232791033,-4.596426,1.375939,-0.084602,-0.475211,4.215248
1,6.0,0.0,24,18.0391228287,-183.6808771713,-0.913195,0.234589,-0.679289,-0.43581,2.441599
1,6.0,0.0,25,14.240653086,-187.479346914,0.64755,-2.161178,-1.286151,3.027109,4.980228
1,6.0,0.0,26,1.0307442639,-200.6892557361,-1.077336,-3.38411,-0.377035,1.868299,2.392497
1,6.0,0.0,27,20.5365703929,-181.1834296071,-0.484849,0.394355,0.424834,4.551923,3.41495
1,6.0,0.0,28,20.6120037427,-181.1079962573,-0.714749,-0.344892,0.818335,3.564327,5.0
1,6.0,0.0,29,27.0048653373,-174.7151346627,1.257045,-1.248778,0.907029,1.46774,-1.580825
1,6.0,0.0,30,15.3866522944,-186.3333477056,-3.424109,-0.484791,-1.600197,1.503579,4.108898
1,6.0,0.0,31,31.3976241204,-170.3223758796,-1.52296,1.613121,2.107398,3.303251,2.852106
1,6.0,0.0,32,33.6082599596,-168.1117400404,-1.688437,2.157713,0.970665,4.22579,2.814505
1,6.0,0.0,33,16.7845012157,-184.9354987843,0.071309,-1.456048,-2.915174,4.054838,4.381025
1,6.0,0.0,34,12.8744583102,-188.8455416898,-3.570249,-1.376113,0.958091,0.847547,2.303516
1,6.0,0.0,35,11.8873894459,-189.8326105541,0.202967,-2.575237,-0.632408,2.672503,5.0
1,6.0,0.0,36,5.2363315402,-196.4836684598,-1.469092,-3.270491,0.800866,1.526775,3.195653
1,6.0,0.0,37,13.6619741569,-188.0580258431,0.131967,-5.0,1.647386,1.966924,1.92872
1,6.0,0.0,38,15.3484906225,-186.3715093775,0.5899,-3.257242,1.433862,2.28673,-0.337034
1,6.0,0.0,39,5.4757321319,-196.2442678681,0.434019,-3.938687,-0.549552,2.900044,1.312365
1,6.0,0.0,40,25.4167523795,-176.3032476205,-0.386508,1.678003,-0.917377,1.022937,0.738799
1,6.0,1.0,1,44.7839771953,-156.9360228047,3.248691,-1.223513,-1.056344,-2.145937,1.730815
1,6.0,1.0,2,60.534388676,-141.185611324,-4.603077,3.489624,-1.522414,0.638078,-0.498741
1,6.0,1.0,3,30.1260087823,-171.5939912177,2.924216,-4.120281,-0.644834,-0.768109,2.267539
1,6.0,1.0,4,13.5920311662,-188.1279688338,-2.199783,-0.344856,-1.755717,0.084427,1.16563
1,6.0,1.0,5,36.9607051222,-164.75929487780002,-2.201238,2.289447,1.803181,1.004989,1.801712
