fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,t,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,ps_ratio,ps_squared,loglikelihood,mhl_norm,mhl_sum
1,6,0,1,0.8286534123047282,-0.3028247730883291,1,0.7330663549276574,-168.23396097648993,0.0020599103268961,4.770463401274742,2315.8597434981034,0.8383837296761272,0.9999999999999778,1.0000002219049433,,0.15,0.16,0.9375,0.1433333333333333,0.0733333333333333,1.9545454545454544,0.1468506978222553,0.2277966250987135,0.2975742093244185,0.5253947959592098,0.1496402880338196,0.2697574456297095,0.2769738825101095,0.5249545013536612,-4.772596390326547,-4.319777359302159,-3.929435076009844,-2.6549855668326625,-4.668311462828592,-4.008891342382455,-3.9692744902015615,-2.607908530342071,0.7406476102774713,0.9059059059059056,1.3038585066127686,0.2252252252252251,0.4444444444444444,1.0345175562881692,0.9216209809136516,0.9444779679450044,0.1440878398750458,-0.388762387411833,1.5309811321,6.0,1.8646845727,0.8244600825,1.4968111543,-0.3779051536,1.1859192066,-0.3262831193,0.7032156208,2.2404436317,-53.9912494099,4.5821908272,12.3614966759
1,6,1,1,1.897746780993343,3.693113080795925,2,0.4681177367565304,-172.3726272010028,0.2418105486405578,3.2554892184955024,13.462974368974544,0.6696911215028509,0.999999999999958,1.0000004330908197,,0.3633333333333334,0.2233333333333333,1.6268656716417913,0.3833333333333333,0.1299999999999999,2.9487179487179493,0.4797200102087055,0.4649340173530187,0.4478323068964704,0.5439012751949942,0.5177060083974395,0.5177060083974395,0.4644188392983873,0.5697989691392863,-2.3342891237029373,-2.400627985437797,-2.4773565498622165,-2.0463333465394,-2.005090613372976,-2.005090613372976,-2.2266268639464126,-1.7885191685179094,0.8517783789748316,0.7457457457457454,1.2451178085219232,0.2052052052052051,0.5185185185185185,0.9846330476090516,0.8925609518846583,0.9202653289629772,0.1718519875422975,-0.3957455208388338,1.0922239562,6.0,1.7700789684,0.780950828,0.73224691,-0.2160408637,0.7015212995,-0.2074917885,0.3440163203,0.5361855372,-43.916402662,6.0250179652,16.4460198976
1,6,2,1,1.112127791336761,0.3680727437682813,1,0.6784270243922594,-166.8264369142715,2.2854523739384827,5.632493898262927,2.464498478503204,0.8392612572355312,0.9999999999999758,1.0000002340364245,,0.2566666666666667,0.2533333333333333,1.0131578947368425,0.1466666666666666,0.1033333333333333,1.4193548387096775,0.4933039303801674,0.4373829792402152,0.4245622905050938,0.6322550935645033,0.5085230626170881,0.5085230626170881,0.4098704031981545,0.6532231275800857,-2.867136584461526,-3.18356494154655,-3.2561107296716485,-2.0808822846833555,-2.6977885799828805,-2.6977885799828805,-3.2393074137709768,-1.9035088222008447,0.7862877129806731,1.0460460460460457,2.164964029297577,0.3053053053053052,0.5185185185185185,0.9782417452927435,0.8926958617803454,0.8518104953649729,0.1671619404340232,-0.3113159896015204,1.6022556296,6.0,1.9107941354,0.834924337,1.1405683371,-0.111072022,0.6780216238,-0.0461724815,0.535849475,1.3008961315,-63.0987904815,6.3493578751,16.4612110808
1,6,3,1,2.170831349610928,6.138609392492626,2,0.4291448119356298,-168.18905798190522,1.2723433909984798,3.0182299001748487,2.372181850849457,0.707835117272445,0.9999999999999778,1.0000003855573485,,0.3833333333333333,0.1666666666666666,2.3,0.3466666666666666,0.1233333333333333,2.8108108108108105,0.3719387594749602,0.3096096201512257,0.5026630545852162,0.5303642370102585,0.3841311382154385,0.3446388816324138,0.5418179641455406,0.558109121403176,-3.5209498915908264,-3.870370875062744,-2.7881014637655896,-2.632806933609813,-3.343012678728327,-3.557381552787147,-2.4870690013271446,-2.398638576210956,0.8590627173693925,1.0060060060060056,1.161622632608502,0.2452452452452451,0.5925925925925926,1.0088884369223938,0.9106940575217538,0.866581733158857,0.1599704007209051,-0.4800455624098875,1.4203413868,6.0,1.8502738201,0.8231567369,1.7786381533,-0.1465748804,1.517485949,-0.1191478281,0.8356205321,3.1635536805,-52.1437323606,4.6833160637,12.4038265275
1,6,4,1,1.4694301975267527,2.2127526965212274,2,0.6610913192684853,-164.97302542022564,0.3197931487676311,4.175308149042625,13.056277675531122,0.8241532531635608,0.9999999999999678,1.0000002761369349,,0.2233333333333333,0.1399999999999999,1.5952380952380958,0.2333333333333333,0.1366666666666666,1.707317073170732,0.4786178629978773,0.3722328671416428,0.4476569262460549,0.5420424902056553,0.4998559354221733,0.4893664500473845,0.49655847409229,0.5601936817316691,-2.894447910073429,-3.48504318955458,-3.0663272521439136,-2.5423467032229308,-2.658574039062955,-2.7143321205351074,-2.676102078896521,-2.3378417195673777,0.7643802278316814,1.0060060060060056,1.8004066355637218,0.5255255255255253,0.4814814814814814,1.0151175882030468,0.91271263321149,0.8577418973408132,0.1856181291870504,-0.3856358427070371,1.5602875991,6.0,1.8105761045,0.8020537593,1.2037673826,-0.1882287874,0.7934507391,-0.1349162731,0.5655409668,1.4490559114,-57.8666162167,5.6515289069,14.7470269517
1,6,5,1,1.6080389116694842,2.515610973243561,3,0.627629927349288,-169.2961011047284,0.0441330826467312,3.440202227722339,77.9506443105248,0.8168916280261554,0.9999999999999836,1.0000002663375795,,0.3266666666666666,0.16,2.0416666666666665,0.2566666666666666,0.1266666666666666,2.0263157894736845,0.42110376940792,0.4499990067172262,0.436005095667182,0.537679251000063,0.442605610681395,0.442605610681395,0.4725947263213481,0.5454969745120096,-2.992346852063482,-2.842985761365593,-2.9153210668413743,-2.389761696148311,-2.7412334178877926,-2.7412334178877926,-2.593748679001856,-2.235219632407592,0.8475060051838541,0.9059059059059056,1.1890234632329348,0.3053053053053052,0.4814814814814814,1.0681143663071433,0.9220874490306104,0.916088272786838,0.1711109753276364,-0.3790439032137537,1.4529661836,6.0,1.8598156932,0.822065764,1.113663045,-0.011841359,0.8029531031,-0.0056386764,0.5232091218,1.2402453779,-53.3140684827,4.8632793166,13.2104390939
1,6,6,1,2.4471099572782467,6.022450675522316,3,0.6239330602717756,-168.88997328161622,0.5837355368278644,5.032823681024887,8.62175311164754,0.8408907642093484,0.9999999999999776,1.0000003023330275,,0.2233333333333333,0.2199999999999999,1.0151515151515154,0.3399999999999999,0.1933333333333333,1.7586206896551726,0.4035696188067359,0.4092022854613534,0.4129503055634552,0.5815176145970338,0.430895839510628,0.430895839510628,0.4389609998568566,0.627011273134177,-2.7009833412871203,-2.6754753536311133,-2.658502140699987,-1.8951314138862545,-2.4137932716967185,-2.4137932716967185,-2.379585773086725,-1.58199103403719,0.7842066307429497,0.8658658658658656,0.9224970052592174,0.3653653653653652,0.4629629629629629,1.0388611644820138,0.960360014161104,0.9773828235277292,0.1204643004375123,-0.3926539510792511,1.2219002654,6.0,1.776880696,0.7889294194,1.8489271051,0.2555084433,1.5568515428,0.1855633433,0.8686429269,3.41853144,-48.084339226,5.6547952977,14.9575610789
1,6,7,1,1.6842810569531967,2.948386118289372,1,0.5872943528168015,-173.7511210264839,0.5607982095953905,3.9535718821632457,7.049901041973195,0.7855473366042796,0.9999999999999784,1.000000261427363,,0.34,0.1466666666666666,2.3181818181818183,0.3,0.12,2.5,0.1252914031869194,0.2402509773390324,0.4031112980033023,0.4579137909256229,0.1288364990209034,0.292717537773208,0.425314351632101,0.4402468971558253,-4.184574053929029,-3.634611640160205,-2.855493800517093,-2.593320671307094,-4.05293737162192,-3.2905092100736635,-2.673625488886178,-2.604154405974039,0.7986999105956005,0.9459459459459456,1.46273335620113,0.2852852852852852,0.4074074074074074,1.0169496036897798,0.9280118224344556,0.9458754718738625,0.1619140157703669,-0.4893089932545291,1.2265868655,6.0,1.8040837061,0.8002498573,1.4636472255,-0.1356455349,1.2289338805,-0.1170841365,0.6876349026,2.1422632007,-43.7375358508,4.4430402115,11.9114332749
1,6,8,1,1.829760110184983,3.178389823825186,2,0.674812760702995,-162.12720624844394,0.8329112816500652,4.687422641624758,5.627757415337912,0.886657078175508,0.9999999999999858,1.0000001995823191,,0.2,0.1233333333333333,1.621621621621622,0.1433333333333333,0.1766666666666666,0.8113207547169811,0.3274825708096124,0.4060528657106161,0.4479210941571421,0.5810063621114047,0.3428940873712484,0.4539029320712163,0.4628253402466411,0.5920851365176747,-3.8812925771293134,-3.4278406825825103,-3.1862070278493007,-2.4181334579821425,-3.621899597221489,-3.010030365519732,-2.960850977607155,-2.248384394894346,0.8601032584882542,1.0460460460460457,1.679674872092653,0.3253253253253251,0.5370370370370371,1.015653869889751,0.9161429455122926,0.8766243044956231,0.150364887747453,-0.3583214506619574,1.9177231083,6.0,1.8793580275,0.8248362352,2.0404729052,-0.3069297403,1.4209838483,-0.1744791575,0.9586329021,4.163529677,-59.7188303349,3.5201577987,9.4999181254
1,6,9,1,2.2829014013894464,7.337641117800056,2,0.3910042574936668,-170.4386282192952,0.0352329893477749,4.80548935414137,136.39175792629263,0.6903127681291721,0.9999999999999712,1.0000004785006742,,0.3199999999999999,0.2533333333333333,1.263157894736842,0.3933333333333332,0.1999999999999999,1.9666666666666663,0.5701108211234195,0.601135905459367,0.5324993916644654,0.6771662924414821,0.5843348058616126,0.5843348058616126,0.5443241472636802,0.7003221005475997,-2.671365386603969,-2.4785730566641795,-2.9050857864984563,-2.006114213562112,-2.5201011349878333,-2.5201011349878333,-2.7626783523400533,-1.8168916358422085,0.8441549576093299,0.8658658658658656,1.9287915080207776,0.4254254254254251,0.4814814814814814,0.9757316142338018,0.858940025556093,0.8432851651817991,0.2251786501543039,-0.4574801213513935,1.7510191956,6.0,1.9506609655,0.8466619693,1.3168406818,0.0678173263,0.9975580974,0.0499410218,0.6186638407,1.7340693813,-63.2935431711,5.4871997635,14.6435916772
