fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,t,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,ps_ratio,ps_squared,loglikelihood,mhl_norm,mhl_sum
1,1,0,1,1.7723073085980945,3.946067987222831,2,0.5932036369036024,105.75105411982678,0.0909862685534177,4.612620956813929,50.69579212500483,0.806140482267614,0.9999999999999888,1.0000002407469335,0.9999999999999972,0.3375,0.1,3.375,0.1625,0.1,1.625,0.1643254644874816,0.1773251878124498,0.2838560507574251,0.3885526068952319,0.1710782359373396,0.1871777637810025,0.2676646917466709,0.405628273824245,-4.224380712237756,-4.1586663962633645,-3.620147028305364,-3.090900182085477,-4.0248484299620735,-3.946676807290336,-3.5558707026618626,-2.8859854001028475,0.8199843148149173,1.1061061061061055,1.161622632608502,0.3853853853853852,0.4871794871794871,0.9998943523759556,0.9232171381461086,0.9486943457102268,0.1573583153754569,-0.3879779329256563,0.9816269419,9.0,1.5307218353,0.6747047561,0.6190801596,-0.1378437752,0.4678246764,-0.0643957532,0.290849542,0.383260244,-31.076490685,5.8115402163,14.9179081979
1,1,1,1,1.405342181641306,1.0846891460486114,1,0.614434336305816,104.06830833342526,0.3197025347223146,4.541809440021539,14.2063604342907,0.7401561055336243,0.9999999999999776,1.0000001714077484,0.9999999999999865,0.4,0.15,2.666666666666667,0.1875,0.1625,1.1538461538461535,0.2886579992481257,0.4127772626586455,0.4610618655119144,0.4979788349516189,0.3022141775796513,0.4363731636403538,0.4870127579363509,0.517163488431942,-3.1091400972962475,-2.566638490040344,-2.35559570801082,-2.1942386816657917,-2.9130822279257504,-2.353001834411332,-2.14159412529314,-2.0157223257472108,0.8044350070577904,0.8658658658658656,0.6995920165435374,0.2652652652652651,0.4871794871794871,0.9874317533117584,0.9238063601112316,0.9274046893464588,0.1584414630155396,-0.3108388641724006,1.1194284283,9.0,1.6358071211,0.7181603571,1.271642638,0.0513439151,1.1129004995,-0.0746595903,0.5974293848,1.6170749987,-37.4022622741,5.1910252837,14.4064555807
1,1,2,1,1.9931933676358795,3.90892292856058,2,0.5815862839076495,101.28955194126188,1.924207382671744,3.8344439860439454,1.9927394627910933,0.8389466187998477,0.9999999999999898,1.0000002518096804,0.9999999999999974,0.3,0.125,2.4,0.25,0.125,2.0,0.1634146288623,0.3123781365862844,0.3444294312721956,0.4091062703610674,0.1756491714334881,0.3676366148842971,0.3832702584650503,0.4485658769578803,-3.64230979058544,-2.993755248106222,-2.85421091890444,-2.5726221027897704,-3.339054597881496,-2.561404435383704,-2.4980799530504605,-2.233598342072849,0.7580227337087364,0.8858858858858855,0.8610934477105054,0.105105105105105,0.4615384615384615,1.009653672967683,0.9531198091377676,0.9791267897591508,0.1185229456972091,-0.4072984620109822,0.8933107248,9.0,1.5925702948,0.7005592722,1.4562471778,0.1806443944,1.5148098338,0.182313372,0.6841582923,2.1206558428,-28.9801894561,5.6463086626,14.9526273885
1,1,3,1,1.7007500233463222,2.357334552789208,1,0.5159569267987621,101.08593744005007,1.5737039373243435,3.771607306251013,2.39664349614808,0.7312168824369605,0.9999999999999816,1.0000004191119969,0.9999999999999952,0.2875,0.125,2.3,0.2625,0.0625,4.2,0.2690701531880536,0.2518964426686901,0.2544023751621959,0.3456792204655065,0.2910421482471106,0.2861037530239655,0.2894346339762144,0.3600759391818743,-2.8630695159755675,-2.9303393466968584,-2.920523549787562,-2.562989985599203,-2.5673569348624623,-2.5852404002784746,-2.573178244127987,-2.317364101779366,0.788156998625745,0.8658658658658656,0.6995920165435374,0.2252252252252251,0.5,1.00222075853507,0.959333195459138,0.986222644775211,0.1201097303573085,-0.3950865848590862,0.6391821878,9.0,1.4480143561,0.6402607001,1.3085822122,0.1504473415,0.8575114142,0.1363590518,0.6147839359,1.712387406,-14.0333598141,6.7568556596,17.4113821439
1,1,4,1,3.304353325467043,12.475508037075798,3,0.6006280446133644,102.6686851789734,1.7840351745903102,3.619274114331987,2.0287010961895,0.8797080536064834,0.999999999999978,1.0000004551823514,0.9999999999999964,0.275,0.0875,3.1428571428571432,0.25,0.075,3.333333333333333,0.2573045156473214,0.2096176505732506,0.2309737864290146,0.3349960068360031,0.2820726513581135,0.2437227703964674,0.2425601266545961,0.3650313806154864,-2.5688543354707645,-2.733794896806351,-2.659927742181333,-2.300132997891632,-2.265142977809185,-2.3861412427790603,-2.3898095168914417,-2.0033986893644142,0.7498009140062802,0.8058058058058054,0.6995920165435374,-0.075075075075075,0.5384615384615384,1.0058196402887765,0.9649032560306532,0.9936455312123722,0.1080738453036204,-0.3387360192809229,0.5402042749,9.0,1.4647790661,0.6530595424,0.8941961188,0.0611133533,0.6517010476,0.032106737,0.4201015452,0.7995866989,-7.7837654576,6.2434625717,17.2406199014
1,1,5,1,2.781510856915552,8.473866093133532,3,0.6462048795644331,104.79602728658,1.244070313606057,3.842639848120725,3.0887642009417187,0.8435266341640273,0.9999999999999843,1.0000002449768566,0.999999999999996,0.2625,0.1375,1.909090909090909,0.325,0.125,2.6,0.1124712525843269,0.200456816367921,0.2569374331542898,0.4060311188398314,0.1240606874196381,0.2086573662349659,0.2746559827358787,0.4468477638300264,-3.448528771775288,-3.1066573122962544,-2.88719959602221,-2.307890062360639,-3.0855514436757128,-2.787554309970337,-2.5550700231022234,-1.9485136200347493,0.8153427653183531,0.8058058058058054,0.6995920165435374,0.2452452452452451,0.5256410256410257,0.9645851907788532,0.932677595852236,0.974260743933408,0.1352399415133083,-0.2872851930924163,0.7242593411,9.0,1.5155533828,0.6709000329,0.9015239127,-0.0840484477,0.7630878427,-0.0460709227,0.42354421,0.8127453651,-17.589541777,5.6214082806,14.1232535118
1,1,6,1,1.2687491815469092,0.7556518143465012,1,0.6389064113447558,104.9816017694768,0.5997842003227873,5.269503342335182,8.78566547684864,0.6834190818234076,0.999999999999973,1.0000004010124006,0.9999999999999872,0.25,0.1,2.5,0.2375,0.1,2.375,0.2784233474724558,0.3396513554453375,0.3744880717361455,0.4655203509749714,0.288440058429859,0.3128194475873853,0.3552225530538085,0.4733249711108844,-3.258781585272995,-2.982263901134984,-2.8249344626862647,-2.413814848145256,-3.1019468165030264,-2.995668252790453,-2.810817799122176,-2.2959666976041966,0.8218448939956149,0.8858858858858855,1.0843023142067962,0.2452452452452451,0.5,1.018049517746395,0.9304646459891746,0.9460874292244984,0.1497952532904927,-0.3919067424699857,0.9855892129,9.0,1.5863126891,0.7035602677,1.3869296552,-0.5976536023,1.019502447,-0.4324992274,0.6515922838,1.9235738685,-36.616685301,6.6133298648,17.064389283
1,1,7,1,1.246238714395473,1.058388306296858,2,0.1968719272027417,96.53061087360064,0.0013523988587987,2.110987853753084,1560.9210552189338,0.3198738672340664,0.9999999999999676,1.0000004063219752,0.999999999999994,0.325,0.075,4.333333333333334,0.3125,0.1375,2.2727272727272725,0.1745175253625347,0.2038425320625645,0.246607486526413,0.3445238951592715,0.1785767489684098,0.2029983604837067,0.2621250022807402,0.3432358538113912,-3.004035458318026,-2.8973180383255643,-2.7416909432268137,-2.3853607090647304,-2.921314556514049,-2.8344613914452843,-2.6241830493816227,-2.335719932504708,0.8093407013908787,0.7257257257257255,1.0115911122238297,0.1651651651651651,0.5256410256410257,1.00939771289566,0.959937807344735,0.9778993849398122,0.1323013097300191,-0.470591424822521,0.5828834153,9.0,1.4719069962,0.6549770707,0.2866391721,0.0119234744,0.1442219754,0.0134893072,0.1346657144,0.082162015,-10.1909456335,6.1675282615,16.433169778
1,1,8,1,2.555916276437455,8.677005960406497,3,0.5688093583365748,98.24324472888792,1.265035776985933,4.980858647983723,3.937326310130997,0.8523585851179603,0.9999999999999888,1.0000003157773143,0.9999999999999978,0.2875,0.05,5.749999999999999,0.2125,0.0625,3.4,0.164663726832703,0.1966871815292082,0.2423862276311708,0.313051697025185,0.1733589745560563,0.2068580104741769,0.2494258740675232,0.326959069714576,-3.4558448945144944,-3.3233616108687123,-3.134301444048899,-2.8419534286827988,-3.2483399107906847,-3.116703260786044,-2.949430059999644,-2.644758302756278,0.8067506997359497,0.9859859859859856,0.5305480525369575,0.045045045045045,0.5384615384615384,0.9735050840400038,0.9474193830759572,0.9751820114674176,0.1097931004307064,-0.3355919419741116,0.6243260535,9.0,1.4914306349,0.6576998403,1.1848078808,0.3532536793,0.814653448,0.2371398193,0.5566336188,1.4037697145,-13.8220352101,6.4264333711,17.7572502242
1,1,9,1,2.220012069592737,5.472930959960889,3,0.6385811695235188,100.98587550244092,0.783107103772162,5.220017576768759,6.665777326785018,0.85335928712579,0.9999999999999836,1.0000001920050932,0.9999999999999968,0.2875,0.125,2.3,0.2125,0.1125,1.8888888888888888,0.1444058363447275,0.2347196277864872,0.2378045671990794,0.3616522229173605,0.154336804281325,0.243054638383764,0.2511915354768395,0.3917404346741284,-3.595523761090058,-3.2159917389270203,-3.20302768022878,-2.6825739326389413,-3.325117697505116,-2.976282319837245,-2.944288329009762,-2.3916550413702256,0.8295953643004752,0.8858858858858855,1.2738113231864785,0.3053053053053052,0.5,0.9891921003625148,0.9257758532001864,0.9738661104514637,0.1565069077718427,-0.3698978447336891,0.7719836492,9.0,1.5575125302,0.6847707828,1.0772460684,-0.2685338535,0.6336184411,-0.1705008582,0.5061000919,1.1604590919,-21.655469231,5.7217527843,14.6289501732
