fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,t,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,ps_ratio,ps_squared,loglikelihood,mhl_norm,mhl_sum
1,1,0,1,1.349784519907343,2.3884846456451374,2,0.4710831667163265,110.0537133496067,0.3384784921306703,5.013401355132069,14.811580267843532,0.7652525021888379,0.9999999999999885,1.0000001217001695,0.25,0.15,1.6666666666666667,0.325,0.3,1.0833333333333337,0.0,0.2499748196163323,0.4696743880893576,0.6282830288102578,0.0,0.256960103099577,0.4934145214965663,0.6265516273703311,-5.892560913522548,-4.419569062086499,-3.124975972184579,-2.1903648953256623,-5.732375702173641,-4.259383850737592,-2.9039382880470908,-2.1407463772786017,0.8332155017842732,1.1061061061061055,2.72615650877771,0.5455455455455454,0.6052631578947368,1.066517722009283,0.9219242173455005,0.9111506951328664,0.1633869887204814,-0.4585087664199808,1.878280686,4.0,1.9510308851,0.8620767617,2.5975615391,0.1476333219,2.3040991689,0.0794674412,1.2203582563,6.7473259494,-65.5813043284,4.79589921,12.2399017879
1,1,1,1,0.7268175227627632,-0.6484649420808011,1,0.6488332746678452,106.48207614516087,0.4723206199169757,5.786278303223171,12.250742523670214,0.7287279166177252,0.9999999999999736,1.0000004842429044,0.2,0.275,0.7272727272727273,0.175,0.175,1.0,0.0,0.6209721414391915,0.5311503247119833,0.6155624135720098,0.0,0.6553187445115419,0.5591678490453325,0.6680305678752029,-4.538695715268494,-1.7202921176173342,-2.127966012334746,-1.7448452263088805,-4.30081333893772,-1.482409741286561,-1.8959367950584407,-1.4277385618019078,0.7911572000209185,0.8658658658658656,1.3968351179887395,0.1451451451451451,0.5,0.9908725797830028,0.9338402958036056,0.9297076795064736,0.152081245520852,-0.3281551466060425,1.4061118722,4.0,1.9100189204,0.8486797016,1.0346241376,-0.1078297811,0.83223879,-0.0523588896,0.4860759176,1.0704471062,-55.5662843636,5.2953951453,13.7511293707
1,1,2,1,1.2231216152716815,0.9293058007048458,2,0.5935551705894624,106.1024152331361,1.0311125397021164,4.482628782458482,4.347371028727372,0.8355907375941029,0.9999999999999888,1.00000031047682,0.2,0.25,0.8,0.375,0.175,2.142857142857143,0.0,0.4382855189787921,0.4361971410534821,0.5565380325305622,0.0,0.4497594209313776,0.436403006223879,0.5660739393957237,-5.523048899147997,-3.102376546039671,-3.113910759441059,-2.4492621312460834,-5.382149301276476,-2.961476948168149,-3.033363166253672,-2.33545484388696,0.8543585239259934,0.9459459459459456,1.6418389895747365,0.4254254254254251,0.5526315789473685,1.0581256046064722,0.9446606496382582,0.9220129140567974,0.1374248740960485,-0.4387758855012516,1.4139994275,4.0,1.8899775601,0.838846142,1.0244680344,0.0284209817,0.8868229229,0.0704322667,0.481304487,1.0495347534,-60.3881458657,6.4993222297,17.3358393068
1,1,3,1,0.8831978234942128,0.0158026453408681,1,0.3810553472210451,103.17576669903686,1.365930635716165,3.903961670089764,2.8580965738738966,0.6515559322689097,0.9999999999999746,1.0000003841984382,0.325,0.125,2.6,0.375,0.25,1.5,0.0,0.4154109135154356,0.3446170617966726,0.4566595746932811,0.0,0.4267738669928692,0.383069273474086,0.4451093527753164,-5.166974756028504,-3.020557052515508,-3.3863470972283816,-2.8074262614896077,-5.029402851297029,-2.882985147784033,-3.1027931550421792,-2.790768603309877,0.8311978000160201,0.8458458458458454,1.3038585066127686,0.2652652652652651,0.4736842105263157,1.01884642053357,0.9442250417506872,0.968588857274771,0.1062793734895002,-0.5223178991112492,1.4411808663,4.0,1.8810941373,0.835923767,1.0734101711,0.0782454455,0.9058879031,0.1117998821,0.5042979521,1.1522093954,-51.7199347391,4.2134102473,11.3396539063
1,1,4,1,2.39093720121092,5.643056182695146,2,0.5363357602243496,104.3551801973568,1.6011639125034935,3.725344819671072,2.326648003105643,0.9190989772848304,0.9999999999999708,1.0000004429089402,0.35,0.175,2.0,0.35,0.2,1.7499999999999998,0.0,0.3872883468262507,0.4237598655105388,0.5016158581954719,0.0,0.4180218535239163,0.4554421107758997,0.542090949924667,-4.576119569902552,-2.803841786795739,-2.636943756400502,-2.2806654246407896,-4.239677347407904,-2.46739956430109,-2.3087497472956806,-1.9413866267774609,0.8602731787068912,0.8258258258258254,0.7852541576952018,0.0050050050050049,0.6052631578947368,1.0224756766836105,0.9460039500885032,0.9757845613943664,0.1215206217080225,-0.465893559259257,1.3015466162,4.0,1.8564171817,0.8289404931,1.2656561748,-0.2868519156,1.1114155786,-0.2574123962,0.5946168895,1.6018855528,-50.6521189051,5.0858458078,13.698446898
1,1,5,1,1.8545124037799168,3.1036899710790413,3,0.7223269178184293,107.44487595200395,2.138835324862345,3.490024317537954,1.6317405444772013,0.8264036835909656,0.9999999999999822,1.00000031119997,0.35,0.2,1.7499999999999998,0.225,0.25,0.9,0.0,0.4774999031999225,0.4801153307681274,0.4974583663420709,0.0,0.4967693110414989,0.5043137273817616,0.5236775876506118,-5.063036838104669,-2.645437238012048,-2.632195231886832,-2.544386803891396,-4.86664442902887,-2.449044828936249,-2.412328837183636,-2.3180918144817424,0.8036558644406382,0.7457457457457454,1.8853440944102444,0.4054054054054052,0.4736842105263157,1.0042480065827954,0.9133821577647958,0.8944864511613595,0.1860124779066958,-0.3880717735483754,1.3952682205,4.0,1.8823123945,0.8375517133,1.7783859835,-0.0936365607,1.5151961648,-0.0773733175,0.8355020604,3.1626567062,-55.3989747673,5.4907751684,14.8168197862
1,1,6,1,0.5987592998107442,-0.5948540066868979,1,0.466192169069115,107.283972348102,0.217136478545092,4.899338124776982,22.563404166838563,0.5563583979036684,0.9999999999999566,1.0000004377340457,0.25,0.175,1.4285714285714286,0.375,0.125,3.0,0.0,0.3763694518075188,0.5658319493100954,0.4951309579494114,0.0,0.3791356516878558,0.5801694412846521,0.5052993359724806,-5.435971369830514,-3.390037805326036,-2.3601250932454447,-2.744453658100757,-5.396310147558755,-3.350376583054277,-2.2655359042508936,-2.6695582132957574,0.8769514929199369,0.9459459459459456,1.679674872092653,0.4454454454454452,0.5789473684210527,1.0463600088328575,0.9093249903660632,0.8794155807411703,0.199520485646233,-0.5530976861098698,1.5432710386,4.0,1.9471069949,0.8662206131,1.3112265436,-0.161876154,1.1532374157,-0.168927305,0.6160262671,1.7193150488,-59.5798070741,4.999165987,12.6687489137
1,1,7,1,0.6561434333529934,0.3238038470622455,2,0.0585069418220383,98.39002193974086,0.0404697452315726,1.3070294011651504,32.29645735811217,0.0986050240828984,0.9999999999999376,1.0000004025729494,0.375,0.25,1.5,0.55,0.35,1.5714285714285716,0.0,0.406161772458143,0.4386237835998072,0.5980820040726171,0.0,0.4084940111599992,0.4305291920259121,0.6262253006853185,-4.951909776146775,-2.9406333244141947,-2.779884374088402,-1.990261653242127,-4.923637548617089,-2.9123610968845086,-2.803867852982531,-1.8403311442688284,0.8440798464895711,0.8658658658658656,1.2738113231864785,0.4254254254254251,0.5526315789473685,1.0355757697386434,0.927555052132224,0.9244816173331272,0.1654635908095653,-0.6617886901030711,1.4100527101,4.0,1.8944404812,0.8438796005,0.8737244354,-0.1012350541,0.6451389607,-0.0415752354,0.4104837604,0.7633943889,-56.1667117499,5.4399230471,14.5580933204
1,1,8,1,2.046105126107513,5.385321280413564,2,0.5080074325759995,103.19363786281656,0.6804546919552166,4.561892777636712,6.704182999353832,0.865198748894386,0.999999999999984,1.00000038246869,0.3,0.175,1.7142857142857144,0.35,0.3,1.1666666666666667,0.0,0.5380478912683345,0.4966824263529617,0.5795998787005197,0.0,0.5559868037202996,0.5564724194145219,0.5987523209738863,-5.702760134171053,-2.6344020695711934,-2.870299393822033,-2.397441052147352,-5.518760596597648,-2.450402531997788,-2.4477225352394245,-2.214389880485577,0.8252961765237541,0.9859859859859856,1.8853440944102444,0.3453453453453451,0.5263157894736842,1.0323011034979093,0.9192332374719594,0.8913344702847522,0.1610995287542767,-0.3936976548266588,1.6082314735,4.0,1.9243894005,0.8495298632,1.1572330682,-0.2804805205,0.8783196838,-0.1884637604,0.5436787187,1.3391883742,-60.4738564141,5.3298816999,14.4569098129
1,1,9,1,1.558970429628628,2.0928537472959405,1,0.5704115102520979,102.90324752792073,1.0965749630543729,4.872763813939982,4.443621255374558,0.8017013899985634,0.9999999999999788,1.0000002449286836,0.2,0.175,1.142857142857143,0.5,0.25,2.0,0.0,0.3980682699573357,0.3624821479540056,0.5864834368156334,0.0,0.4176138777331988,0.3817121939269706,0.6291238558119402,-5.188830657041598,-3.123321814291464,-3.307972175107565,-2.1456674202455206,-4.945977499506678,-2.8804686567565434,-3.0580375770565515,-1.8343450642579384,0.8536048336568807,0.8858858858858855,1.5317404637020795,0.4254254254254251,0.5526315789473685,1.0000280229276677,0.9039225145349674,0.9075339315211934,0.1619487424994636,-0.4249339429200778,1.4767661176,4.0,1.9153888131,0.8487704658,1.9013146529,0.193297321,1.743340016,0.2251869292,0.8932550778,3.6149974095,-59.0241450287,5.5557971012,14.9115806337
