fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,t,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,ps_ratio,ps_squared,loglikelihood,mhl_norm,mhl_sum
1,1,0,1,1.1807392286500096,1.7028353710437596,1,0.4669439941682588,109.53562766835852,0.2024150204750732,5.817164274503219,28.738797451148564,0.8658825123354206,0.9999999999999868,1.000000082237915,0.375,0.225,1.6666666666666663,0.0,0.2565345413881015,0.4546140134052449,0.5869491057189978,0.0,0.2693902739205845,0.4424391393340011,0.6196442491176118,-5.741885063374818,-4.268893211938769,-3.1315436502023632,-2.3716907602856976,-5.467873171509833,-3.994881320073784,-3.0486720715195474,-2.079737005879288,0.8688010009795197,1.0260260260260257,2.543345761304648,0.5255255255255253,0.5666666666666667,1.0666188029345836,0.9101770869582454,0.9120812436435924,0.18047016771188,-0.505415570808196,1.7707846298,3.0,1.9726527697,0.8736645008,1.8876030884,-0.2279704011,1.7517160439,-0.2275617588,0.8868132589,3.5630454194,-68.657210333,6.0349216899,15.3367297336
1,1,1,1,0.5004030498067811,-0.959621783709094,1,0.5782121057250292,107.37231942096544,0.2336137196360689,5.508436568858027,23.579251156307297,0.7065462504478097,0.9999999999999656,1.0000005009456892,0.15,0.1833333333333333,0.8181818181818183,0.0,0.4195006413589472,0.6637106976743374,0.6299468690833372,0.0,0.4417689692030597,0.7262320835616662,0.6623794902066071,-4.762506193680209,-2.764631790955403,-1.601579885194364,-1.7623803279813597,-4.522441687855356,-2.5245672851305496,-1.238099438098022,-1.526869068164617,0.7369865469087711,0.7857857857857854,2.214855233726359,0.4854854854854853,0.4666666666666667,1.009756481802769,0.9324820056423282,0.9195710480721536,0.1552612187823621,-0.4002789094162291,1.613290135,3.0,1.9960390959,0.8874567294,1.7621830174,-0.3070115726,1.6583609856,-0.2684345576,0.8278897582,3.1052889868,-60.46805167,4.7091059121,12.4122706763
1,1,2,1,1.0690687335225522,0.4514363030343835,2,0.5869844181014383,106.44157205238749,1.2545425529719334,4.408704101958818,3.514192556892448,0.9191957713481732,0.999999999999988,1.0000004106428009,0.2583333333333333,0.4416666666666666,0.5849056603773587,0.0,0.3550443874762605,0.5139312601102274,0.585372360289071,0.0,0.3649806192438838,0.5737625987913288,0.5915281407119384,-5.802034813691867,-3.7420549171486983,-2.820187750687797,-2.405684000321698,-5.644080227631671,-3.5841003310885027,-2.4057180884389684,-2.3054479445516947,0.7965722767523901,0.9459459459459456,1.1890234632329348,0.4654654654654652,0.4666666666666667,1.0570373645849378,0.9444601176544056,0.9071464179084876,0.125526180068644,-0.4946728787925281,1.6244114472,3.0,1.9773491068,0.8773099198,0.902308855,-0.126063099,0.6964565546,-0.0498973233,0.4239129832,0.8141612699,-70.6151565556,6.982814546,18.1813496902
1,1,3,1,0.6233671451985674,-0.4495605619457858,1,0.3324092630861268,104.059377785079,1.4523425544274948,3.970250351767167,2.7336872693455,0.5628589806058264,0.99999999999998,1.0000003628895353,0.4333333333333333,0.2833333333333333,1.5294117647058822,0.0,0.3945991871429361,0.3610014175739813,0.4860127147894543,0.0,0.4040468396798984,0.4099869397606787,0.4899094874176848,-5.439488406081019,-3.293070702568024,-3.4758253806085357,-2.795827878775821,-5.31229920078937,-3.165881497276375,-3.134325908364637,-2.709753422321273,0.8272941909507957,0.8458458458458454,1.5678717853794495,0.225225225225225,0.5333333333333333,1.0226000194985267,0.9584336838140866,0.9765471394917524,0.1028847296062521,-0.5746952775551197,1.6454875093,3.0,1.9749334245,0.8763834515,1.3035177946,-0.0139000294,1.1649820777,0.0574458273,0.612404626,1.6991586407,-63.1646002132,5.1375800696,13.0756882252
1,1,4,1,2.092624932875665,3.953868369985053,2,0.6461335453567365,106.09239150194688,2.5277024854781587,4.458744790585803,1.7639515790333824,0.9169951030453184,0.999999999999971,1.0000004932412592,0.4083333333333333,0.3,1.3611111111111112,0.0,0.4524165910100542,0.4478576759727881,0.5649630770305618,0.0,0.4828588413416277,0.4983351344100831,0.5418220831842392,-4.873414349509629,-2.668600842925001,-2.690818324885809,-2.120115182965775,-4.566165756556373,-2.3613522499717456,-2.290684930524134,-2.092116314174461,0.8410507197169653,0.7057057057057055,1.429784237094935,0.3253253253253251,0.4666666666666667,1.0280787476180169,0.9514021910591064,0.9716658042519104,0.1194650804214452,-0.431715993096584,1.4505918356,3.0,1.9503069373,0.8709340626,0.9991886542,-0.0797305603,0.8503314441,-0.0670400741,0.4694280022,0.9983779667,-58.3894225654,5.3457988616,14.1622743066
1,1,5,1,1.6011940505298048,2.01889152868574,3,0.7122051440180577,107.82978635233457,2.146857928434728,3.5335947363689435,1.6459378562349885,0.8038745404475454,0.9999999999999816,1.000000333973924,0.325,0.3333333333333333,0.975,0.0,0.4567499422281646,0.4319032945505088,0.5441197975507639,0.0,0.4740358659996278,0.5015348781056722,0.5503033050166078,-5.293048507677609,-2.875448907584988,-3.0069634189959955,-2.4129960252536957,-5.100035194582764,-2.6824355944901432,-2.5421896649330598,-2.2934689713028504,0.8566653470363275,0.8258258258258254,2.164964029297577,0.4454454454454452,0.4333333333333333,1.0444530238682483,0.9059038893533936,0.8630479479612666,0.2032657083194053,-0.5056979049283963,1.4580225502,3.0,1.9526334871,0.8696673852,1.3332807638,-0.1724835126,1.2325877594,-0.158221244,0.6263875422,1.7776375952,-58.9722341943,5.409447441,14.2179863928
1,1,6,1,0.5051882593293943,-0.7255085698930617,1,0.3214520816872059,107.9120590628017,0.098988406910294,4.507663964224776,45.537291738715865,0.5217943573599786,0.9999999999999416,1.0000005502615923,0.375,0.1583333333333333,2.368421052631579,0.0,0.3017736373844959,0.3985003550799357,0.5931293035359387,0.0,0.3045648170481444,0.4018153033354497,0.5665376225553881,-5.6736644509954655,-3.961502092319455,-3.412707152669364,-2.308447806679911,-5.6216682388673895,-3.9095058801913782,-3.362795910215626,-2.4367816800243234,0.8575785186723981,0.9459459459459456,1.8853440944102444,0.4454454454454452,0.5333333333333333,1.0553917211855248,0.9045735628523686,0.87634109803799,0.2016009996392156,-0.617495686378562,1.7101767387,3.0,2.0474238512,0.9104742434,1.5592996641,-0.083869569,1.3939663665,-0.1269026094,0.7325732963,2.4314154424,-72.0176449799,6.1051346681,16.6798780708
1,1,7,1,0.465812417800869,0.2001577728180015,2,0.0207830964866851,99.48824655216848,0.0064634004272418,1.3953482486321016,215.88454318117255,0.0291820112694066,0.9999999999999244,1.0000003925987138,0.4166666666666666,0.3083333333333333,1.351351351351351,0.0,0.384954570939463,0.4481661323733537,0.605340531817131,0.0,0.3862963423215953,0.4461823547259515,0.5686538432395155,-5.224711182995327,-3.2134347312627463,-2.8831725793445013,-2.061981736890024,-5.206563540428695,-3.1952870886961144,-2.8834867599299328,-2.245831173093179,0.7610477446248136,0.7657657657657654,1.1890234632329348,0.3253253253253251,0.3666666666666666,1.0283370099503268,0.9323386186932544,0.919170259119246,0.1276092878193977,-0.6245925673769015,1.6508515693,3.0,1.9971669898,0.8888852447,1.2705025511,-0.2767140303,0.9898911761,-0.2187796034,0.5968937615,1.6141767323,-66.1512009405,5.6928590845,15.2033983317
1,1,8,1,1.795294333966009,4.063329927004971,2,0.4781057553420373,103.43191611410654,1.1376175841261782,4.744660852660976,4.170699291981694,0.8534531081842561,0.99999999999999,1.00000061786542,0.275,0.3166666666666666,0.8684210526315791,0.0,0.5215953548347007,0.5154284554626647,0.6026106592273855,0.0,0.5363200994766198,0.5356676697653514,0.635339750172417,-5.882640702527453,-2.8142826379275934,-2.8505602911819232,-2.3376987107795344,-5.72113196502273,-2.65277390042287,-2.656506536898938,-2.08626941166176,0.8567734616462772,0.9859859859859856,1.1890234632329348,0.2452452452452451,0.6,1.0234366410338542,0.9287018376600452,0.9262375215375764,0.1437269043246067,-0.508984809030494,1.8169817233,3.0,2.0230051959,0.892867716,1.5730101327,-0.4474193445,1.2764091184,-0.3479140549,0.7390146003,2.4743608774,-66.4341441038,4.9334554549,13.1628813812
1,1,9,1,1.3621694738521597,1.3444059122766596,1,0.5673185538149059,103.2269419605266,0.0483492708688993,5.360596877136879,110.87234162584002,0.8782432206399076,0.9999999999999744,1.000000272744971,0.3833333333333333,0.35,1.0952380952380951,0.0,0.3834067466466925,0.5582916184341233,0.5801809517822758,0.0,0.3997337653652486,0.5813547196462608,0.6107937998563259,-5.387252208823261,-3.3217433660731266,-2.379594454246517,-2.261671094817014,-5.167211333430434,-3.1017024906803,-2.1632286373310023,-2.011110688423787,0.8707610950931048,0.8858858858858855,1.679674872092653,0.4454454454454452,0.5666666666666667,1.0197445303639376,0.9240937805432136,0.921758934691935,0.1461634465623612,-0.4468996901059355,1.5195332543,3.0,1.9478087908,0.8668009085,1.5592483595,0.216454097,1.4769439786,0.2639229598,0.732549193,2.4312554467,-59.1842373307,5.1098072178,14.1288578234
