fid,best_budget,total_precision
1,8,0.0
1,16,0.0
1,24,0.0
1,32,0.0
1,40,0.0
1,48,0.0
1,56,0.0
1,64,0.0
1,72,0.0
1,80,0.0
1,88,0.0
1,96,0.0
1,150,0.0
1,200,0.0
1,250,0.0
1,300,0.0
1,350,0.0
1,400,0.0
1,800,0.0
1,850,0.0
1,900,0.0
1,950,0.0
1,1000,0.0
2,40,3.1000000000000005e-09
2,48,3.1000000000000005e-09
3,80,609.0528032714001
4,450,847.1654919173999
5,16,0.0
5,24,0.0
5,32,0.0
5,40,0.0
5,48,0.0
5,56,0.0
5,64,0.0
5,72,0.0
5,80,0.0
5,88,0.0
5,96,0.0
5,100,0.0
5,150,0.0
5,200,0.0
5,250,0.0
5,300,0.0
5,350,0.0
5,400,0.0
5,450,0.0
5,600,0.0
5,650,0.0
5,700,0.0
5,750,0.0
5,800,0.0
5,850,0.0
5,900,0.0
5,950,0.0
5,1000,0.0
6,96,0.0036232037000000004
7,56,89.65375031569998
8,300,57.1448520315
9,32,31.4467154728
10,150,0.0013528679
11,48,0.0041338105000000005
12,72,0.0009477858
13,300,0.0706636772
14,350,0.0001558849
15,40,645.4093763349
16,56,52.3704640139
17,24,9.005698721399998
18,40,33.5953073674
19,100,47.402570191200006
20,300,110.17547794149999
21,300,124.1396939686
22,300,125.53135085609999
23,150,51.820356320900004
24,40,1134.4591286174004
