fid,iid,rep,alg_B8,alg_B16,alg_B24,alg_B32,alg_B40,alg_B48,alg_B56,alg_B64,alg_B72,alg_B80,alg_B88,alg_B96,alg_B100,alg_B150,alg_B200,alg_B250,alg_B300,alg_B350,alg_B400,alg_B450,alg_B500,alg_B550,alg_B600,alg_B650,alg_B700,alg_B750,alg_B800,alg_B850,alg_B900,alg_B950,alg_B1000
1,1,0,Non-elitist,Same,BFGS,Same,Non-elitist,BFGS,MLSL,MLSL,MLSL,Same,MLSL,MLSL,MLSL,Same,BFGS,Non-elitist,BFGS,MLSL,Same,Non-elitist,Same,BFGS,Same,MLSL,MLSL,MLSL,BFGS,MLSL,Same,MLSL,Same
1,1,1,Non-elitist,MLSL,Non-elitist,MLSL,MLSL,MLSL,BFGS,MLSL,MLSL,MLSL,MLSL,MLSL,Same,MLSL,BFGS,MLSL,Non-elitist,BFGS,BFGS,MLSL,MLSL,MLSL,MLSL,PSO,MLSL,MLSL,MLSL,BFGS,Non-elitist,Same,Same
1,1,2,Non-elitist,BFGS,Same,MLSL,BFGS,BFGS,Non-elitist,MLSL,MLSL,Non-elitist,MLSL,MLSL,Non-elitist,MLSL,Same,Same,MLSL,Non-elitist,Same,Non-elitist,Same,Non-elitist,MLSL,Same,MLSL,Non-elitist,Non-elitist,DE,BFGS,BFGS,Same
1,1,3,Same,BFGS,Same,Same,BFGS,MLSL,MLSL,MLSL,Non-elitist,Non-elitist,Same,Non-elitist,Non-elitist,Same,Same,Non-elitist,Non-elitist,Same,Same,MLSL,Non-elitist,Non-elitist,DE,MLSL,MLSL,Same,Non-elitist,Same,BFGS,BFGS,Same
1,1,4,Non-elitist,Same,Same,Same,BFGS,MLSL,Same,MLSL,MLSL,MLSL,MLSL,BFGS,DE,MLSL,Same,MLSL,Same,Same,BFGS,PSO,PSO,DE,Non-elitist,MLSL,Same,DE,Non-elitist,BFGS,BFGS,Same,Same
1,1,5,Non-elitist,Same,BFGS,MLSL,BFGS,MLSL,MLSL,MLSL,Non-elitist,MLSL,MLSL,MLSL,MLSL,MLSL,Same,Same,BFGS,MLSL,Same,MLSL,MLSL,BFGS,MLSL,Same,MLSL,PSO,BFGS,Same,Non-elitist,Non-elitist,Same
1,1,6,Non-elitist,Same,MLSL,Same,Same,MLSL,Non-elitist,MLSL,MLSL,MLSL,Same,Non-elitist,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,Non-elitist,MLSL,Same,Same,Same,Non-elitist,MLSL,Same,BFGS,DE,BFGS,Same,Same
1,1,7,Non-elitist,Same,MLSL,Same,MLSL,BFGS,MLSL,MLSL,MLSL,Same,MLSL,Non-elitist,MLSL,Same,Same,MLSL,MLSL,Same,Same,MLSL,PSO,Non-elitist,Non-elitist,MLSL,PSO,DE,BFGS,DE,BFGS,Same,Same
1,1,8,Same,BFGS,MLSL,MLSL,BFGS,MLSL,MLSL,MLSL,MLSL,Same,MLSL,MLSL,MLSL,BFGS,Same,BFGS,BFGS,MLSL,Same,MLSL,PSO,BFGS,BFGS,PSO,DE,Same,Non-elitist,DE,BFGS,Non-elitist,Same
1,1,9,Non-elitist,BFGS,Non-elitist,Same,Non-elitist,MLSL,MLSL,MLSL,Non-elitist,BFGS,MLSL,MLSL,Same,MLSL,Non-elitist,Non-elitist,BFGS,MLSL,BFGS,MLSL,MLSL,MLSL,DE,MLSL,MLSL,Non-elitist,BFGS,BFGS,DE,DE,Same
1,1,10,Non-elitist,MLSL,Same,Same,Non-elitist,MLSL,Same,MLSL,MLSL,Same,MLSL,Non-elitist,Non-elitist,Same,MLSL,Same,BFGS,Non-elitist,BFGS,Same,MLSL,Non-elitist,MLSL,MLSL,MLSL,MLSL,Same,Non-elitist,BFGS,Same,Same
1,1,11,Non-elitist,Same,Non-elitist,MLSL,MLSL,MLSL,BFGS,MLSL,MLSL,MLSL,MLSL,MLSL,Non-elitist,MLSL,Same,Same,BFGS,MLSL,Same,MLSL,Non-elitist,MLSL,Same,DE,Non-elitist,Same,Non-elitist,MLSL,BFGS,Same,Same
1,1,12,Non-elitist,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,Same,MLSL,BFGS,Non-elitist,BFGS,MLSL,BFGS,MLSL,MLSL,MLSL,PSO,PSO,DE,MLSL,DE,DE,PSO,BFGS,Same
1,1,13,Non-elitist,Same,MLSL,MLSL,Non-elitist,MLSL,MLSL,MLSL,MLSL,Same,MLSL,Non-elitist,Non-elitist,Same,Same,Same,BFGS,Same,Same,MLSL,MLSL,Same,Same,MLSL,DE,Non-elitist,BFGS,DE,BFGS,Same,Same
1,1,14,Non-elitist,Same,Same,Same,Non-elitist,MLSL,Same,MLSL,Non-elitist,MLSL,MLSL,BFGS,Non-elitist,BFGS,MLSL,MLSL,BFGS,Same,Same,MLSL,Same,Non-elitist,BFGS,MLSL,MLSL,Non-elitist,MLSL,DE,BFGS,Non-elitist,Same
