fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,loglikelihood,mhl_norm,mhl_sum,std_y_last_1,mean_std_x_last_1
1,6,0,0.0,0.2148145038028261,0.3935310946224692,0.0,0.7868779384798849,0.4222487197788542,5.390453583520182e-09,2.9077947458475995e-09,0.0001558271264791,0.0,6.227842591836812e-05,0.0,0.0,0.0,0.2899849435056272,0.0,0.0,0.0,0.2735421645382711,0.3530033278012343,0.3530033278012343,0.3530033278012343,0.2639315263010831,0.6216962783906861,0.6216962783906861,0.6216962783906861,0.2523162709054152,0.5565735963827291,0.0758293838862558,2.3811521151454603e-09,0.264033264033264,0.8,0.9230335009624286,0.7855091845272959,0.9479357764934768,0.3688921631221073,0.570673712285623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9881082897585972e-09,0.637275428019846
1,6,1,0.0,0.5500059353533111,0.2118785328936691,0.0,0.7059787275311631,0.4222487215040832,1.1104281398794422e-09,4.7225086043375565e-09,0.0019412800733643,0.0,1.2293097316058362e-05,0.0,0.0,0.0,0.3684161903912915,0.0,0.0,0.0,0.3537138806028023,0.7097866584251369,0.7097866584251369,0.7097866584251369,0.3522715349233893,0.8935281485293443,0.8935281485293443,0.8935281485293443,0.344744209582057,0.4999999999999999,0.0758293838862558,7.664538390109909e-09,0.2598752598752599,0.4,0.8156551713344882,0.4041587984098305,0.5856626776834233,0.7997695420274468,0.2216020654308435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0923462575189204e-09,0.269875254211942
1,6,2,0.0,0.6811604348316911,0.2088960731507027,0.0,0.93840533468886,0.4222487183862246,9.178493441335824e-10,4.4678769440665875e-09,0.0022500811197809,0.0,0.0003653870319357,0.0,0.0,0.0,0.2167076526648316,0.0,0.0,0.0,0.2077825277963114,0.5390848715935501,0.5390848715935501,0.5390848715935501,0.1980537306060992,0.7798991717851345,0.7798991717851345,0.7798991717851345,0.1939441120826616,0.7499999999999999,0.0995260663507109,4.060633832015734e-09,0.2619542619542618,0.6,0.636695550495459,0.8364016877393006,0.9837511594963338,0.1488832995080973,0.38960363073252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3593618309592077e-09,0.500596273194196
1,6,3,0.0,0.677029050465474,0.1934693048524858,1.0,0.8207016779543409,0.4222487213554307,2.9075861126111e-09,2.44152325435463e-09,0.0003222571587273,0.0,4.84781367298265e-05,0.0,0.0,0.0,0.3668695248820917,0.0,0.0,0.0,0.373987061139644,0.463536945169551,0.463536945169551,0.463536945169551,0.3457774090695927,0.8702695254918162,0.8702695254918162,0.8702695254918162,0.3640923993381163,0.6131471927654585,0.0829383886255924,2.150591617024669e-09,0.2016632016632016,0.6,0.8142252279970765,0.6642568031603409,0.6413098214810015,0.4880886044359718,0.7702606799148308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.712362778168676e-09,0.4728754574263423
1,6,4,0.0,0.6011938344640146,0.0769720436679718,1.0,0.9237632401433769,0.42224871823631,3.329973261100954e-09,5.170295670149514e-09,0.000627176179067,0.0,0.000343675084032,0.0,0.0,0.0,0.3819678198000248,0.0,0.0,0.0,0.34496195008592,0.1638282284680228,0.1638282284680228,0.1638282284680228,0.3559368990727412,0.383135315025469,0.383135315025469,0.383135315025469,0.3220501912832562,0.7499999999999999,0.1066350710900473,3.3998454241711383e-09,0.2453222453222452,0.8,0.7567933792185826,0.7705948958078337,0.8715406069160614,0.3155307173191772,0.4200815136808107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.189127799665058e-09,0.8555241319910412
1,6,5,0.0,0.6923173312630713,0.3764788101863549,0.0,0.9271162359337732,0.4222487175059418,1.943307533047393e-09,3.347586495219046e-09,0.0007475916179785,0.0,0.0001343918534261,0.0,0.0,0.0,0.3519275873155312,0.0,0.0,0.0,0.3206520325896482,0.8660412982766514,0.8660412982766514,0.8660412982766514,0.3402052788186664,0.8837074470761137,0.8837074470761137,0.8837074470761137,0.3121652735432075,0.5565735963827291,0.0995260663507109,5.945938121314738e-09,0.2557172557172557,0.8,0.8787893274706196,0.6181727560593164,0.7305977792207204,0.5950121200481505,0.5588338515764381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.604132360963655e-09,0.1117573258409665
1,6,6,0.0,0.4976556259584851,0.1313284883317445,0.0,0.9586159209993884,0.4222487203814362,2.749505481433609e-09,2.749645632012235e-09,0.0003971543293201,0.0,4.168003654870757e-05,0.0,0.0,0.0,0.2510435609289476,0.0,0.0,0.0,0.2014822935726901,0.0,0.0,0.0,0.2073666133880198,0.0,0.0,0.0,0.1270314012161409,0.5565735963827291,0.0876777251184833,7.285107352794087e-09,0.2245322245322245,0.4,0.8027718133621022,0.948403257307466,0.966199081481024,0.1078174300150653,0.3774077781799969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.070740375419044e-09,1.0
1,6,7,0.0,0.6681691675534472,0.3140170418748712,0.0,0.9964101133002796,0.4222487140924173,9.308621944992155e-10,4.120028185776923e-09,0.0020530111470876,0.0,0.0001703879333838,0.0,0.0,0.0,0.56907265787602,0.0,0.0,0.0,0.5078186594310551,0.4443733287506068,0.4443733287506068,0.4443733287506068,0.5506232179975039,0.5313590948200662,0.5313590948200662,0.5313590948200662,0.5053840852430335,0.5565735963827291,0.0947867298578199,6.924436679060307e-09,0.2598752598752599,0.2,0.1041349860170814,0.5882961778874423,0.8605978894589927,0.3700785107421729,0.4888485187574833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.956617965317327e-09,0.4495263890003551
1,6,8,0.0,0.6623645288248716,0.1566623112804311,0.0,0.9938348550999888,0.4222487114159906,3.786566922092399e-09,8.535825941592848e-09,0.0009287876830718,0.0,0.000754398055243,0.0,0.0,0.0,0.3445374289019888,0.0,0.0,0.0,0.3469484453343965,0.3444501988767383,0.3444501988767383,0.3444501988767383,0.3201904153463947,0.7666379991456789,0.7666379991456789,0.7666379991456789,0.3347165618173452,0.5565735963827291,0.1042654028436019,1.5202346558763284e-08,0.2848232848232848,0.2,0.7278866027442352,0.826624262721209,0.927213102362862,0.2895907669536871,0.5046068598682047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.896240276921891e-09,0.7845911264380261
1,6,9,0.0,0.702797264495763,0.3929523615569581,0.0,0.964224983369206,0.4222487191077021,3.3878257000813182e-09,5.4572206127620615e-09,0.0006517309083367,0.0,0.0001335576942754,0.0,0.0,0.0,0.1661884775332259,0.0,0.0,0.0,0.155138020848622,0.362925994213306,0.362925994213306,0.362925994213306,0.1364147349253224,0.6150084151252999,0.6150084151252999,0.6150084151252999,0.1251047205431119,0.4999999999999999,0.1042654028436019,2.569254266375918e-09,0.2162162162162162,0.4,0.7105329160208396,0.6067993401691281,0.7744146707982369,0.4103088130853971,0.3480031359681624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.012790298843204e-09,0.5258141313715949
