fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,t,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,ps_ratio,ps_squared,loglikelihood,mhl_norm,mhl_sum
1,1,0,1,1.6998054426698057,3.658597909972921,2,0.5794242617815175,107.29183562473828,0.0294206292494898,4.608125680587369,156.62906600365366,0.7929201823793817,0.999999999999988,1.0000002439265585,0.999999999999996,0.35,0.1517857142857142,2.3058823529411767,0.1517857142857142,0.0821428571428571,1.8478260869565213,0.1820307370215207,0.286845819865934,0.348564391266936,0.4205013373709732,0.1893688230900026,0.275127106906499,0.3590045177588083,0.4374860962550979,-4.332393552299298,-3.777237986373344,-3.450344112853967,-3.069328375980939,-4.127152025068323,-3.690532407169104,-3.263488844181357,-2.8639169860445923,0.8578725090610261,1.1061061061061055,1.0115911122238297,0.4054054054054052,0.5571428571428572,1.0115281256281266,0.9239515731475269,0.943261017635246,0.1577835209668995,-0.3955122516933702,1.1866283994,8.0,1.6155473679,0.7122468014,0.8462486556,-0.2077323108,0.5241558818,-0.1095567633,0.3975753869,0.7161367872,-38.2253205545,5.0964384509,13.2205977595
1,1,1,1,1.2735154476541022,0.6842631860277297,1,0.6320514100272552,104.60932804803495,0.4231274237237866,4.579449640435155,10.822861822883349,0.737523489134954,0.9999999999999768,1.0000001746082072,0.9999999999999892,0.3214285714285714,0.1107142857142857,2.903225806451613,0.2178571428571428,0.1232142857142856,1.7681159420289856,0.5505625078613072,0.450075090568797,0.4148891746695287,0.5166984144768851,0.569984036023165,0.4823427947926862,0.4555898591731462,0.5290155860879178,-2.0283085478440883,-2.481807623934245,-2.640601438937524,-2.1811369862321737,-1.8745336564129085,-2.256580999160364,-2.3732028979449797,-2.0531240918573594,0.7929324163716559,0.9059059059059056,1.333905690039059,0.2852852852852852,0.4428571428571428,0.9932275482346812,0.907369391493948,0.8988907651883424,0.1801187157754285,-0.3114524179769073,1.2466804816,8.0,1.674547387,0.736471412,1.6233351714,0.5629123568,1.2383722048,0.4603278975,0.7626577655,2.6352170786,-39.5240195374,4.1426546553,10.6059984665
1,1,2,1,1.861371868272493,3.291165495323183,2,0.6084055337213341,102.79780442455568,1.7766223015880789,3.998397474877701,2.250561344019846,0.845688521916413,0.9999999999999902,1.0000002832956905,0.999999999999997,0.2928571428571428,0.1,2.928571428571428,0.1964285714285714,0.125,1.5714285714285716,0.1559087652746603,0.3245385759328503,0.3519078913012159,0.4312560789632144,0.1652451681034567,0.3593892782781929,0.3823578086984819,0.4566865922429312,-3.85191243147748,-3.0823898523177373,-2.9574931565917835,-2.5953969069252256,-3.594079831979637,-2.7581823873474978,-2.659290199127133,-2.3392638013574536,0.7872292308930199,0.9459459459459456,0.8033501977124734,0.125125125125125,0.5,1.0138094608725243,0.9526041152789736,0.976713450349586,0.1166662354455609,-0.3699535200189038,0.9720481086,8.0,1.611614625,0.7135483958,1.337710752,-0.1450555343,1.0114520953,-0.1365273412,0.6284687913,1.7894700561,-33.8123562993,5.7628516319,15.3664856916
1,1,3,1,1.580004933820721,1.895625156288972,1,0.5100391440171397,101.57828626513148,1.433422619892588,3.771308916850864,2.630981864325165,0.7243431348238034,0.9999999999999808,1.000000415277987,0.999999999999997,0.2642857142857142,0.1696428571428571,1.557894736842105,0.2624999999999999,0.1125,2.333333333333333,0.1721611834817393,0.2379475359697596,0.2951673325830669,0.3982195260210576,0.1825743835207756,0.2247940222292616,0.2984335925176707,0.427524809057917,-3.4344884775110565,-3.1615579684684154,-2.924167877266289,-2.49663106226939,-3.1978634671623354,-3.032695361953962,-2.7446088537562807,-2.2395890978503465,0.7529759897653767,0.8658658658658656,1.1092898648952227,0.2852852852852852,0.4142857142857143,1.000574972727431,0.964204868034351,0.9871254611908066,0.1052208386943031,-0.4051726077882051,0.7085455099,8.0,1.5190307025,0.6719682349,0.6857580267,-0.1709709272,0.464654368,-0.1225989504,0.3221754161,0.4702640712,-24.8415959843,7.5052307936,19.6255417593
1,1,4,1,3.163424995791928,11.256534056542009,3,0.5867391705453034,102.78117692793562,1.712290225516077,3.606391767534785,2.1061801987731568,0.8812624994378633,0.9999999999999772,1.000000468890819,0.9999999999999966,0.307142857142857,0.1267857142857142,2.422535211267605,0.2339285714285714,0.0678571428571428,3.447368421052631,0.2946317958886472,0.2830470231155574,0.2779620052847369,0.3730927044805142,0.3227906302242695,0.322837493911295,0.3006346425241948,0.4062804510580459,-2.5813555131290395,-2.6237509838801447,-2.6423600432840697,-2.29422108067487,-2.262109343600097,-2.261952802965801,-2.336117868924585,-1.983224980458269,0.7792748348668239,0.7057057057057055,0.4023505548869293,0.0050050050050049,0.4571428571428571,1.013459759332186,0.9605720574165044,0.9934332891980852,0.1032152168159221,-0.3612771947630869,0.6308318092,8.0,1.5170736573,0.6766937371,0.489249565,0.0093260719,0.3744688958,0.0186816021,0.2298539369,0.2393651368,-20.8187268136,7.3137655785,20.0188030602
1,1,5,1,2.6414580407650137,7.506031061501313,3,0.6502555524091072,105.14096824523428,1.3613222829237586,3.7047158724774514,2.721409851986486,0.843138472406572,0.9999999999999836,1.000000240898412,0.9999999999999952,0.2499999999999999,0.1374999999999999,1.818181818181818,0.3642857142857142,0.1392857142857142,2.615384615384616,0.1066326331888663,0.2003243206944377,0.3097010336961157,0.4304518506915322,0.1160637999265965,0.240357016918377,0.3387659169843425,0.4713979265229968,-3.661279696602416,-3.2773038699175725,-2.829046239886171,-2.3341742185456638,-3.328258819260393,-2.860261247045581,-2.489725127457916,-1.990329746403721,0.8312346395974883,0.7457457457457454,0.8222999513430427,0.2852852852852852,0.4857142857142857,0.9673423069648278,0.930544618491752,0.9698000618473976,0.1385489883065824,-0.3236576555392281,0.8449865674,8.0,1.5947968525,0.7069623542,1.0955053506,-0.1800997853,0.8485059639,-0.1249388012,0.5146784703,1.2001319731,-27.0696138548,5.7438568474,14.9774498376
1,1,6,1,1.1667422155699654,0.472247479274916,1,0.613346600158829,105.19597897891316,0.6516070317019169,5.22030703869533,8.011434476175824,0.662512484956626,0.9999999999999716,1.0000004229675563,0.9999999999999856,0.3017857142857142,0.1964285714285714,1.536363636363636,0.2303571428571428,0.1642857142857142,1.4021739130434778,0.2694248492297627,0.3500689900091236,0.3832833822127883,0.4879901008914549,0.2757560733304932,0.3208878087103334,0.4067148754550391,0.5013784241373684,-3.4096176414272947,-3.0332488520027407,-2.8782362191647586,-2.389566607549369,-3.3024648762376496,-3.0966696111244523,-2.705308547651928,-2.2736541932674497,0.7972019798450839,0.9459459459459456,1.679674872092653,0.2452452452452451,0.5428571428571428,1.025661297794091,0.9313036594069024,0.9406378676885412,0.1552355212759207,-0.4027984011066406,1.0818416946,8.0,1.6596201714,0.7371763703,1.2120814799,-0.2972154507,0.9261188112,-0.2301332566,0.569447006,1.469141514,-35.7680852565,4.7981545352,13.0552746871
1,1,7,1,1.1343151166661,0.7941163240307394,2,0.1960573764771822,97.0996709917128,0.139814608626839,2.082414972364873,14.894115806759334,0.3086239692184808,0.9999999999999644,1.0000004067480568,0.9999999999999926,0.3749999999999999,0.0857142857142857,4.374999999999999,0.3214285714285714,0.0857142857142857,3.75,0.2306885700485107,0.2347822409265398,0.2728830277566278,0.3821470128041652,0.2339003817966408,0.2451557429113713,0.2707947549200942,0.3855843897091828,-2.966092874848673,-2.950309659429576,-2.803411448974055,-2.3821423570180067,-2.913150708015282,-2.8703513612707425,-2.77285711351066,-2.3363610000641133,0.8153602353822476,0.7257257257257255,1.1354562487518622,0.2052052052052051,0.4714285714285714,1.021052253232024,0.9567631021914076,0.9740839828344324,0.1415194048888382,-0.5001243748815366,0.7346674798,8.0,1.5542639255,0.692222062,0.4760080208,0.0001857905,0.2849542414,0.008197519,0.2236329379,0.2265836359,-21.1283561676,5.8005464498,15.0565325225
1,1,8,1,2.440290526246426,7.911594275176126,2,0.554786305109222,98.79238941624928,1.2168105655075712,4.857086046150529,3.991653412480423,0.8478515486058029,0.9999999999999882,1.000000317316822,0.9999999999999976,0.3339285714285713,0.0678571428571428,4.921052631578946,0.2946428571428571,0.0678571428571428,4.342105263157894,0.2770618090528249,0.2841856237250227,0.293061720994661,0.3445983560062448,0.2924683684326866,0.3016324212811594,0.3101941280895753,0.3626828022246903,-3.168758618573605,-3.1375337511889225,-3.0986283370405654,-2.872734673639996,-2.9378635009492724,-2.899811864551533,-2.864261332510224,-2.6463141014964204,0.8510954082806286,0.9859859859859856,0.7498773302497266,0.1651651651651651,0.5714285714285714,0.9888096551710988,0.9376366601719296,0.9702159560763302,0.1304458336762655,-0.3524048113787139,0.7029245972,8.0,1.5589481076,0.6868643244,0.2634739763,-0.0504001157,0.2065501216,-0.0198133826,0.1237824927,0.0694185362,-22.3114908288,6.8448647701,18.7494136578
1,1,9,1,2.142831992410573,4.979194956895556,3,0.6226929581728511,101.42704626810703,0.7804916461686164,5.137208288155334,6.58201572479803,0.8469190027090635,0.9999999999999826,1.0000001848257671,0.9999999999999966,0.3357142857142857,0.0660714285714285,5.081081081081081,0.2392857142857142,0.1214285714285714,1.970588235294118,0.2144735627492889,0.2324544919776347,0.3424889777522759,0.4023163998931467,0.2273434658183724,0.252164017598607,0.3493321596580412,0.4388807796921527,-3.4811345180873765,-3.401450333780155,-2.9138221287375234,-2.6486912630321093,-3.230262167428867,-3.1264943406605066,-2.720261351889637,-2.3458834664453194,0.8330325125289808,0.8858858858858855,0.880937190447399,0.2852852852852852,0.4285714285714285,0.992710007541761,0.9263689205105672,0.9672514274187756,0.1537671319282768,-0.3679456849495438,0.8809979232,8.0,1.6493897257,0.7243077436,1.5904292073,-0.4185482063,1.0792143147,-0.327598231,0.7471982415,2.5294650633,-30.7577147545,6.0632123598,16.1154432361
