evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_ratio ps_squared loglikelihood mhl_norm mhl_sum x0 x1 x2 x3 x4
1 86.6169970148 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 3.528105 0.800314 1.957476 4.481786 3.735116
2 11.8513717213 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -1.954556 1.900177 -0.302714 -0.206438 0.821197
3 8.1720150090 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.288087 2.908547 1.522075 0.243350 0.887726
4 20.0440584980 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.667349 2.988158 -0.410317 0.626135 -1.708191
5 107.1873257286 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -5.000000 1.307237 1.728872 -1.484330 4.539509
6 17.7371530744 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -2.908731 0.091517 -0.374368 3.065558 2.938718
7 16.2580645286 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.309895 0.756325 -1.775571 -3.961593 -0.695824
8 14.4713062225 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.312698 2.460581 2.404760 -0.774654 -0.604606
9 39.5728015651 0.0000000000 1.0000000000 1.8986702044 1.0000000000 2.1053896425 0.9388148066 1.7147244587 0.4352280840 1.8539098900 0.4705558641 0.8055932916 2.9402799692 -85.7771567543 7.6462211007 19.0655098257 -2.107716 2.917498 -2.524280 2.323475 3.696678
10 19.3355889896 0.0000000000 1.0000000000 1.8986702044 1.0000000000 2.1053896425 0.9388148066 1.7147244587 0.4352280840 1.8539098900 0.4705558641 0.8055932916 2.9402799692 -85.7771567543 7.6462211007 19.0655098257 -0.051750 0.714088 4.316656 0.422867 1.621195
11 14.3857618938 0.0000000000 1.0000000000 1.8986702044 1.0000000000 2.1053896425 0.9388148066 1.7147244587 0.4352280840 1.8539098900 0.4705558641 0.8055932916 2.9402799692 -85.7771567543 7.6462211007 19.0655098257 -2.490747 1.897250 2.508690 0.027815 -0.245513
12 5.3160769381 0.0000000000 1.0000000000 1.8986702044 1.0000000000 2.1053896425 0.9388148066 1.7147244587 0.4352280840 1.8539098900 0.4705558641 0.8055932916 2.9402799692 -85.7771567543 7.6462211007 19.0655098257 0.259493 1.413657 1.742593 -0.160472 -0.185145
13 23.5962106598 0.0000000000 1.0000000000 1.8986702044 1.0000000000 2.1053896425 0.9388148066 1.7147244587 0.4352280840 1.8539098900 0.4705558641 0.8055932916 2.9402799692 -85.7771567543 7.6462211007 19.0655098257 -2.308736 2.063144 3.565932 1.418001 -0.069994
14 17.3149335137 0.0000000000 1.0000000000 1.8986702044 1.0000000000 2.1053896425 0.9388148066 1.7147244587 0.4352280840 1.8539098900 0.4705558641 0.8055932916 2.9402799692 -85.7771567543 7.6462211007 19.0655098257 0.076999 1.666827 3.401063 0.929727 2.423454
15 20.9964181862 0.0000000000 1.0000000000 1.8986702044 1.0000000000 2.1053896425 0.9388148066 1.7147244587 0.4352280840 1.8539098900 0.4705558641 0.8055932916 2.9402799692 -85.7771567543 7.6462211007 19.0655098257 1.261206 2.234323 3.598594 -1.095525 -0.480555
16 14.4259852775 0.0000000000 1.0000000000 1.8986702044 1.0000000000 2.1053896425 0.9388148066 1.7147244587 0.4352280840 1.8539098900 0.4705558641 0.8055932916 2.9402799692 -85.7771567543 7.6462211007 19.0655098257 -1.457743 2.437892 1.667517 1.164633 1.683971
17 15.4086293348 0.0000000000 1.0000000000 1.6346069880 2.0000000000 2.0027745316 0.8917881866 0.9367000938 0.2735310110 0.8577597820 0.2462270556 0.4400703029 0.8774070658 -65.1975126980 5.6505390170 14.0565597686 1.310779 -1.315324 2.991004 0.723788 0.186568
18 15.0253936679 0.0000000000 1.0000000000 1.6346069880 2.0000000000 2.0027745316 0.8917881866 0.9367000938 0.2735310110 0.8577597820 0.2462270556 0.4400703029 0.8774070658 -65.1975126980 5.6505390170 14.0565597686 1.084689 0.382246 1.073314 -0.662285 -2.880673
19 16.8241443693 0.0000000000 1.0000000000 1.6346069880 2.0000000000 2.0027745316 0.8917881866 0.9367000938 0.2735310110 0.8577597820 0.2462270556 0.4400703029 0.8774070658 -65.1975126980 5.6505390170 14.0565597686 1.213824 1.855768 0.078956 1.198517 0.786997
20 7.1027409221 0.0000000000 1.0000000000 1.6346069880 2.0000000000 2.0027745316 0.8917881866 0.9367000938 0.2735310110 0.8577597820 0.2462270556 0.4400703029 0.8774070658 -65.1975126980 5.6505390170 14.0565597686 1.504864 1.331156 0.732571 -2.109150 0.911880
21 47.9657263631 0.0000000000 1.0000000000 1.6346069880 2.0000000000 2.0027745316 0.8917881866 0.9367000938 0.2735310110 0.8577597820 0.2462270556 0.4400703029 0.8774070658 -65.1975126980 5.6505390170 14.0565597686 -2.755921 4.622202 0.011901 -1.042761 -1.076292
22 20.2724205224 0.0000000000 1.0000000000 1.6346069880 2.0000000000 2.0027745316 0.8917881866 0.9367000938 0.2735310110 0.8577597820 0.2462270556 0.4400703029 0.8774070658 -65.1975126980 5.6505390170 14.0565597686 -1.323048 0.995017 -2.900039 -0.437137 -0.919486
23 49.8479966248 0.0000000000 1.0000000000 1.6346069880 2.0000000000 2.0027745316 0.8917881866 0.9367000938 0.2735310110 0.8577597820 0.2462270556 0.4400703029 0.8774070658 -65.1975126980 5.6505390170 14.0565597686 -0.091472 3.863102 -1.887275 0.479094 -1.299279
24 11.9215255670 0.0000000000 1.0000000000 1.6346069880 2.0000000000 2.0027745316 0.8917881866 0.9367000938 0.2735310110 0.8577597820 0.2462270556 0.4400703029 0.8774070658 -65.1975126980 5.6505390170 14.0565597686 0.684327 1.089818 -0.409043 0.402224 -0.744401
evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_ratio ps_squared loglikelihood mhl_norm mhl_sum x0 x1 x2 x3 x4
1 27.0935840796 1.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 3.248691 -1.223513 -1.056344 -2.145937 1.730815
2 62.1328298917 1.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -4.603077 3.489624 -1.522414 0.638078 -0.498741
3 41.0215896528 1.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 2.924216 -4.120281 -0.644834 -0.768109 2.267539
