Extracting A2 precisions from ../data/run_data_10D/A2_data_newInstances_10D_scratch with max_evals=2000...
Processing data_f1_Sphere for fid=1, algo=BFGS, budget=20
Processing data_f2_Ellipsoid for fid=2, algo=BFGS, budget=20
Processing data_f3_Rastrigin for fid=3, algo=BFGS, budget=20
⚠️ Changed: (fid=3, iid=6, rep=4) from 4.5667e+02 to 5.3655e+02 due to bounds
⚠️ Changed: (fid=3, iid=7, rep=4) from 5.7702e+02 to 1.6512e+03 due to bounds
⚠️ Changed: (fid=3, iid=6, rep=6) from 1.7909e+02 to 2.9115e+02 due to bounds
⚠️ Changed: (fid=3, iid=7, rep=6) from 2.8953e+02 to 4.0600e+02 due to bounds
⚠️ Changed: (fid=3, iid=6, rep=7) from 3.7707e+02 to 6.0793e+02 due to bounds
⚠️ Changed: (fid=3, iid=7, rep=7) from 2.8256e+02 to 3.9899e+02 due to bounds
⚠️ Changed: (fid=3, iid=6, rep=8) from 3.1440e+02 to 5.4001e+02 due to bounds
⚠️ Changed: (fid=3, iid=7, rep=9) from 2.0993e+02 to 2.4426e+02 due to bounds
⚠️ Changed: (fid=3, iid=6, rep=11) from 5.0242e+02 to 1.2701e+03 due to bounds
⚠️ Changed: (fid=3, iid=7, rep=11) from 7.9192e+02 to 9.4578e+02 due to bounds
⚠️ Changed: (fid=3, iid=7, rep=12) from 5.1735e+02 to 2.4093e+03 due to bounds
⚠️ Changed: (fid=3, iid=6, rep=14) from 3.3032e+02 to 1.1986e+03 due to bounds
⚠️ Changed: (fid=3, iid=7, rep=14) from 2.8256e+02 to 3.2969e+02 due to bounds
⚠️ Changed: (fid=3, iid=6, rep=16) from 1.2811e+03 to 1.5323e+03 due to bounds
⚠️ Changed: (fid=3, iid=7, rep=16) from 5.2033e+02 to 2.4775e+03 due to bounds
Processing data_f4_BuecheRastrigin for fid=4, algo=BFGS, budget=20
⚠️ Changed: (fid=4, iid=6, rep=1) from 4.9348e+02 to 5.5186e+02 due to bounds
⚠️ Changed: (fid=4, iid=7, rep=3) from 6.0234e+02 to 7.3183e+02 due to bounds
⚠️ Changed: (fid=4, iid=6, rep=7) from 1.2318e+03 to 1.5238e+03 due to bounds
⚠️ Changed: (fid=4, iid=7, rep=7) from 6.1115e+02 to 2.8994e+03 due to bounds
⚠️ Changed: (fid=4, iid=7, rep=8) from 2.9988e+02 to 3.8418e+02 due to bounds
⚠️ Changed: (fid=4, iid=6, rep=11) from 7.5178e+02 to 9.9285e+02 due to bounds
⚠️ Changed: (fid=4, iid=7, rep=11) from 8.3403e+02 to 2.7255e+03 due to bounds
⚠️ Changed: (fid=4, iid=6, rep=12) from 1.3004e+03 to 3.5046e+03 due to bounds
⚠️ Changed: (fid=4, iid=7, rep=12) from 4.2723e+02 to 7.2029e+02 due to bounds
⚠️ Changed: (fid=4, iid=7, rep=13) from 1.0623e+03 to 1.2946e+03 due to bounds
⚠️ Changed: (fid=4, iid=6, rep=14) from 2.6588e+02 to 3.1987e+02 due to bounds
⚠️ Changed: (fid=4, iid=7, rep=14) from 2.6374e+02 to 2.5813e+03 due to bounds
⚠️ Changed: (fid=4, iid=7, rep=16) from 4.7759e+02 to 5.0880e+02 due to bounds
⚠️ Changed: (fid=4, iid=6, rep=17) from 5.5139e+02 to 9.6348e+02 due to bounds
⚠️ Changed: (fid=4, iid=6, rep=19) from 5.3747e+02 to 5.8083e+02 due to bounds
Processing data_f5_LinearSlope for fid=5, algo=BFGS, budget=20
⚠️ Changed: (fid=5, iid=6, rep=0) from 0.0000e+00 to 1.9547e+02 due to bounds
