fid,best_budget,total_precision
1,8,0.0
1,16,0.0
1,24,0.0
1,32,0.0
1,40,0.0
1,48,0.0
1,56,0.0
1,64,0.0
1,72,0.0
1,80,0.0
1,88,0.0
1,96,0.0
1,100,0.0
1,150,0.0
1,200,0.0
1,250,0.0
1,300,0.0
1,350,0.0
1,400,0.0
1,450,0.0
1,500,0.0
1,550,0.0
1,600,0.0
1,650,0.0
1,700,0.0
1,750,0.0
1,800,0.0
1,850,0.0
1,900,0.0
1,950,0.0
1,1000,0.0
2,100,3.2e-09
3,40,738.0977357799001
4,700,1068.7845668931
5,16,0.0
5,40,0.0
5,48,0.0
5,56,0.0
5,80,0.0
5,100,0.0
5,150,0.0
5,250,0.0
5,350,0.0
5,450,0.0
5,600,0.0
5,650,0.0
5,700,0.0
5,750,0.0
5,800,0.0
5,850,0.0
5,900,0.0
5,950,0.0
5,1000,0.0
6,150,0.0066166557
7,64,150.38320350039996
8,550,47.170073212000005
9,32,35.3775549069
10,150,0.0010257157
11,16,0.005288295600000001
12,96,0.0111816064
13,250,0.07084244500000002
14,450,0.0001654383
15,40,709.8964693169002
16,24,65.0789471727
17,16,11.6964180986
18,8,29.3797981407
19,550,55.816215523200015
20,150,131.9141883948
21,300,137.5028330449
22,450,196.8005868967
23,150,57.0788704327
24,32,1184.4902934385
